,rent,borough,zip,year
0,16000.0,manhattan,10013.0,2022
1,8250.0,manhattan,10012.0,2022
2,2200.0,manhattan,10031.0,2022
3,13000.0,manhattan,10011.0,2022
4,55000.0,manhattan,10065.0,2022
5,32000.0,manhattan,10011.0,2022
6,24990.0,manhattan,10013.0,2022
7,11000.0,manhattan,10012.0,2022
8,16500.0,manhattan,10013.0,2022
9,10000.0,manhattan,10012.0,2022
10,11500.0,manhattan,10007.0,2022
11,23000.0,manhattan,10013.0,2022
12,3785.0,manhattan,10036.0,2022
13,13500.0,manhattan,10031.0,2022
14,16250.0,manhattan,10013.0,2022
15,16500.0,manhattan,10013.0,2022
16,45000.0,manhattan,10014.0,2022
17,27500.0,manhattan,10011.0,2022
18,30000.0,manhattan,10013.0,2022
19,9500.0,manhattan,10010.0,2022
20,12500.0,manhattan,10001.0,2022
21,26000.0,manhattan,10019.0,2022
22,2799.0,manhattan,10003.0,2022
23,12000.0,manhattan,10012.0,2022
24,1300.0,manhattan,10463.0,2022
25,9400.0,manhattan,10023.0,2022
26,30000.0,manhattan,10022.0,2022
27,3000.0,manhattan,10031.0,2022
28,6780.0,manhattan,10036.0,2022
29,4295.0,manhattan,10002.0,2022
30,3500.0,manhattan,10017.0,2022
31,2700.0,manhattan,10028.0,2022
32,3495.0,manhattan,10009.0,2022
33,3495.0,manhattan,10009.0,2022
34,4895.0,manhattan,10009.0,2022
35,3200.0,manhattan,10128.0,2022
36,2400.0,manhattan,10029.0,2022
37,2700.0,manhattan,10028.0,2022
38,3499.0,manhattan,10003.0,2022
39,3300.0,manhattan,10011.0,2022
40,3900.0,manhattan,10010.0,2022
41,5800.0,manhattan,10009.0,2022
42,4150.0,manhattan,10009.0,2022
43,5445.0,manhattan,10016.0,2022
44,2350.0,manhattan,10017.0,2022
45,6800.0,manhattan,10025.0,2022
46,1650.0,manhattan,10021.0,2022
47,3100.0,manhattan,10029.0,2022
48,3000.0,manhattan,10035.0,2022
49,2850.0,manhattan,10012.0,2022
50,4125.0,manhattan,10044.0,2022
51,4500.0,manhattan,10029.0,2022
52,5300.0,manhattan,10018.0,2022
53,50000.0,manhattan,10013.0,2022
54,75000.0,manhattan,10012.0,2022
55,12750.0,manhattan,10021.0,2022
56,28500.0,manhattan,10013.0,2022
57,19500.0,manhattan,10065.0,2022
58,19750.0,manhattan,10065.0,2022
59,10950.0,manhattan,10027.0,2022
60,25000.0,manhattan,10017.0,2022
61,17500.0,manhattan,10065.0,2022
62,15575.0,manhattan,10021.0,2022
63,16000.0,manhattan,10022.0,2022
64,25950.0,manhattan,10011.0,2022
65,11538.0,manhattan,10025.0,2022
66,19950.0,manhattan,10024.0,2022
67,24800.0,manhattan,10021.0,2022
68,75000.0,manhattan,10028.0,2022
69,40000.0,manhattan,10014.0,2022
70,2100.0,manhattan,11372.0,2022
71,6995.0,manhattan,10003.0,2022
72,4750.0,manhattan,10011.0,2022
73,2299.0,the bronx,10457.0,2022
74,2100.0,the bronx,10465.0,2022
75,1850.0,the bronx,10461.0,2022
76,2300.0,the bronx,10465.0,2022
77,2200.0,the bronx,10031.0,2022
78,13500.0,the bronx,10031.0,2022
79,2700.0,the bronx,10462.0,2022
80,2100.0,the bronx,10461.0,2022
81,1995.0,the bronx,10803.0,2022
82,2900.0,the bronx,10461.0,2022
83,1300.0,the bronx,10463.0,2022
84,2300.0,the bronx,10461.0,2022
85,2900.0,the bronx,10465.0,2022
86,3000.0,the bronx,10031.0,2022
87,2600.0,the bronx,10462.0,2022
88,2800.0,the bronx,10461.0,2022
89,2400.0,the bronx,10029.0,2022
90,3200.0,the bronx,10473.0,2022
91,3100.0,the bronx,10470.0,2022
92,2500.0,the bronx,10473.0,2022
93,3000.0,the bronx,10035.0,2022
94,1715.0,the bronx,10472.0,2022
95,2912.0,the bronx,10459.0,2022
96,6850.0,the bronx,10471.0,2022
97,4900.0,the bronx,10463.0,2022
98,1850.0,the bronx,10466.0,2022
99,2700.0,the bronx,10467.0,2022
100,3200.0,the bronx,10471.0,2022
101,2300.0,the bronx,10461.0,2022
102,1300.0,the bronx,10470.0,2022
103,4500.0,the bronx,10471.0,2022
104,2550.0,the bronx,10463.0,2022
105,1700.0,the bronx,10465.0,2022
106,2600.0,the bronx,10704.0,2022
107,3600.0,the bronx,10473.0,2022
108,2900.0,the bronx,10456.0,2022
109,10950.0,the bronx,10027.0,2022
110,5000.0,the bronx,11357.0,2022
111,3090.0,the bronx,10026.0,2022
112,3500.0,the bronx,10454.0,2022
113,4995.0,the bronx,10463.0,2022
114,4400.0,the bronx,10471.0,2022
115,4999.0,the bronx,10464.0,2022
116,4000.0,the bronx,10465.0,2022
117,2400.0,the bronx,10461.0,2022
118,4200.0,the bronx,10459.0,2022
119,2100.0,the bronx,11357.0,2022
120,10998.0,the bronx,10464.0,2022
