geo_id,year,borough,zipcode,total_housing_units,occupied_housing_units,owner_occupied_units,own_occ_median_value,renter_occupied_units,rent_occ_median_rent,vacant_housing_units,occ_units_paying_rent,homeowner_vacancy_rate,rental_vacancy_rate,median_rooms,no_bedrooms,1_bedroom,2_bedrooms,3_bedrooms,4_bedrooms,5_or_more_bedrooms,avg_household_size_own_occ_unit,avg_household_size_rent_occ_unit
8600000US10451,2011,Bronx,10451,17757.0,16596.0,1923.0,124200.0,14673.0,809.0,1161.0,14531.0,5.1,3.4,3.8,1100.0,6214.0,6777.0,3233.0,353.0,80.0,1.91,2.70
8600000US10452,2011,Bronx,10452,26227.0,24760.0,887.0,427500.0,23873.0,930.0,1467.0,23394.0,3.8,2.6,3.6,1773.0,10913.0,9951.0,3062.0,449.0,79.0,3.07,3.00
8600000US10453,2011,Bronx,10453,27498.0,25103.0,1208.0,457400.0,23895.0,937.0,2395.0,23443.0,3.2,4.0,3.8,1467.0,10380.0,10176.0,4501.0,659.0,315.0,3.32,3.07
8600000US10454,2011,Bronx,10454,13699.0,12433.0,634.0,408900.0,11799.0,576.0,1266.0,11668.0,4.2,5.3,4.0,1175.0,3361.0,5137.0,3084.0,714.0,228.0,3.66,3.00
8600000US10455,2011,Bronx,10455,13863.0,12542.0,1012.0,375700.0,11530.0,726.0,1321.0,11354.0,0.9,5.7,4.0,654.0,4113.0,5336.0,3134.0,484.0,142.0,3.40,2.88
8600000US10456,2011,Bronx,10456,29992.0,27828.0,1764.0,369700.0,26064.0,813.0,2164.0,25415.0,13.0,5.1,3.9,1755.0,8868.0,11525.0,6279.0,1241.0,324.0,3.69,2.98
8600000US10457,2011,Bronx,10457,24238.0,22210.0,1305.0,377100.0,20905.0,956.0,2028.0,20488.0,8.7,3.3,3.8,1871.0,8883.0,7775.0,4628.0,780.0,301.0,3.31,2.98
8600000US10458,2011,Bronx,10458,27520.0,24939.0,1151.0,416600.0,23788.0,1011.0,2581.0,23279.0,12.6,4.5,3.6,1726.0,11356.0,9473.0,4118.0,548.0,299.0,3.23,2.79
8600000US10459,2011,Bronx,10459,15919.0,14774.0,1554.0,345600.0,13220.0,877.0,1145.0,12842.0,4.0,5.3,4.1,1026.0,3786.0,5992.0,4149.0,548.0,418.0,3.31,2.98
8600000US10460,2011,Bronx,10460,20823.0,19329.0,1914.0,426400.0,17415.0,918.0,1494.0,17068.0,1.7,4.4,3.9,1007.0,6774.0,7506.0,4593.0,766.0,177.0,3.08,2.81
