borough,total_housing_units,occupied_housing_units,vacant_housing_units,1_room_units,2_room_units,3_room_units,4_room_units,5_room_units,6_room_units,7_room_units,8_room_units,9_room_units,unit_median_rooms,unit_no_bedrooms,unit_1_bedrooms,unit_2_bedrooms,unit_3_bedrooms,unit_4_bedrooms,unit_5+_bedrooms,owner_occupied_units,renter_occupied_units,occupants_per_room_<=1,occupants_per_room_1-1.5,occupants_per_room_>=1.5,owned_median_value,rent_median_value,year
STATEN ISLAND,176696,163816,12880,3145,1881,20330,25117,33485,39302,24447,12874,16115,5,3407,22242,39111,81309,23347,7280,114045,49771,157232,5186,1398,452300,1141,2010
BRONX,512024,471912,40112,24251,14502,155923,152272,96979,38867,11336,6896,10998,3,25738,174615,174098,109767,18088,9718,88493,383419,413758,37160,20994,388900,974,2010
QUEENS,834965,772332,62633,32996,30863,168537,188746,176340,113793,51049,31389,41252,4,37893,221698,262183,226353,58618,28220,338609,433723,703798,44723,23811,464800,1242,2010
MANHATTAN,846962,726090,120872,101223,111830,259565,215744,85654,38519,15396,7109,11922,3,124652,343275,260903,88882,22131,7119,161647,564443,683146,23307,19637,825900,1305,2010
BROOKLYN,1000000,905317,94683,50285,44652,242503,280610,180657,95177,40762,23844,41510,4,54447,286251,349044,220486,55736,34036,273500,631817,805170,66843,33304,566700,1079,2010
STATEN ISLAND,176821,161785,15036,4028,3108,20170,24237,32543,37122,26399,12658,16556,5,4417,26767,38798,77485,21831,7523,111548,50237,155510,4212,2063,441000,1112,2011
QUEENS,832195,764825,67370,31672,33297,168681,204414,165069,114301,48148,26763,39850,4,36170,215467,271435,227797,54912,26414,328495,436330,693611,45371,25843,440700,1276,2011
MANHATTAN,846177,728520,117657,96989,109009,260129,202038,105320,38227,14504,7240,12721,3,117520,342559,259078,98091,21619,7310,159713,568807,686897,24277,17346,856700,1403,2011
BROOKLYN,1001296,901062,100234,55632,51705,252147,283398,168516,90974,36724,21108,41092,4,60986,296508,343124,215549,54436,30693,258193,642869,806487,58681,35894,563200,1113,2011
BRONX,512320,467138,45182,28694,14613,147580,153517,100372,37635,12025,7042,10842,3,30936,169592,173003,112477,17238,9074,88816,378322,410513,37190,19435,372100,1012,2011
STATEN ISLAND,177479,163468,14011,5041,3303,19977,25320,31468,40722,25056,12542,14050,5,5476,26403,37137,78229,23815,6419,110022,53446,158061,3353,2054,434000,1115,2012
QUEENS,840147,780349,59798,32942,34820,172736,199799,174869,111414,50986,27809,34772,4,38150,214528,276841,230766,53942,25920,340026,440323,708303,48134,23912,439400,1305,2012
MANHATTAN,850490,746686,103804,99334,103102,285254,193722,96408,41493,15017,6825,9335,3,122256,366746,244487,92688,18517,5796,164659,582027,708957,20816,16913,742700,1450,2012
BROOKLYN,1003114,919333,83781,58675,47225,247283,290006,174261,89780,35391,21621,38872,4,63255,288603,343196,221378,56079,30603,273302,646031,819127,65181,35025,537500,1151,2012
BRONX,514051,475978,38073,30392,15125,139587,160094,101678,37809,13181,6941,9244,3,32864,166715,176055,113014,16959,8444,91116,384862,418828,36922,20228,357700,1019,2012
BRONX,516474,481143,35331,40538,16496,136455,154007,101739,37472,13585,7256,8926,3,42753,166653,171843,107952,20045,7228,89153,391990,422594,30757,27792,369400,1056,2013
BROOKLYN,1006081,925489,80592,51674,49342,244510,283306,183362,94932,38076,23000,37879,4,56819,287876,347686,227484,55027,31189,274241,651248,831927,61886,31676,557000,1192,2013
MANHATTAN,852642,726357,126285,103279,118875,268160,194686,94486,39095,16366,8566,9129,3,128078,360429,242707,95406,18768,7254,167447,558910,687328,20846,18183,848600,1490,2013
QUEENS,841254,784243,57011,32136,37183,174061,205249,168819,116950,46882,25237,34737,4,38156,219584,275957,233783,53207,20567,344236,440007,706876,52006,25361,439500,1333,2013
STATEN ISLAND,178035,167629,10406,3303,4244,21523,26505,31241,39624,22411,12557,16627,5,3584,28580,36973,79708,22351,6839,113017,54612,162496,3038,2095,432600,1161,2013
STATEN ISLAND,178596,164971,13625,4686,3817,21783,21853,38399,40659,19996,11754,15649,5,5008,27315,36580,83136,21094,5463,112509,52462,157490,5506,1975,441000,1149,2014
QUEENS,847773,785985,61788,31211,33705,183783,221351,164286,108822,46264,27591,30760,4,36913,224631,282012,227906,54546,21765,338516,447469,711273,49642,25070,447300,1386,2014
MANHATTAN,867643,762228,105415,99637,104535,268634,211235,111610,36625,15630,7025,12712,3,121027,354923,257988,103957,19977,9771,172744,589484,722661,23023,16544,888500,1531,2014
BROOKLYN,1022569,942402,80167,59066,52336,249561,293719,175126,94277,34277,22762,41445,4,64078,298359,353097,221312,53216,32507,268400,674002,840386,64163,37853,574800,1246,2014
BRONX,522161,492481,29680,25493,13669,143050,164952,110871,36278,12317,6071,9460,4,27499,180309,177338,110535,18419,8061,89396,403085,436721,35466,20294,359100,1077,2014
BRONX,523735,495513,28222,33520,16822,149787,159862,100636,36310,11247,6084,9467,3,36846,174677,174010,112011,17993,8198,92845,402668,429832,39563,26118,368500,1107,2015
STATEN ISLAND,178986,167462,11524,3198,2703,21530,24712,34855,41267,22192,12934,15595,5,3720,26697,36742,80677,24969,6181,115316,52146,160808,5042,1612,457700,1208,2015
QUEENS,849552,774752,74800,39604,31329,185952,215656,159089,108524,47944,28645,32809,4,45835,218190,276593,229582,58164,21188,334859,439893,699254,49362,26136,487400,1434,2015
MANHATTAN,869890,751244,118646,124101,102226,258764,198422,101835,42628,18142,7937,15835,3,146448,345153,249060,98469,23168,7592,176869,574375,709237,17227,24780,867600,1611,2015
BROOKLYN,1025815,940176,85639,59187,53913,248163,300561,173089,90156,39047,22436,39263,4,65822,283621,360899,228220,57057,30196,270013,670163,834088,66960,39128,638500,1283,2015
STATEN ISLAND,179391,164289,15102,4332,3503,20745,22038,31288,42904,25585,12634,16362,5,4573,25814,36050,80371,24003,8580,115862,48427,157236,5087,1966,477100,1245,2016
MANHATTAN,875990,748293,127697,114731,99180,263852,213091,103388,42351,19200,7021,13176,3,135796,341898,262143,107771,22061,6321,172324,575969,701387,25699,21207,1003400,1661,2016
BROOKLYN,1031125,941871,89254,58185,49269,240581,295589,190514,89506,36833,24889,45759,4,64633,280501,355922,237137,58639,34293,277746,664125,841761,62879,37231,667000,1343,2016
BRONX,525788,498539,27249,33370,17021,145831,169519,94853,35970,12252,7018,9954,3,37118,166542,186114,110211,18930,6873,96282,402257,432020,38077,28442,378000,1130,2016
QUEENS,851576,761819,89757,46872,31929,184711,209484,152796,119537,45938,25898,34411,4,51370,220861,269185,235032,53487,21641,335984,425835,691657,44987,25175,508000,1452,2016
STATEN ISLAND,180572,165990,14582,4523,4272,21432,22700,29064,43498,23283,14699,17101,5,4931,25762,36593,81084,25096,7106,115499,50491,158649,4900,2441,501300,1286,2017
QUEENS,857250,769258,87992,47733,33563,191744,196546,150154,126817,51255,26674,32764,4,53478,220934,267725,239227,55804,20082,340570,428688,699103,44108,26047,545800,1500,2017
MANHATTAN,886384,764218,122166,110418,107334,257096,217547,107158,45608,16122,11415,13686,3,133821,331653,281369,105126,25877,8538,188435,575783,715134,24225,24859,976100,1601,2017
BROOKLYN,1044287,956223,88064,58381,59993,245543,301807,183293,87584,37346,26084,44256,4,65571,280025,364725,234154,67789,32023,290792,665431,864554,56410,35259,701800,1367,2017
BRONX,528851,503985,24866,30955,17108,146715,166024,97200,40800,12618,7032,10399,3,33798,168090,182240,117595,19980,7148,96497,407488,440076,38991,24918,400300,1171,2017
STATEN ISLAND,181186,167441,13745,3810,5464,22321,25265,29297,44711,22146,12110,16062,5,4336,27510,38899,82002,21698,6741,115872,51569,159088,6024,2329,556000,1291,2018
QUEENS,865809,788110,77699,54893,36641,180917,207532,154368,120042,47003,28835,35578,4,62535,206950,281847,233079,56954,24444,356970,431140,708913,48737,30460,577400,1588,2018
MANHATTAN,886282,752258,134024,116677,120195,254734,207992,102662,47323,18043,8141,10515,3,142870,337998,257554,114497,26643,6720,180208,572050,706349,22674,23235,1013400,1746,2018
BROOKLYN,1053667,969317,84350,55239,65431,256072,297005,178695,90404,37975,28925,43921,4,62779,291678,363057,233895,66983,35275,296235,673082,877595,57106,34616,759400,1433,2018
BRONX,532509,507370,25139,39961,20304,148917,159861,91825,41168,11769,6522,12182,3,43859,172174,178655,108295,19726,9800,93671,413699,443919,38612,24839,436100,1188,2018
BRONX,537197,513890,23307,39545,21332,155646,157948,97803,34749,11538,6710,11926,3,43715,172786,181774,109861,19127,9934,96969,416921,453695,36042,24153,466900,1231,2019
BROOKLYN,1065363,978091,87272,58238,64621,257419,308282,172845,92144,38295,26994,46525,4,66486,280988,374168,238422,69502,35797,291015,687076,880241,63989,33861,793600,1483,2019
QUEENS,869346,784552,84794,47874,41638,177650,213684,151692,127181,46652,28242,34733,4,54457,214661,276961,242992,57605,22670,346290,438262,712448,45269,26835,620100,1641,2019
STATEN ISLAND,181765,166297,15468,4976,5152,20272,26309,30292,44665,22625,10471,17003,5,5142,24524,40959,79957,25031,6152,109302,56995,158905,4067,3325,586500,1299,2019
MANHATTAN,892930,768203,124727,111312,123558,268336,207621,101843,40472,15167,9573,15048,3,136146,343189,272090,106582,26606,8317,179243,588960,727372,17374,23457,1128300,1753,2019
STATEN ISLAND,184154,170762,13392,5897,4178,21285,23682,35537,45027,19546,13846,15156,5,6128,26198,38148,83619,22695,7366,119237,51525,161096,6259,3407,605500,1442,2020
QUEENS,902754,820686,82068,53573,51206,190825,212947,159559,118388,49196,30550,36510,4,62716,228720,281955,247610,57648,24105,374621,446065,737482,49332,33872,642000,1717,2020
MANHATTAN,916609,737575,179034,114310,122583,257394,220249,111670,48894,17146,12048,12315,3,139033,351731,279617,112650,27708,5870,184279,553296,703553,16501,17521,940900,1866,2020
BROOKLYN,1085993,1001868,84125,72187,86381,255228,290858,185074,87505,39468,26156,43136,3,81239,297958,372328,242687,64302,27479,303368,698500,897263,57711,46894,793300,1628,2020
BRONX,552421,533004,19417,41219,26963,146200,157613,105460,38827,14312,9560,12267,3,47126,172840,187034,118019,19330,8072,104431,428573,466688,34715,31601,465000,1313,2020
STATEN ISLAND,184154,170762,13392,5897,4178,21285,23682,35537,45027,19546,13846,15156,5,6128,26198,38148,83619,22695,7366,119237,51525,161096,6259,3407,605500,1442,2021
QUEENS,902754,820686,82068,53573,51206,190825,212947,159559,118388,49196,30550,36510,4,62716,228720,281955,247610,57648,24105,374621,446065,737482,49332,33872,642000,1717,2021
MANHATTAN,916609,737575,179034,114310,122583,257394,220249,111670,48894,17146,12048,12315,3,139033,351731,279617,112650,27708,5870,184279,553296,703553,16501,17521,940900,1866,2021
BROOKLYN,1085993,1001868,84125,72187,86381,255228,290858,185074,87505,39468,26156,43136,3,81239,297958,372328,242687,64302,27479,303368,698500,897263,57711,46894,793300,1628,2021
BRONX,552421,533004,19417,41219,26963,146200,157613,105460,38827,14312,9560,12267,3,47126,172840,187034,118019,19330,8072,104431,428573,466688,34715,31601,465000,1313,2021
