year,borough,zipcode,households_s1901_total_population,households_s1902_total_population,households_median_income,households_s1901_mean_income,households_s1902_mean_income,families_total_population,families_median_income,families_mean_income,married_couple_families_total_population,married_couple_families_median_income,married_couple_families_mean_income,nonfamily_households_total_population,nonfamily_households_median_income,nonfamily_households_mean_income,resident_total_population,resident_mean_income,white_total_population,white_mean_income,african_american_total_population,african_american_mean_income,amer_indian/alaska_native_total_population,amer_indian/alaska_native_mean_income,asian_total_population,asian_mean_income,hawaiian/_pacific_islander_total_population,hawaiian/_pacific_islander_mean_income,other_race_total_population,other_race_mean_income,two_or_more_races_total_population,two_or_more_races_mean_income,latino_total_population,latino_mean_income,white_alone(not_latino)_total_population,white_alone(not_latino)_mean_income
2011,Bronx,10451,16596.0,16596.0,25044,35281,35281,9794.0,29327,38565,2962.0,47297,,6802.0,17998,28752,43550.0,14316,19.1,11530,47.6,17147,1.7,8486,2.1,16425,0.0,,26.5,11594,3.1,13157,57.0,11573,1.9,17186
2011,Bronx,10452,24760.0,24760.0,27040,35744,35744,17019.0,29543,37098,5848.0,42287,,7741.0,18364,26147,75150.0,12827,15.0,11236,33.5,15392,0.8,16900,1.4,13852,0.0,,46.8,11523,2.5,10579,68.4,11477,1.1,14110
2011,Bronx,10453,25103.0,25103.0,26574,36352,36352,17769.0,27967,37383,5515.0,46129,,7334.0,18867,28632,79376.0,12750,10.0,13384,35.1,14328,0.6,9498,1.6,18649,0.1,33288,48.9,11784,3.9,6797,65.8,11504,1.2,23019
2011,Bronx,10454,12433.0,12433.0,19840,33417,33417,8573.0,23540,36719,2671.0,39221,,3860.0,10624,20700,38523.0,12011,37.4,13726,35.1,10096,0.5,32574,1.1,16214,0.0,,24.2,11736,1.8,9393,72.0,12210,2.0,20874
2011,Bronx,10455,12542.0,12542.0,23830,33418,33418,8229.0,29987,38307,2512.0,46122,,4313.0,12427,19550,37699.0,12378,24.6,14159,33.1,12411,0.4,10756,0.1,4200,0.0,,39.6,11575,2.1,6981,76.6,12386,1.9,13570
2011,Bronx,10456,27828.0,27828.0,22549,33512,33512,19090.0,26969,36624,6077.0,44121,51606,8738.0,13906,23288,86121.0,12071,9.4,12122,44.0,13085,0.5,7913,1.0,18738,0.1,,42.6,10902,2.5,12289,56.5,10891,0.9,18093
2011,Bronx,10457,22210.0,22210.0,24537,35096,35096,15127.0,27457,37349,4386.0,45998,55606,7083.0,15112,25096,69144.0,12368,12.8,14033,39.2,13645,0.5,12197,1.5,19749,0.1,,43.3,10455,2.6,12467,64.5,11246,2.0,14348
2011,Bronx,10458,24939.0,24939.0,25027,35194,35194,15752.0,27899,37609,5631.0,46960,55137,9187.0,17836,27982,73436.0,12910,20.1,12179,22.1,15281,0.4,16663,3.1,18597,0.0,,50.8,11862,3.4,11867,65.4,12029,10.9,11754
2011,Bronx,10459,14774.0,14774.0,22458,34701,34701,10425.0,25323,37381,2947.0,43130,,4349.0,10450,22340,45261.0,12344,15.5,12628,31.2,13436,0.6,12785,0.8,24103,0.1,3139,47.3,11461,4.5,11216,69.3,11960,1.3,11572
2011,Bronx,10460,19329.0,19329.0,24307,35187,35187,13203.0,29844,38898,4258.0,50323,,6126.0,12453,22762,55462.0,13207,13.4,15463,26.9,15065,0.3,10771,2.4,12214,0.0,,54.3,11665,2.7,15734,70.6,11997,1.9,26315
2011,Bronx,10461,19267.0,19267.0,51147,63417,63417,11677.0,61069,71029,7360.0,72594,81347,7590.0,33976,45589,51767.0,25200,52.0,29034,7.0,23695,0.2,22095,11.7,20226,0.1,35789,24.8,21880,4.1,13184,36.6,21904,43.3,29921
2011,Bronx,10462,28431.0,28431.0,45025,52056,52056,18114.0,48834,57706,9128.0,64470,,10317.0,34934,39011,75407.0,20701,23.6,23257,27.2,24568,0.4,15803,11.9,16638,0.0,,34.1,17103,2.7,23625,46.5,18516,14.4,24160
2011,Bronx,10463,27410.0,27410.0,52505,72426,72426,16007.0,58776,82578,8932.0,80952,,11403.0,41930,55399,68345.0,30216,43.8,42157,14.4,22742,0.3,40274,3.7,38138,0.0,,33.0,18567,4.8,16948,48.4,19556,33.9,47348
2011,Bronx,10464,2010.0,2010.0,67273,81856,81856,1088.0,105909,107637,812.0,124044,,922.0,35789,49140,4255.0,40514,84.7,40999,2.4,16829,0.9,,1.1,25353,0.0,,10.2,41121,0.8,,20.0,35375,76.5,41604
2011,Bronx,10465,15628.0,15628.0,66216,77952,77952,10560.0,78472,88442,6334.0,99053,,5068.0,36594,50000,42688.0,30368,67.3,33977,9.1,23560,0.5,17735,2.5,29549,0.0,,18.3,23392,2.3,11153,33.0,24659,55.9,35006
2011,Bronx,10466,23061.0,23061.0,45737,56838,56838,16773.0,51727,62449,6908.0,74716,81623,6288.0,28414,37273,72997.0,19737,8.7,18982,75.2,20829,0.5,9170,2.6,24632,0.0,,11.1,13681,1.9,11316,20.9,14732,2.9,24890
