title,description,num_beds,price_val,price_per_night,average_rating_num_rating
Apartment in New York,✨Love SUITE & SPA | private outdoor HOT TUB,1 queen bed,$119,$ 1 1 9   p e r   n i g h t,4.97 (174)
Apartment in Brooklyn,Beautiful Penthouse Suite with skyline views!,1 bed,$500,$ 5 0 0   p e r   n i g h t,4.88 (160)
Private room in New York,Minimal room 4 SofaBed + loft bed in Manhattan,2 beds,$79,$ 7 9   p e r   n i g h t,4.42 (123)
Private room in New York,Room By Central Park!,1 single bed,$91,$ 9 1   p e r   n i g h t,4.59 (108)
Private room in New York,Terracotta Room in LES,1 queen bed,$85,$ 8 5   p e r   n i g h t,4.89 (64)
Private room in Brooklyn,"Cozy, quiet room in artist's apartment",1 single bed,$49,$ 4 9   p e r   n i g h t,4.79 (122)
Private room in Brooklyn,"Cozy, quiet room in artist's apartment",1 single bed,$49,$ 4 9   p e r   n i g h t,4.79 (122)
Private room in New York,Minimal room 4 SofaBed + loft bed in Manhattan,2 beds,$79,$ 7 9   p e r   n i g h t,4.42 (123)
Apartment in New York,Best Quiet Apartment / Union Square,2 beds,$80,$ 8 0   p e r   n i g h t,4.6 (140)
Guest suite in The Bronx,Modern studio,1 bed,$90,$ 9 0   p e r   n i g h t,5.0 (15)
Home in Brooklyn,Comfortable Brooklyn Studio,2 beds,$99,$ 9 9   p e r   n i g h t,4.91 (141)
Apartment in New York,Studio in the Heart of Chelsea Neighborhood,2 beds,$121,$ 1 2 1   p e r   n i g h t,4.1 (237)
Private room in New York,Minimal room 2 Bunk bed in Manhattan,2 beds,$75,$ 7 5   p e r   n i g h t,4.46 (164)
Private room in New York,High ceiling East Village private room,1 double bed,$80,$ 8 0   p e r   n i g h t,4.93 (56)
Private room in Brooklyn,"An Oasis in the Heart of Williamsburg, BK",1 double bed,$55,$ 5 5   p e r   n i g h t,4.88 (42)
Hotel room in New York,"Staypineapple New York, Cosmo King",1 king bed,$137,$ 1 3 7   p e r   n i g h t,4.64 (104)
Apartment in New York,Studio with 1 Queen Bed at Candlewood Suites Times Square,1 queen bed,$109,$ 1 0 9   p e r   n i g h t,New
