,Apartments,Apartments,Apartments,Apartments,Trulia,Trulia,Trulia,Trulia,Zillow,Zillow,Zillow,Zillow
,Rent,Borough,Zip,Year,Zip,Borough,Year,Rent,mean_rent,Zip,Borough,Year
0,16000,Manhattan,10013,2022.0,10463,Bronx,2022.0,2245,2216.6,11385,Queens,2015
1,8250,Manhattan,10012,2022.0,,,,,1303.9,10467,Bronx,2015
2,2200,Manhattan,10031,2022.0,,,,,1909.4,11226,Brooklyn,2015
3,13000,Manhattan,10011,2022.0,10452,Bronx,2022.0,1581,1686.4,11220,Brooklyn,2015
4,55000,Manhattan,10065,2022.0,,,,,2113.6,11207,Brooklyn,2015
5,32000,Manhattan,10011,2022.0,,,,,1529.6,11214,Brooklyn,2015
6,24990,Manhattan,10013,2022.0,,,,,3115.3,10025,Manhattan,2015
7,11000,Manhattan,10012,2022.0,,,,,2217.7,11221,Brooklyn,2015
8,16500,Manhattan,10013,2022.0,,,,,1360.6,10458,Bronx,2015
9,10000,Manhattan,10012,2022.0,10458,Bronx,2022.0,3000,1752.5,11235,Brooklyn,2015
10,11500,Manhattan,10007,2022.0,11102,Queens,2022.0,3126,2758.7,11206,Brooklyn,2015
11,23000,Manhattan,10013,2022.0,,,,,1765.3,11229,Brooklyn,2015
12,3785,Manhattan,10036,2022.0,,,,,1605.8,11355,Queens,2015
13,13500,Manhattan,10031,2022.0,,,,,1765.1,11230,Brooklyn,2015
14,16250,Manhattan,10013,2022.0,,,,,2034.3,11233,Brooklyn,2015
15,16500,Manhattan,10013,2022.0,,,,,1309.3,10457,Bronx,2015
16,45000,Manhattan,10014,2022.0,,,,,1339.9,10462,Bronx,2015
17,27500,Manhattan,10011,2022.0,,,,,2334.4,10029,Manhattan,2015
18,30000,Manhattan,10013,2022.0,,,,,2102.4,11218,Brooklyn,2015
19,9500,Manhattan,10010,2022.0,,,,,2946.6,10002,Manhattan,2015
20,12500,Manhattan,10001,2022.0,,,,,1926.8,11375,Queens,2015
21,26000,Manhattan,10019,2022.0,,,,,2068.4,10463,Bronx,2015
22,2799,Manhattan,10003,2022.0,,,,,2645.4,11215,Brooklyn,2015
23,12000,Manhattan,10012,2022.0,11363,Queens,2022.0,1795,1880.7,11213,Brooklyn,2015
24,1300,Manhattan,10463,2022.0,,,,,1694.7,11209,Brooklyn,2015
25,9400,Manhattan,10023,2022.0,,,,,2386.4,10027,Manhattan,2015
26,30000,Manhattan,10022,2022.0,,,,,3184.3,11211,Brooklyn,2015
27,3000,Manhattan,10031,2022.0,10025,New York,2022.0,3372,3161.3,11201,Brooklyn,2015
28,6780,Manhattan,10036,2022.0,,,,,2018.8,10032,Manhattan,2015
29,4295,Manhattan,10002,2022.0,,,,,3420.1,10023,Manhattan,2015
30,3500,Manhattan,10017,2022.0,,,,,2606.2,10128,Manhattan,2015
31,2700,Manhattan,10028,2022.0,,,,,3101.3,11238,Brooklyn,2015
32,3495,Manhattan,10009,2022.0,,,,,2274.6,11216,Brooklyn,2015
33,3495,Manhattan,10009,2022.0,,,,,3081.1,10009,Manhattan,2015
34,4895,Manhattan,10009,2022.0,,,,,1438.3,11435,Queens,2015
35,3200,Manhattan,10128,2022.0,,,,,2977.3,10024,Manhattan,2015
36,2400,Manhattan,10029,2022.0,,,,,2033.6,11225,Brooklyn,2015
37,2700,Manhattan,10028,2022.0,,,,,2119.3,10033,Manhattan,2015
38,3499,Manhattan,10003,2022.0,,,,,2183.4,10031,Manhattan,2015
39,3300,Manhattan,10011,2022.0,,,,,1996.2,11354,Queens,2015
40,3900,Manhattan,10010,2022.0,,,,,3208.3,10003,Manhattan,2015
41,5800,Manhattan,10009,2022.0,,,,,3511.0,10016,Manhattan,2015
42,4150,Manhattan,10009,2022.0,,,,,3556.3,10011,Manhattan,2015
43,5445,Manhattan,10016,2022.0,,,,,1289.1,10461,Bronx,2015
44,2350,Manhattan,10017,2022.0,,,,,2364.9,11237,Brooklyn,2015
45,6800,Manhattan,10025,2022.0,,,,,2640.8,10028,Manhattan,2015
46,1650,Manhattan,10021,2022.0,,,,,1311.3,11228,Brooklyn,2015
47,3100,Manhattan,10029,2022.0,,,,,2495.2,11205,Brooklyn,2015
48,3000,Manhattan,10035,2022.0,,,,,1678.3,10040,Manhattan,2015
49,2850,Manhattan,10012,2022.0,,,,,1856.9,11374,Queens,2015
50,4125,Manhattan,10044,2022.0,,,,,3445.5,10019,Manhattan,2015
51,4500,Manhattan,10029,2022.0,10025,New York,2022.0,4565,2591.8,10021,Manhattan,2015
52,5300,Manhattan,10018,2022.0,,,,,2939.0,11217,Brooklyn,2015
53,50000,Manhattan,10013,2022.0,,,,,2765.7,11101,Queens,2015
54,75000,Manhattan,10012,2022.0,,,,,2540.3,10026,Manhattan,2015
55,12750,Manhattan,10021,2022.0,,,,,2689.3,11222,Brooklyn,2015
56,28500,Manhattan,10013,2022.0,,,,,2817.0,11231,Brooklyn,2015
57,19500,Manhattan,10065,2022.0,,,,,2115.7,11106,Queens,2015
58,19750,Manhattan,10065,2022.0,,,,,3539.7,11249,Brooklyn,2015
59,10950,Manhattan,10027,2022.0,,,,,2209.5,11105,Queens,2015
60,25000,Manhattan,10017,2022.0,,,,,3583.6,10010,Manhattan,2015
61,17500,Manhattan,10065,2022.0,,,,,2170.9,10035,Manhattan,2015
62,15575,Manhattan,10021,2022.0,,,,,1863.1,11103,Queens,2015
63,16000,Manhattan,10022,2022.0,,,,,3153.6,10022,Manhattan,2015
64,25950,Manhattan,10011,2022.0,10065,New York,2022.0,3365,3444.3,10014,Manhattan,2015
65,11538,Manhattan,10025,2022.0,,,,,1951.1,10030,Manhattan,2015
66,19950,Manhattan,10024,2022.0,10304,Staten Island,2022.0,2433,2246.8,11102,Queens,2015
67,24800,Manhattan,10021,2022.0,,,,,2943.9,10065,Manhattan,2015
68,75000,Manhattan,10028,2022.0,,,,,4436.8,10013,Manhattan,2015
69,40000,Manhattan,10014,2022.0,,,,,3199.4,10036,Manhattan,2015
70,2100,Manhattan,11372,2022.0,,,,,2266.2,10075,Manhattan,2015
71,6995,Manhattan,10003,2022.0,10305,Staten Island,2022.0,2475,3898.7,10001,Manhattan,2015
72,4750,Manhattan,10011,2022.0,,,,,3657.6,10038,Manhattan,2015
73,2299,The Bronx,10457,2022.0,,,,,3151.3,10012,Manhattan,2015
74,2100,The Bronx,10465,2022.0,11435,Queens,2022.0,2040,3060.9,10017,Manhattan,2015
75,1850,The Bronx,10461,2022.0,,,,,3691.3,10018,Manhattan,2015
76,2300,The Bronx,10465,2022.0,,,,,3518.3,10005,Manhattan,2015
77,2200,The Bronx,10031,2022.0,,,,,5780.3,10282,Manhattan,2015
78,13500,The Bronx,10031,2022.0,,,,,3735.8,10004,Manhattan,2015
79,2700,The Bronx,10462,2022.0,,,,,3278.2,10006,Manhattan,2015
80,2100,The Bronx,10461,2022.0,,,,,2790.3,11109,Queens,2015
81,1995,The Bronx,10803,2022.0,,,,,2254.3,11385,Queens,2015
