rent,borough,zipcode,year
16000.0,MANHATTAN,10013,2022
8250.0,MANHATTAN,10012,2022
2200.0,MANHATTAN,10031,2022
13000.0,MANHATTAN,10011,2022
55000.0,MANHATTAN,10065,2022
32000.0,MANHATTAN,10011,2022
24990.0,MANHATTAN,10013,2022
11000.0,MANHATTAN,10012,2022
16500.0,MANHATTAN,10013,2022
10000.0,MANHATTAN,10012,2022
11500.0,MANHATTAN,10007,2022
23000.0,MANHATTAN,10013,2022
3785.0,MANHATTAN,10036,2022
13500.0,MANHATTAN,10031,2022
16250.0,MANHATTAN,10013,2022
16500.0,MANHATTAN,10013,2022
45000.0,MANHATTAN,10014,2022
27500.0,MANHATTAN,10011,2022
30000.0,MANHATTAN,10013,2022
9500.0,MANHATTAN,10010,2022
12500.0,MANHATTAN,10001,2022
26000.0,MANHATTAN,10019,2022
2799.0,MANHATTAN,10003,2022
12000.0,MANHATTAN,10012,2022
1300.0,MANHATTAN,10463,2022
9400.0,MANHATTAN,10023,2022
30000.0,MANHATTAN,10022,2022
3000.0,MANHATTAN,10031,2022
6780.0,MANHATTAN,10036,2022
4295.0,MANHATTAN,10002,2022
3500.0,MANHATTAN,10017,2022
2700.0,MANHATTAN,10028,2022
3495.0,MANHATTAN,10009,2022
3495.0,MANHATTAN,10009,2022
4895.0,MANHATTAN,10009,2022
3200.0,MANHATTAN,10128,2022
2400.0,MANHATTAN,10029,2022
2700.0,MANHATTAN,10028,2022
3499.0,MANHATTAN,10003,2022
3300.0,MANHATTAN,10011,2022
3900.0,MANHATTAN,10010,2022
5800.0,MANHATTAN,10009,2022
4150.0,MANHATTAN,10009,2022
5445.0,MANHATTAN,10016,2022
2350.0,MANHATTAN,10017,2022
6800.0,MANHATTAN,10025,2022
1650.0,MANHATTAN,10021,2022
3100.0,MANHATTAN,10029,2022
3000.0,MANHATTAN,10035,2022
2850.0,MANHATTAN,10012,2022
4125.0,MANHATTAN,10044,2022
4500.0,MANHATTAN,10029,2022
5300.0,MANHATTAN,10018,2022
50000.0,MANHATTAN,10013,2022
75000.0,MANHATTAN,10012,2022
12750.0,MANHATTAN,10021,2022
28500.0,MANHATTAN,10013,2022
19500.0,MANHATTAN,10065,2022
19750.0,MANHATTAN,10065,2022
10950.0,MANHATTAN,10027,2022
25000.0,MANHATTAN,10017,2022
17500.0,MANHATTAN,10065,2022
15575.0,MANHATTAN,10021,2022
16000.0,MANHATTAN,10022,2022
25950.0,MANHATTAN,10011,2022
11538.0,MANHATTAN,10025,2022
19950.0,MANHATTAN,10024,2022
24800.0,MANHATTAN,10021,2022
75000.0,MANHATTAN,10028,2022
40000.0,MANHATTAN,10014,2022
2100.0,QUEENS,11372,2022
6995.0,MANHATTAN,10003,2022
4750.0,MANHATTAN,10011,2022
2299.0,BRONX,10457,2022
2100.0,BRONX,10465,2022
1850.0,BRONX,10461,2022
2300.0,BRONX,10465,2022
2200.0,MANHATTAN,10031,2022
13500.0,MANHATTAN,10031,2022
2700.0,BRONX,10462,2022
2100.0,BRONX,10461,2022
2900.0,BRONX,10461,2022
1300.0,BRONX,10463,2022
2300.0,BRONX,10461,2022
2900.0,BRONX,10465,2022
3000.0,MANHATTAN,10031,2022
2600.0,BRONX,10462,2022
2800.0,BRONX,10461,2022
2400.0,MANHATTAN,10029,2022
3200.0,BRONX,10473,2022
3100.0,BRONX,10470,2022
2500.0,BRONX,10473,2022
3000.0,MANHATTAN,10035,2022
1715.0,BRONX,10472,2022
2912.0,BRONX,10459,2022
6850.0,BRONX,10471,2022
4900.0,BRONX,10463,2022
1850.0,BRONX,10466,2022
2700.0,BRONX,10467,2022
3200.0,BRONX,10471,2022
2300.0,BRONX,10461,2022
1300.0,BRONX,10470,2022
4500.0,BRONX,10471,2022
2550.0,BRONX,10463,2022
1700.0,BRONX,10465,2022
3600.0,BRONX,10473,2022
2900.0,BRONX,10456,2022
10950.0,MANHATTAN,10027,2022
5000.0,QUEENS,11357,2022
3090.0,MANHATTAN,10026,2022
3500.0,BRONX,10454,2022
4995.0,BRONX,10463,2022
4400.0,BRONX,10471,2022
4999.0,BRONX,10464,2022
4000.0,BRONX,10465,2022
2400.0,BRONX,10461,2022
4200.0,BRONX,10459,2022
2100.0,QUEENS,11357,2022
10998.0,BRONX,10464,2022
2300.0,BRONX,10452,2022
1900.0,BRONX,10467,2022
2300.0,QUEENS,11385,2022
2875.0,QUEENS,11385,2022
2000.0,QUEENS,11415,2022
900.0,QUEENS,11432,2022
2400.0,QUEENS,11694,2022
2500.0,QUEENS,11433,2022
3500.0,QUEENS,11375,2022
