zip_code,state,city,borough,date,home_value
11368,NY,New York,QUEENS,2002-01-31,249885.0
11385,NY,New York,QUEENS,2002-01-31,333404.0
11236,NY,New York,BROOKLYN,2002-01-31,255687.0
11208,NY,New York,BROOKLYN,2002-01-31,235676.0
10467,NY,New York,BRONX,2002-01-31,174696.0
11226,NY,New York,BROOKLYN,2002-01-31,323439.0
11373,NY,New York,QUEENS,2002-01-31,259037.0
11234,NY,New York,BROOKLYN,2002-01-31,293361.0
11220,NY,New York,BROOKLYN,2002-01-31,246950.0
11207,NY,New York,BROOKLYN,2002-01-31,199280.0
11214,NY,New York,BROOKLYN,2002-01-31,252545.0
10025,NY,New York,MANHATTAN,2002-01-31,469688.0
10456,NY,New York,BRONX,2002-01-31,180800.0
10314,NY,New York,STATEN_ISLAND,2002-01-31,239077.0
11219,NY,New York,BROOKLYN,2002-01-31,325699.0
11221,NY,New York,BROOKLYN,2002-01-31,250323.0
10458,NY,New York,BRONX,2002-01-31,182379.0
11235,NY,New York,BROOKLYN,2002-01-31,252519.0
11223,NY,New York,BROOKLYN,2002-01-31,329428.0
11377,NY,New York,QUEENS,2002-01-31,330773.0
11206,NY,New York,BROOKLYN,2002-01-31,327826.0
10453,NY,New York,BRONX,2002-01-31,190506.0
11229,NY,New York,BROOKLYN,2002-01-31,247931.0
11355,NY,New York,QUEENS,2002-01-31,285340.0
11204,NY,New York,BROOKLYN,2002-01-31,317600.0
11230,NY,New York,BROOKLYN,2002-01-31,386765.0
11233,NY,New York,BROOKLYN,2002-01-31,197160.0
10468,NY,New York,BRONX,2002-01-31,119661.0
10457,NY,New York,BRONX,2002-01-31,238025.0
10462,NY,New York,BRONX,2002-01-31,91273.0
10029,NY,New York,MANHATTAN,2002-01-31,341137.0
11218,NY,New York,BROOKLYN,2002-01-31,314705.0
10469,NY,New York,BRONX,2002-01-31,303502.0
10466,NY,New York,BRONX,2002-01-31,233223.0
11203,NY,New York,BROOKLYN,2002-01-31,246514.0
11212,NY,New York,BROOKLYN,2002-01-31,218146.0
10002,NY,New York,MANHATTAN,2002-01-31,517155.0
11375,NY,New York,QUEENS,2002-01-31,401582.0
10463,NY,New York,BRONX,2002-01-31,224317.0
11215,NY,New York,BROOKLYN,2002-01-31,478585.0
10472,NY,New York,BRONX,2002-01-31,258831.0
11691,NY,New York,QUEENS,2002-01-31,301760.0
11213,NY,New York,BROOKLYN,2002-01-31,256008.0
11210,NY,New York,BROOKLYN,2002-01-31,304143.0
11209,NY,New York,BROOKLYN,2002-01-31,378610.0
10027,NY,New York,MANHATTAN,2002-01-31,208584.0
11211,NY,New York,BROOKLYN,2002-01-31,298045.0
11372,NY,New York,QUEENS,2002-01-31,212044.0
10312,NY,New York,STATEN_ISLAND,2002-01-31,287966.0
11201,NY,New York,BROOKLYN,2002-01-31,461317.0
