zip_code,state,city,borough,date,mean_rent
11385,NY,New York,QUEENS,2015-03-31,2216.568524128707
10467,NY,New York,BRONX,2015-03-31,1303.888993436869
11226,NY,New York,BROOKLYN,2015-03-31,1909.3836813533355
11220,NY,New York,BROOKLYN,2015-03-31,1686.4217060077845
11207,NY,New York,BROOKLYN,2015-03-31,2113.6104483958666
11214,NY,New York,BROOKLYN,2015-03-31,1529.5554596565305
10025,NY,New York,MANHATTAN,2015-03-31,3115.260749103786
11221,NY,New York,BROOKLYN,2015-03-31,2217.6897812509774
10458,NY,New York,BRONX,2015-03-31,1360.6055567168396
11235,NY,New York,BROOKLYN,2015-03-31,1752.4653444007151
11206,NY,New York,BROOKLYN,2015-03-31,2758.677774099697
11229,NY,New York,BROOKLYN,2015-03-31,1765.2542526054813
11355,NY,New York,QUEENS,2015-03-31,1605.8432091320883
11230,NY,New York,BROOKLYN,2015-03-31,1765.060170010421
11233,NY,New York,BROOKLYN,2015-03-31,2034.3105887795728
10457,NY,New York,BRONX,2015-03-31,1309.3121393049744
10462,NY,New York,BRONX,2015-03-31,1339.9261216943833
10029,NY,New York,MANHATTAN,2015-03-31,2334.3893615538805
11218,NY,New York,BROOKLYN,2015-03-31,2102.381607195523
10002,NY,New York,MANHATTAN,2015-03-31,2946.61637115688
11375,NY,New York,QUEENS,2015-03-31,1926.7931971470696
10463,NY,New York,BRONX,2015-03-31,2068.400786197425
11215,NY,New York,BROOKLYN,2015-03-31,2645.3603196629174
11213,NY,New York,BROOKLYN,2015-03-31,1880.7274362404528
11209,NY,New York,BROOKLYN,2015-03-31,1694.7021230326077
10027,NY,New York,MANHATTAN,2015-03-31,2386.3659554194505
11211,NY,New York,BROOKLYN,2015-03-31,3184.2753091192058
11201,NY,New York,BROOKLYN,2015-03-31,3161.319105333188
10032,NY,New York,MANHATTAN,2015-03-31,2018.7816674021535
10023,NY,New York,MANHATTAN,2015-03-31,3420.1263607340256
10128,NY,New York,MANHATTAN,2015-03-31,2606.199307763233
11238,NY,New York,BROOKLYN,2015-03-31,3101.280068988796
