"Label (Grouping)","HOUSING OCCUPANCY","HOUSING OCCUPANCY!!Total housing units","HOUSING OCCUPANCY!!Occupied housing units","HOUSING OCCUPANCY!!Vacant housing units","HOUSING OCCUPANCY!!Homeowner vacancy rate","HOUSING OCCUPANCY!!Rental vacancy rate","UNITS IN STRUCTURE","UNITS IN STRUCTURE!!Total housing units","UNITS IN STRUCTURE!!1-unit, detached","UNITS IN STRUCTURE!!1-unit, attached","UNITS IN STRUCTURE!!2 units","UNITS IN STRUCTURE!!3 or 4 units","UNITS IN STRUCTURE!!5 to 9 units","UNITS IN STRUCTURE!!10 to 19 units","UNITS IN STRUCTURE!!20 or more units","UNITS IN STRUCTURE!!Mobile home","UNITS IN STRUCTURE!!Boat, RV, van, etc.","YEAR STRUCTURE BUILT","YEAR STRUCTURE BUILT!!Total housing units","YEAR STRUCTURE BUILT!!Built 2005 or later","YEAR STRUCTURE BUILT!!Built 2000 to 2004","YEAR STRUCTURE BUILT!!Built 1990 to 1999","YEAR STRUCTURE BUILT!!Built 1980 to 1989","YEAR STRUCTURE BUILT!!Built 1970 to 1979","YEAR STRUCTURE BUILT!!Built 1960 to 1969","YEAR STRUCTURE BUILT!!Built 1950 to 1959","YEAR STRUCTURE BUILT!!Built 1940 to 1949","YEAR STRUCTURE BUILT!!Built 1939 or earlier","ROOMS","ROOMS!!Total housing units","ROOMS!!1 room","ROOMS!!2 rooms","ROOMS!!3 rooms","ROOMS!!4 rooms","ROOMS!!5 rooms","ROOMS!!6 rooms","ROOMS!!7 rooms","ROOMS!!8 rooms","ROOMS!!9 rooms or more","ROOMS!!Median rooms","BEDROOMS","BEDROOMS!!Total housing units","BEDROOMS!!No bedroom","BEDROOMS!!1 bedroom","BEDROOMS!!2 bedrooms","BEDROOMS!!3 bedrooms","BEDROOMS!!4 bedrooms","BEDROOMS!!5 or more bedrooms","HOUSING TENURE","HOUSING TENURE!!Occupied housing units","HOUSING TENURE!!Owner-occupied","HOUSING TENURE!!Renter-occupied","HOUSING TENURE!!Average household size of owner-occupied unit","HOUSING TENURE!!Average household size of renter-occupied unit","YEAR HOUSEHOLDER MOVED INTO UNIT","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units","YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 2005 or later","YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 2000 to 2004","YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 1990 to 1999","YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 1980 to 1989","YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 1970 to 1979","YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 1969 or earlier","VEHICLES AVAILABLE","VEHICLES AVAILABLE!!Occupied housing units","VEHICLES AVAILABLE!!No vehicles available","VEHICLES AVAILABLE!!1 vehicle available","VEHICLES AVAILABLE!!2 vehicles available","VEHICLES AVAILABLE!!3 or more vehicles available","HOUSE HEATING FUEL","HOUSE HEATING FUEL!!Occupied housing units","HOUSE HEATING FUEL!!Utility gas","HOUSE HEATING FUEL!!Bottled, tank, or LP gas","HOUSE HEATING FUEL!!Electricity","HOUSE HEATING FUEL!!Fuel oil, kerosene, etc.","HOUSE HEATING FUEL!!Coal or coke","HOUSE HEATING FUEL!!Wood","HOUSE HEATING FUEL!!Solar energy","HOUSE HEATING FUEL!!Other fuel","HOUSE HEATING FUEL!!No fuel used","SELECTED CHARACTERISTICS","SELECTED CHARACTERISTICS!!Occupied housing units","SELECTED CHARACTERISTICS!!Lacking complete plumbing facilities","SELECTED CHARACTERISTICS!!Lacking complete kitchen facilities","SELECTED CHARACTERISTICS!!No telephone service available","OCCUPANTS PER ROOM","OCCUPANTS PER ROOM!!Occupied housing units","OCCUPANTS PER ROOM!!1.00 or less","OCCUPANTS PER ROOM!!1.01 to 1.50","OCCUPANTS PER ROOM!!1.51 or more","VALUE","VALUE!!Owner-occupied units","VALUE!!Less than $50,000","VALUE!!$50,000 to $99,999","VALUE!!$100,000 to $149,999","VALUE!!$150,000 to $199,999","VALUE!!$200,000 to $299,999","VALUE!!$300,000 to $499,999","VALUE!!$500,000 to $999,999","VALUE!!$1,000,000 or more","VALUE!!Median (dollars)","MORTGAGE STATUS","MORTGAGE STATUS!!Owner-occupied units","MORTGAGE STATUS!!Housing units with a mortgage","MORTGAGE STATUS!!Housing units without a mortgage","SELECTED MONTHLY OWNER COSTS (SMOC)","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage","SELECTED MONTHLY OWNER COSTS (SMOC)!!Less than $300","SELECTED MONTHLY OWNER COSTS (SMOC)!!$300 to $499","SELECTED MONTHLY OWNER COSTS (SMOC)!!$500 to $699","SELECTED MONTHLY OWNER COSTS (SMOC)!!$700 to $999","SELECTED MONTHLY OWNER COSTS (SMOC)!!$1,000 to $1,499","SELECTED MONTHLY OWNER COSTS (SMOC)!!$1,500 to $1,999","SELECTED MONTHLY OWNER COSTS (SMOC)!!$2,000 or more","SELECTED MONTHLY OWNER COSTS (SMOC)!!Median (dollars)","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage","SELECTED MONTHLY OWNER COSTS (SMOC)!!Less than $100","SELECTED MONTHLY OWNER COSTS (SMOC)!!$100 to $199","SELECTED MONTHLY OWNER COSTS (SMOC)!!$200 to $299","SELECTED MONTHLY OWNER COSTS (SMOC)!!$300 to $399","SELECTED MONTHLY OWNER COSTS (SMOC)!!$400 or more","SELECTED MONTHLY OWNER COSTS (SMOC)!!Median (dollars)","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Less than 20.0 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!20.0 to 24.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!25.0 to 29.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!30.0 to 34.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!35.0 percent or more","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Not computed","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Less than 10.0 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!10.0 to 14.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!15.0 to 19.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!20.0 to 24.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!25.0 to 29.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!30.0 to 34.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!35.0 percent or more","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Not computed","GROSS RENT","GROSS RENT!!Occupied units paying rent","GROSS RENT!!Less than $200","GROSS RENT!!$200 to $299","GROSS RENT!!$300 to $499","GROSS RENT!!$500 to $749","GROSS RENT!!$750 to $999","GROSS RENT!!$1,000 to $1,499","GROSS RENT!!$1,500 or more","GROSS RENT!!Median (dollars)","GROSS RENT!!No rent paid","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Less than 15.0 percent","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!15.0 to 19.9 percent","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!20.0 to 24.9 percent","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!25.0 to 29.9 percent","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!30.0 to 34.9 percent","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!35.0 percent or more","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Not computed"
"Bronx borough, Bronx County, New York","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","512,320","467,138","45,182","4.2","3.7","","512,320","31,005","22,828","49,104","50,878","20,041","25,975","310,869","1,045","575","","512,320","19,640","15,790","21,506","16,348","38,014","71,184","75,530","51,775","202,533","","512,320","28,694","14,613","147,580","153,517","100,372","37,635","12,025","7,042","10,842","3.9","","512,320","30,936","169,592","173,003","112,477","17,238","9,074","","467,138","88,816","378,322","3.14","2.83","","467,138","214,717","77,317","81,810","44,785","32,498","16,011","","467,138","285,399","136,695","35,676","9,368","","467,138","167,384","5,428","35,072","250,398","331","103","85","4,050","4,287","","467,138","2,824","4,504","14,797","","467,138","410,513","37,190","19,435","","88,816","8,296","3,174","6,792","4,657","8,039","38,002","17,985","1,871","372,100","","88,816","56,906","31,910","","56,906","1,309","741","1,143","4,403","7,295","9,869","32,146","2,247","31,910","4,597","2,472","1,341","833","22,667","739","","56,713","13,686","5,582","5,278","4,778","27,389","193","31,329","12,237","4,279","3,193","2,524","1,410","1,152","6,534","581","","368,817","7,779","25,725","32,348","40,965","73,353","142,100","46,547","1,012","9,505","","361,819","34,219","34,983","33,047","39,847","35,245","184,478","16,503"
"    Margin of Error","","±1,192","±3,746","±3,648","±1.2","±0.6","","±1,192","±2,617","±1,926","±3,341","±3,248","±2,482","±2,819","±4,513","±579","±485","","±1,192","±2,308","±1,960","±2,240","±1,806","±3,126","±4,460","±3,925","±3,344","±5,774","","±1,192","±2,778","±1,584","±5,394","±5,250","±4,616","±2,596","±1,580","±1,166","±1,552","±0.1","","±1,192","±2,796","±5,509","±5,928","±5,079","±2,073","±1,332","","±3,746","±4,211","±5,485","±0.09","±0.03","","±3,746","±6,161","±4,611","±3,723","±3,810","±2,574","±1,472","","±3,746","±5,476","±5,494","±3,253","±1,449","","±3,746","±5,991","±854","±2,785","±6,242","±372","±172","±101","±980","±847","","±3,746","±826","±1,256","±1,513","","±3,746","±4,923","±3,076","±2,195","","±4,211","±1,615","±990","±1,418","±1,107","±1,176","±2,694","±2,364","±598","±11,802","","±4,211","±3,699","±2,226","","±3,699","±883","±359","±518","±1,274","±1,442","±1,585","±2,676","±134","±2,226","±1,010","±1,028","±638","±481","±1,920","±33","","±3,692","±1,974","±1,255","±1,223","±1,104","±2,329","±150","±2,296","±1,582","±983","±851","±804","±523","±523","±1,183","±335","","±5,593","±1,270","±2,363","±2,593","±3,353","±4,075","±5,094","±3,590","±13","±1,534","","±5,799","±2,663","±3,093","±3,183","±3,202","±3,141","±5,462","±2,006"
"    Percent","","512,320","91.2%","8.8%","(X)","(X)","","512,320","6.1%","4.5%","9.6%","9.9%","3.9%","5.1%","60.7%","0.2%","0.1%","","512,320","3.8%","3.1%","4.2%","3.2%","7.4%","13.9%","14.7%","10.1%","39.5%","","512,320","5.6%","2.9%","28.8%","30.0%","19.6%","7.3%","2.3%","1.4%","2.1%","(X)","","512,320","6.0%","33.1%","33.8%","22.0%","3.4%","1.8%","","467,138","19.0%","81.0%","(X)","(X)","","467,138","46.0%","16.6%","17.5%","9.6%","7.0%","3.4%","","467,138","61.1%","29.3%","7.6%","2.0%","","467,138","35.8%","1.2%","7.5%","53.6%","0.1%","0.0%","0.0%","0.9%","0.9%","","467,138","0.6%","1.0%","3.2%","","467,138","87.9%","8.0%","4.2%","","88,816","9.3%","3.6%","7.6%","5.2%","9.1%","42.8%","20.2%","2.1%","(X)","","88,816","64.1%","35.9%","","56,906","2.3%","1.3%","2.0%","7.7%","12.8%","17.3%","56.5%","(X)","31,910","14.4%","7.7%","4.2%","2.6%","71.0%","(X)","","56,713","24.1%","9.8%","9.3%","8.4%","48.3%","(X)","31,329","39.1%","13.7%","10.2%","8.1%","4.5%","3.7%","20.9%","(X)","","368,817","2.1%","7.0%","8.8%","11.1%","19.9%","38.5%","12.6%","(X)","(X)","","361,819","9.5%","9.7%","9.1%","11.0%","9.7%","51.0%","(X)"
"    Percent Margin of Error","","(X)","±0.7","±0.7","(X)","(X)","","(X)","±0.5","±0.4","±0.6","±0.6","±0.5","±0.6","±0.9","±0.1","±0.1","","(X)","±0.5","±0.4","±0.4","±0.4","±0.6","±0.9","±0.8","±0.7","±1.1","","(X)","±0.5","±0.3","±1.0","±1.0","±0.9","±0.5","±0.3","±0.2","±0.3","(X)","","(X)","±0.5","±1.1","±1.2","±1.0","±0.4","±0.3","","(X)","±0.9","±0.9","(X)","(X)","","(X)","±1.2","±1.0","±0.8","±0.8","±0.5","±0.3","","(X)","±1.1","±1.1","±0.7","±0.3","","(X)","±1.2","±0.2","±0.6","±1.2","±0.1","±0.1","±0.1","±0.2","±0.2","","(X)","±0.2","±0.3","±0.3","","(X)","±0.8","±0.6","±0.5","","(X)","±1.7","±1.1","±1.5","±1.2","±1.3","±2.7","±2.4","±0.7","(X)","","(X)","±2.3","±2.3","","(X)","±1.5","±0.6","±0.9","±2.1","±2.4","±2.5","±3.6","(X)","(X)","±3.2","±3.1","±1.9","±1.5","±3.6","(X)","","(X)","±2.9","±2.1","±2.1","±1.9","±3.1","(X)","(X)","±4.0","±3.0","±2.6","±2.5","±1.7","±1.6","±3.5","(X)","","(X)","±0.3","±0.6","±0.7","±0.9","±1.1","±1.2","±1.0","(X)","(X)","","(X)","±0.7","±0.8","±0.9","±0.9","±0.9","±1.3","(X)"
"Brooklyn borough, Kings County, New York","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","1,001,296","901,062","100,234","3.7","4.7","","1,001,296","55,477","81,694","174,213","180,246","108,744","57,238","341,756","1,601","327","","1,001,296","38,640","28,097","28,706","26,273","52,601","109,475","109,921","93,133","514,450","","1,001,296","55,632","51,705","252,147","283,398","168,516","90,974","36,724","21,108","41,092","4.0","","1,001,296","60,986","296,508","343,124","215,549","54,436","30,693","","901,062","258,193","642,869","3.13","2.62","","901,062","403,015","138,974","173,455","84,830","58,597","42,191","","901,062","522,054","291,854","73,032","14,122","","901,062","666,962","14,249","50,547","152,038","519","494","674","6,807","8,772","","901,062","7,477","10,752","32,119","","901,062","806,487","58,681","35,894","","258,193","4,534","4,937","4,065","6,080","18,650","69,141","122,489","28,297","563,200","","258,193","167,097","91,096","","167,097","439","901","2,111","6,084","14,286","25,434","117,842","2,598","91,096","3,742","2,146","1,981","4,409","78,818","782","","165,820","35,839","18,230","16,631","12,688","82,432","1,277","90,008","26,338","14,420","10,677","7,060","4,942","5,262","21,309","1,088","","625,321","7,811","36,380","39,412","62,032","103,433","238,411","137,842","1,113","17,548","","605,466","65,255","61,240","69,605","65,178","57,539","286,649","37,403"
"    Margin of Error","","±1,296","±4,812","±4,493","±0.5","±0.4","","±1,296","±3,210","±3,759","±4,950","±6,081","±4,361","±2,915","±7,130","±672","±228","","±1,296","±2,723","±2,298","±2,368","±2,100","±3,512","±4,827","±4,298","±3,768","±7,429","","±1,296","±3,841","±3,043","±6,168","±6,976","±5,401","±4,047","±2,628","±2,010","±2,531","±0.1","","±1,296","±4,004","±5,833","±7,130","±5,815","±2,991","±2,319","","±4,812","±5,630","±6,468","±0.04","±0.02","","±4,812","±8,392","±5,264","±4,700","±3,580","±3,500","±3,259","","±4,812","±7,780","±6,151","±3,970","±1,902","","±4,812","±6,286","±1,399","±3,338","±5,537","±395","±329","±399","±1,117","±1,305","","±4,812","±1,410","±1,595","±2,826","","±4,812","±5,725","±3,421","±2,850","","±5,630","±879","±902","±811","±809","±2,193","±3,366","±4,253","±2,310","±9,393","","±5,630","±5,918","±3,683","","±5,918","±356","±371","±613","±1,085","±1,455","±2,399","±4,880","±44","±3,683","±888","±512","±588","±926","±3,410","±19","","±5,974","±2,338","±1,701","±1,824","±1,582","±3,877","±408","±3,669","±2,008","±1,707","±1,369","±1,143","±948","±1,033","±1,861","±469","","±6,445","±1,347","±2,886","±3,493","±4,532","±4,604","±5,874","±5,275","±10","±2,197","","±6,985","±4,156","±3,460","±4,109","±3,710","±3,364","±6,721","±3,555"
"    Percent","","1,001,296","90.0%","10.0%","(X)","(X)","","1,001,296","5.5%","8.2%","17.4%","18.0%","10.9%","5.7%","34.1%","0.2%","0.0%","","1,001,296","3.9%","2.8%","2.9%","2.6%","5.3%","10.9%","11.0%","9.3%","51.4%","","1,001,296","5.6%","5.2%","25.2%","28.3%","16.8%","9.1%","3.7%","2.1%","4.1%","(X)","","1,001,296","6.1%","29.6%","34.3%","21.5%","5.4%","3.1%","","901,062","28.7%","71.3%","(X)","(X)","","901,062","44.7%","15.4%","19.3%","9.4%","6.5%","4.7%","","901,062","57.9%","32.4%","8.1%","1.6%","","901,062","74.0%","1.6%","5.6%","16.9%","0.1%","0.1%","0.1%","0.8%","1.0%","","901,062","0.8%","1.2%","3.6%","","901,062","89.5%","6.5%","4.0%","","258,193","1.8%","1.9%","1.6%","2.4%","7.2%","26.8%","47.4%","11.0%","(X)","","258,193","64.7%","35.3%","","167,097","0.3%","0.5%","1.3%","3.6%","8.5%","15.2%","70.5%","(X)","91,096","4.1%","2.4%","2.2%","4.8%","86.5%","(X)","","165,820","21.6%","11.0%","10.0%","7.7%","49.7%","(X)","90,008","29.3%","16.0%","11.9%","7.8%","5.5%","5.8%","23.7%","(X)","","625,321","1.2%","5.8%","6.3%","9.9%","16.5%","38.1%","22.0%","(X)","(X)","","605,466","10.8%","10.1%","11.5%","10.8%","9.5%","47.3%","(X)"
"    Percent Margin of Error","","(X)","±0.5","±0.5","(X)","(X)","","(X)","±0.3","±0.4","±0.5","±0.6","±0.4","±0.3","±0.7","±0.1","±0.1","","(X)","±0.3","±0.2","±0.2","±0.2","±0.4","±0.5","±0.4","±0.4","±0.7","","(X)","±0.4","±0.3","±0.6","±0.7","±0.5","±0.4","±0.3","±0.2","±0.3","(X)","","(X)","±0.4","±0.6","±0.7","±0.6","±0.3","±0.2","","(X)","±0.6","±0.6","(X)","(X)","","(X)","±0.8","±0.6","±0.5","±0.4","±0.4","±0.4","","(X)","±0.8","±0.7","±0.4","±0.2","","(X)","±0.6","±0.2","±0.4","±0.6","±0.1","±0.1","±0.1","±0.1","±0.1","","(X)","±0.2","±0.2","±0.3","","(X)","±0.5","±0.4","±0.3","","(X)","±0.3","±0.4","±0.3","±0.3","±0.8","±1.2","±1.3","±0.8","(X)","","(X)","±1.4","±1.4","","(X)","±0.2","±0.2","±0.4","±0.6","±0.9","±1.3","±1.5","(X)","(X)","±0.9","±0.5","±0.6","±1.0","±1.7","(X)","","(X)","±1.2","±1.0","±1.0","±0.9","±1.5","(X)","(X)","±1.8","±1.7","±1.4","±1.3","±1.0","±1.1","±1.9","(X)","","(X)","±0.2","±0.5","±0.6","±0.7","±0.7","±0.9","±0.8","(X)","(X)","","(X)","±0.7","±0.6","±0.7","±0.6","±0.5","±1.0","(X)"
