"Label (Grouping)","HOUSING OCCUPANCY","HOUSING OCCUPANCY!!Total housing units","HOUSING OCCUPANCY!!Total housing units!!Occupied housing units","HOUSING OCCUPANCY!!Total housing units!!Vacant housing units","HOUSING OCCUPANCY!!Homeowner vacancy rate","HOUSING OCCUPANCY!!Rental vacancy rate","UNITS IN STRUCTURE","UNITS IN STRUCTURE!!Total housing units","UNITS IN STRUCTURE!!Total housing units!!1-unit, detached","UNITS IN STRUCTURE!!Total housing units!!1-unit, attached","UNITS IN STRUCTURE!!Total housing units!!2 units","UNITS IN STRUCTURE!!Total housing units!!3 or 4 units","UNITS IN STRUCTURE!!Total housing units!!5 to 9 units","UNITS IN STRUCTURE!!Total housing units!!10 to 19 units","UNITS IN STRUCTURE!!Total housing units!!20 or more units","UNITS IN STRUCTURE!!Total housing units!!Mobile home","UNITS IN STRUCTURE!!Total housing units!!Boat, RV, van, etc.","YEAR STRUCTURE BUILT","YEAR STRUCTURE BUILT!!Total housing units","YEAR STRUCTURE BUILT!!Total housing units!!Built 2014 or later","YEAR STRUCTURE BUILT!!Total housing units!!Built 2010 to 2013","YEAR STRUCTURE BUILT!!Total housing units!!Built 2000 to 2009","YEAR STRUCTURE BUILT!!Total housing units!!Built 1990 to 1999","YEAR STRUCTURE BUILT!!Total housing units!!Built 1980 to 1989","YEAR STRUCTURE BUILT!!Total housing units!!Built 1970 to 1979","YEAR STRUCTURE BUILT!!Total housing units!!Built 1960 to 1969","YEAR STRUCTURE BUILT!!Total housing units!!Built 1950 to 1959","YEAR STRUCTURE BUILT!!Total housing units!!Built 1940 to 1949","YEAR STRUCTURE BUILT!!Total housing units!!Built 1939 or earlier","ROOMS","ROOMS!!Total housing units","ROOMS!!Total housing units!!1 room","ROOMS!!Total housing units!!2 rooms","ROOMS!!Total housing units!!3 rooms","ROOMS!!Total housing units!!4 rooms","ROOMS!!Total housing units!!5 rooms","ROOMS!!Total housing units!!6 rooms","ROOMS!!Total housing units!!7 rooms","ROOMS!!Total housing units!!8 rooms","ROOMS!!Total housing units!!9 rooms or more","ROOMS!!Total housing units!!Median rooms","BEDROOMS","BEDROOMS!!Total housing units","BEDROOMS!!Total housing units!!No bedroom","BEDROOMS!!Total housing units!!1 bedroom","BEDROOMS!!Total housing units!!2 bedrooms","BEDROOMS!!Total housing units!!3 bedrooms","BEDROOMS!!Total housing units!!4 bedrooms","BEDROOMS!!Total housing units!!5 or more bedrooms","HOUSING TENURE","HOUSING TENURE!!Occupied housing units","HOUSING TENURE!!Occupied housing units!!Owner-occupied","HOUSING TENURE!!Occupied housing units!!Renter-occupied","HOUSING TENURE!!Average household size of owner-occupied unit","HOUSING TENURE!!Average household size of renter-occupied unit","YEAR HOUSEHOLDER MOVED INTO UNIT","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 2015 or later","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 2010 to 2014","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 2000 to 2009","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 1990 to 1999","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 1980 to 1989","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 1979 and earlier","VEHICLES AVAILABLE","VEHICLES AVAILABLE!!Occupied housing units","VEHICLES AVAILABLE!!Occupied housing units!!No vehicles available","VEHICLES AVAILABLE!!Occupied housing units!!1 vehicle available","VEHICLES AVAILABLE!!Occupied housing units!!2 vehicles available","VEHICLES AVAILABLE!!Occupied housing units!!3 or more vehicles available","HOUSE HEATING FUEL","HOUSE HEATING FUEL!!Occupied housing units","HOUSE HEATING FUEL!!Occupied housing units!!Utility gas","HOUSE HEATING FUEL!!Occupied housing units!!Bottled, tank, or LP gas","HOUSE HEATING FUEL!!Occupied housing units!!Electricity","HOUSE HEATING FUEL!!Occupied housing units!!Fuel oil, kerosene, etc.","HOUSE HEATING FUEL!!Occupied housing units!!Coal or coke","HOUSE HEATING FUEL!!Occupied housing units!!Wood","HOUSE HEATING FUEL!!Occupied housing units!!Solar energy","HOUSE HEATING FUEL!!Occupied housing units!!Other fuel","HOUSE HEATING FUEL!!Occupied housing units!!No fuel used","SELECTED CHARACTERISTICS","SELECTED CHARACTERISTICS!!Occupied housing units","SELECTED CHARACTERISTICS!!Occupied housing units!!Lacking complete plumbing facilities","SELECTED CHARACTERISTICS!!Occupied housing units!!Lacking complete kitchen facilities","SELECTED CHARACTERISTICS!!Occupied housing units!!No telephone service available","OCCUPANTS PER ROOM","OCCUPANTS PER ROOM!!Occupied housing units","OCCUPANTS PER ROOM!!Occupied housing units!!1.00 or less","OCCUPANTS PER ROOM!!Occupied housing units!!1.01 to 1.50","OCCUPANTS PER ROOM!!Occupied housing units!!1.51 or more","VALUE","VALUE!!Owner-occupied units","VALUE!!Owner-occupied units!!Less than $50,000","VALUE!!Owner-occupied units!!$50,000 to $99,999","VALUE!!Owner-occupied units!!$100,000 to $149,999","VALUE!!Owner-occupied units!!$150,000 to $199,999","VALUE!!Owner-occupied units!!$200,000 to $299,999","VALUE!!Owner-occupied units!!$300,000 to $499,999","VALUE!!Owner-occupied units!!$500,000 to $999,999","VALUE!!Owner-occupied units!!$1,000,000 or more","VALUE!!Owner-occupied units!!Median (dollars)","MORTGAGE STATUS","MORTGAGE STATUS!!Owner-occupied units","MORTGAGE STATUS!!Owner-occupied units!!Housing units with a mortgage","MORTGAGE STATUS!!Owner-occupied units!!Housing units without a mortgage","SELECTED MONTHLY OWNER COSTS (SMOC)","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!Less than $500","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!$500 to $999","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!$1,000 to $1,499","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!$1,500 to $1,999","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!$2,000 to $2,499","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!$2,500 to $2,999","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!$3,000 or more","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!Median (dollars)","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!Less than $250","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!$250 to $399","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!$400 to $599","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!$600 to $799","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!$800 to $999","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!$1,000 or more","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!Median (dollars)","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)!!Less than 20.0 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)!!20.0 to 24.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)!!25.0 to 29.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)!!30.0 to 34.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)!!35.0 percent or more","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Not computed","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!Less than 10.0 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!10.0 to 14.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!15.0 to 19.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!20.0 to 24.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!25.0 to 29.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!30.0 to 34.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!35.0 percent or more","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Not computed","GROSS RENT","GROSS RENT!!Occupied units paying rent","GROSS RENT!!Occupied units paying rent!!Less than $500","GROSS RENT!!Occupied units paying rent!!$500 to $999","GROSS RENT!!Occupied units paying rent!!$1,000 to $1,499","GROSS RENT!!Occupied units paying rent!!$1,500 to $1,999","GROSS RENT!!Occupied units paying rent!!$2,000 to $2,499","GROSS RENT!!Occupied units paying rent!!$2,500 to $2,999","GROSS RENT!!Occupied units paying rent!!$3,000 or more","GROSS RENT!!Occupied units paying rent!!Median (dollars)","GROSS RENT!!No rent paid","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!Less than 15.0 percent","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!15.0 to 19.9 percent","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!20.0 to 24.9 percent","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!25.0 to 29.9 percent","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!30.0 to 34.9 percent","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!35.0 percent or more","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Not computed"
"Bronx borough, Bronx County, New York","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","528,851","503,985","24,866","1.9","1.7","","528,851","31,166","27,320","42,804","43,653","19,731","30,147","332,351","1,356","323","","528,851","6,516","10,785","25,153","21,716","21,472","39,708","75,910","71,255","49,231","207,105","","528,851","30,955","17,108","146,715","166,024","97,200","40,800","12,618","7,032","10,399","3.9","","528,851","33,798","168,090","182,240","117,595","19,980","7,148","","503,985","96,497","407,488","2.91","2.82","","503,985","100,862","131,946","129,549","73,317","30,903","37,408","","503,985","296,458","154,196","40,795","12,536","","503,985","219,158","12,178","55,025","195,023","298","0","65","6,775","15,463","","503,985","4,474","4,785","10,850","","503,985","440,076","38,991","24,918","","96,497","10,009","2,830","4,339","5,489","8,560","38,626","24,028","2,616","400,300","","96,497","58,645","37,852","","58,645","2,949","4,715","6,960","9,755","10,428","10,470","13,368","2,237","37,852","9,217","2,321","3,526","5,879","7,258","9,651","757","","58,179","18,146","7,273","5,225","4,493","23,042","466","37,364","15,686","5,428","4,432","2,799","1,969","1,529","5,521","488","","398,175","63,741","76,606","163,660","75,382","15,475","1,863","1,448","1,171","9,313","","388,892","38,172","37,637","35,608","37,242","36,900","203,333","18,596"
"    Margin of Error","","±1,317","±3,195","±2,814","±0.9","±0.4","","±1,317","±2,719","±2,648","±3,156","±3,260","±2,231","±2,912","±5,085","±799","±305","","±1,317","±1,542","±1,789","±2,657","±2,376","±2,289","±3,555","±4,725","±4,574","±3,959","±5,287","","±1,317","±3,086","±2,240","±5,816","±5,814","±4,678","±3,179","±1,717","±1,345","±1,437","±0.1","","±1,317","±3,244","±6,202","±6,831","±4,718","±2,380","±1,189","","±3,195","±4,102","±4,512","±0.08","±0.03","","±3,195","±4,407","±7,069","±5,531","±4,725","±2,724","±3,197","","±3,195","±7,225","±6,357","±3,286","±2,340","","±3,195","±5,516","±2,032","±4,122","±5,616","±258","±200","±78","±1,263","±2,278","","±3,195","±1,408","±1,123","±1,859","","±3,195","±5,169","±3,052","±2,532","","±4,102","±2,109","±967","±1,150","±1,337","±1,281","±3,005","±2,394","±622","±10,062","","±4,102","±3,472","±3,164","","±3,472","±1,033","±1,234","±1,530","±1,518","±1,572","±1,629","±1,691","±86","±3,164","±2,042","±731","±775","±1,077","±1,289","±1,366","±46","","±3,441","±2,329","±1,348","±971","±1,182","±2,664","±514","±3,148","±2,542","±1,105","±1,042","±747","±655","±574","±1,048","±282","","±4,582","±3,766","±5,337","±5,823","±4,686","±2,145","±695","±480","±15","±1,496","","±4,787","±3,576","±3,093","±3,439","±3,091","±3,610","±6,400","±2,349"
"    Percent","","528,851","95.3%","4.7%","(X)","(X)","","528,851","5.9%","5.2%","8.1%","8.3%","3.7%","5.7%","62.8%","0.3%","0.1%","","528,851","1.2%","2.0%","4.8%","4.1%","4.1%","7.5%","14.4%","13.5%","9.3%","39.2%","","528,851","5.9%","3.2%","27.7%","31.4%","18.4%","7.7%","2.4%","1.3%","2.0%","(X)","","528,851","6.4%","31.8%","34.5%","22.2%","3.8%","1.4%","","503,985","19.1%","80.9%","(X)","(X)","","503,985","20.0%","26.2%","25.7%","14.5%","6.1%","7.4%","","503,985","58.8%","30.6%","8.1%","2.5%","","503,985","43.5%","2.4%","10.9%","38.7%","0.1%","0.0%","0.0%","1.3%","3.1%","","503,985","0.9%","0.9%","2.2%","","503,985","87.3%","7.7%","4.9%","","96,497","10.4%","2.9%","4.5%","5.7%","8.9%","40.0%","24.9%","2.7%","(X)","","96,497","60.8%","39.2%","","58,645","5.0%","8.0%","11.9%","16.6%","17.8%","17.9%","22.8%","(X)","37,852","24.4%","6.1%","9.3%","15.5%","19.2%","25.5%","(X)","","58,179","31.2%","12.5%","9.0%","7.7%","39.6%","(X)","37,364","42.0%","14.5%","11.9%","7.5%","5.3%","4.1%","14.8%","(X)","","398,175","16.0%","19.2%","41.1%","18.9%","3.9%","0.5%","0.4%","(X)","(X)","","388,892","9.8%","9.7%","9.2%","9.6%","9.5%","52.3%","(X)"
"    Percent Margin of Error","","(X)","±0.5","±0.5","(X)","(X)","","(X)","±0.5","±0.5","±0.6","±0.6","±0.4","±0.6","±1.0","±0.2","±0.1","","(X)","±0.3","±0.3","±0.5","±0.4","±0.4","±0.7","±0.9","±0.9","±0.7","±1.0","","(X)","±0.6","±0.4","±1.1","±1.1","±0.9","±0.6","±0.3","±0.3","±0.3","(X)","","(X)","±0.6","±1.2","±1.3","±0.9","±0.5","±0.2","","(X)","±0.8","±0.8","(X)","(X)","","(X)","±0.9","±1.4","±1.1","±0.9","±0.5","±0.6","","(X)","±1.3","±1.3","±0.6","±0.5","","(X)","±1.1","±0.4","±0.8","±1.0","±0.1","±0.1","±0.1","±0.2","±0.5","","(X)","±0.3","±0.2","±0.4","","(X)","±0.8","±0.6","±0.5","","(X)","±2.1","±1.0","±1.2","±1.3","±1.3","±2.7","±2.4","±0.6","(X)","","(X)","±2.7","±2.7","","(X)","±1.6","±2.1","±2.5","±2.4","±2.6","±2.6","±2.6","(X)","(X)","±4.3","±1.9","±2.1","±2.5","±3.2","±3.5","(X)","","(X)","±3.3","±2.3","±1.7","±2.0","±3.6","(X)","(X)","±4.7","±2.7","±2.6","±2.0","±1.7","±1.6","±2.9","(X)","","(X)","±0.9","±1.3","±1.4","±1.2","±0.5","±0.2","±0.1","(X)","(X)","","(X)","±0.9","±0.8","±0.9","±0.8","±0.9","±1.5","(X)"
"Brooklyn borough, Kings County, New York","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","1,044,287","956,223","88,064","1.7","3.6","","1,044,287","53,476","91,457","183,032","164,475","111,119","63,731","375,736","1,079","182","","1,044,287","13,611","18,512","55,733","30,869","30,070","58,659","104,976","104,648","85,002","542,207","","1,044,287","58,381","59,993","245,543","301,807","183,293","87,584","37,346","26,084","44,256","4.0","","1,044,287","65,571","280,025","364,725","234,154","67,789","32,023","","956,223","290,792","665,431","3.06","2.58","","956,223","216,944","230,401","231,516","133,568","71,042","72,752","","956,223","529,902","327,368","78,757","20,196","","956,223","755,644","21,933","75,722","75,061","362","325","435","11,254","15,487","","956,223","2,765","5,676","14,239","","956,223","864,554","56,410","35,259","","290,792","6,346","4,253","4,629","5,117","14,063","49,640","125,573","81,171","701,800","","290,792","176,199","114,593","","176,199","1,161","8,088","15,503","22,052","28,394","26,240","74,761","2,746","114,593","13,421","6,866","12,960","19,780","20,410","41,156","849","","174,802","55,914","20,899","18,125","11,483","68,381","1,397","112,860","44,635","19,843","10,390","7,431","5,483","4,009","21,069","1,733","","647,637","75,314","106,465","198,551","139,011","64,913","30,814","32,569","1,367","17,794","","632,425","77,951","72,101","72,394","61,926","57,898","290,155","33,006"
"    Margin of Error","","±1,349","±5,436","±5,139","±0.4","±0.4","","±1,349","±3,183","±3,542","±5,692","±5,953","±4,978","±3,478","±6,530","±443","±156","","±1,349","±1,770","±1,623","±3,184","±2,711","±2,425","±3,822","±4,438","±3,877","±3,775","±7,648","","±1,349","±4,215","±3,089","±6,173","±6,799","±6,396","±3,879","±2,183","±2,193","±2,414","±0.1","","±1,349","±4,054","±7,734","±7,771","±7,146","±3,505","±2,451","","±5,436","±5,861","±7,293","±0.05","±0.03","","±5,436","±5,583","±6,963","±6,351","±5,232","±3,437","±4,000","","±5,436","±8,221","±7,791","±3,967","±1,875","","±5,436","±7,789","±1,946","±3,967","±4,385","±303","±204","±272","±1,391","±1,505","","±5,436","±709","±1,238","±1,871","","±5,436","±6,843","±3,681","±3,030","","±5,861","±1,115","±852","±874","±988","±1,674","±3,305","±3,988","±3,892","±10,709","","±5,861","±5,094","±4,638","","±5,094","±444","±1,169","±1,630","±2,145","±2,314","±2,754","±3,344","±51","±4,638","±1,732","±1,172","±1,585","±2,000","±1,863","±2,671","±22","","±5,118","±2,919","±2,180","±2,191","±1,257","±3,133","±597","±4,557","±2,969","±2,068","±1,314","±1,064","±1,146","±952","±1,835","±637","","±7,662","±4,493","±4,741","±4,959","±5,612","±3,507","±2,509","±2,466","±13","±2,089","","±7,852","±4,366","±4,232","±4,413","±3,671","±4,249","±7,242","±2,816"
"    Percent","","1,044,287","91.6%","8.4%","(X)","(X)","","1,044,287","5.1%","8.8%","17.5%","15.7%","10.6%","6.1%","36.0%","0.1%","0.0%","","1,044,287","1.3%","1.8%","5.3%","3.0%","2.9%","5.6%","10.1%","10.0%","8.1%","51.9%","","1,044,287","5.6%","5.7%","23.5%","28.9%","17.6%","8.4%","3.6%","2.5%","4.2%","(X)","","1,044,287","6.3%","26.8%","34.9%","22.4%","6.5%","3.1%","","956,223","30.4%","69.6%","(X)","(X)","","956,223","22.7%","24.1%","24.2%","14.0%","7.4%","7.6%","","956,223","55.4%","34.2%","8.2%","2.1%","","956,223","79.0%","2.3%","7.9%","7.8%","0.0%","0.0%","0.0%","1.2%","1.6%","","956,223","0.3%","0.6%","1.5%","","956,223","90.4%","5.9%","3.7%","","290,792","2.2%","1.5%","1.6%","1.8%","4.8%","17.1%","43.2%","27.9%","(X)","","290,792","60.6%","39.4%","","176,199","0.7%","4.6%","8.8%","12.5%","16.1%","14.9%","42.4%","(X)","114,593","11.7%","6.0%","11.3%","17.3%","17.8%","35.9%","(X)","","174,802","32.0%","12.0%","10.4%","6.6%","39.1%","(X)","112,860","39.5%","17.6%","9.2%","6.6%","4.9%","3.6%","18.7%","(X)","","647,637","11.6%","16.4%","30.7%","21.5%","10.0%","4.8%","5.0%","(X)","(X)","","632,425","12.3%","11.4%","11.4%","9.8%","9.2%","45.9%","(X)"
"    Percent Margin of Error","","(X)","±0.5","±0.5","(X)","(X)","","(X)","±0.3","±0.3","±0.5","±0.6","±0.5","±0.3","±0.6","±0.1","±0.1","","(X)","±0.2","±0.2","±0.3","±0.3","±0.2","±0.4","±0.4","±0.4","±0.4","±0.7","","(X)","±0.4","±0.3","±0.6","±0.6","±0.6","±0.4","±0.2","±0.2","±0.2","(X)","","(X)","±0.4","±0.7","±0.7","±0.7","±0.3","±0.2","","(X)","±0.6","±0.6","(X)","(X)","","(X)","±0.6","±0.7","±0.6","±0.5","±0.4","±0.4","","(X)","±0.8","±0.8","±0.4","±0.2","","(X)","±0.6","±0.2","±0.4","±0.5","±0.1","±0.1","±0.1","±0.1","±0.2","","(X)","±0.1","±0.1","±0.2","","(X)","±0.5","±0.4","±0.3","","(X)","±0.4","±0.3","±0.3","±0.3","±0.6","±1.1","±1.2","±1.2","(X)","","(X)","±1.3","±1.3","","(X)","±0.3","±0.7","±0.9","±1.1","±1.2","±1.4","±1.7","(X)","(X)","±1.4","±1.0","±1.3","±1.6","±1.5","±2.0","(X)","","(X)","±1.3","±1.2","±1.2","±0.7","±1.6","(X)","(X)","±2.2","±1.7","±1.1","±0.9","±0.9","±0.8","±1.5","(X)","","(X)","±0.7","±0.7","±0.7","±0.8","±0.5","±0.4","±0.4","(X)","(X)","","(X)","±0.7","±0.7","±0.7","±0.5","±0.6","±1.1","(X)"
"Manhattan borough, New York County, New York","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
