"Label (Grouping)","HOUSING OCCUPANCY","HOUSING OCCUPANCY!!Total housing units","HOUSING OCCUPANCY!!Total housing units!!Occupied housing units","HOUSING OCCUPANCY!!Total housing units!!Vacant housing units","HOUSING OCCUPANCY!!Total housing units!!Homeowner vacancy rate","HOUSING OCCUPANCY!!Total housing units!!Rental vacancy rate","UNITS IN STRUCTURE","UNITS IN STRUCTURE!!Total housing units","UNITS IN STRUCTURE!!Total housing units!!1-unit, detached","UNITS IN STRUCTURE!!Total housing units!!1-unit, attached","UNITS IN STRUCTURE!!Total housing units!!2 units","UNITS IN STRUCTURE!!Total housing units!!3 or 4 units","UNITS IN STRUCTURE!!Total housing units!!5 to 9 units","UNITS IN STRUCTURE!!Total housing units!!10 to 19 units","UNITS IN STRUCTURE!!Total housing units!!20 or more units","UNITS IN STRUCTURE!!Total housing units!!Mobile home","UNITS IN STRUCTURE!!Total housing units!!Boat, RV, van, etc.","YEAR STRUCTURE BUILT","YEAR STRUCTURE BUILT!!Total housing units","YEAR STRUCTURE BUILT!!Total housing units!!Built 2020 or later","YEAR STRUCTURE BUILT!!Total housing units!!Built 2010 to 2019","YEAR STRUCTURE BUILT!!Total housing units!!Built 2000 to 2009","YEAR STRUCTURE BUILT!!Total housing units!!Built 1990 to 1999","YEAR STRUCTURE BUILT!!Total housing units!!Built 1980 to 1989","YEAR STRUCTURE BUILT!!Total housing units!!Built 1970 to 1979","YEAR STRUCTURE BUILT!!Total housing units!!Built 1960 to 1969","YEAR STRUCTURE BUILT!!Total housing units!!Built 1950 to 1959","YEAR STRUCTURE BUILT!!Total housing units!!Built 1940 to 1949","YEAR STRUCTURE BUILT!!Total housing units!!Built 1939 or earlier","ROOMS","ROOMS!!Total housing units","ROOMS!!Total housing units!!1 room","ROOMS!!Total housing units!!2 rooms","ROOMS!!Total housing units!!3 rooms","ROOMS!!Total housing units!!4 rooms","ROOMS!!Total housing units!!5 rooms","ROOMS!!Total housing units!!6 rooms","ROOMS!!Total housing units!!7 rooms","ROOMS!!Total housing units!!8 rooms","ROOMS!!Total housing units!!9 rooms or more","ROOMS!!Total housing units!!Median rooms","BEDROOMS","BEDROOMS!!Total housing units","BEDROOMS!!Total housing units!!No bedroom","BEDROOMS!!Total housing units!!1 bedroom","BEDROOMS!!Total housing units!!2 bedrooms","BEDROOMS!!Total housing units!!3 bedrooms","BEDROOMS!!Total housing units!!4 bedrooms","BEDROOMS!!Total housing units!!5 or more bedrooms","HOUSING TENURE","HOUSING TENURE!!Occupied housing units","HOUSING TENURE!!Occupied housing units!!Owner-occupied","HOUSING TENURE!!Occupied housing units!!Renter-occupied","HOUSING TENURE!!Occupied housing units!!Average household size of owner-occupied unit","HOUSING TENURE!!Occupied housing units!!Average household size of renter-occupied unit","YEAR HOUSEHOLDER MOVED INTO UNIT","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 2019 or later","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 2015 to 2018","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 2010 to 2014","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 2000 to 2009","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 1990 to 1999","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 1989 and earlier","VEHICLES AVAILABLE","VEHICLES AVAILABLE!!Occupied housing units","VEHICLES AVAILABLE!!Occupied housing units!!No vehicles available","VEHICLES AVAILABLE!!Occupied housing units!!1 vehicle available","VEHICLES AVAILABLE!!Occupied housing units!!2 vehicles available","VEHICLES AVAILABLE!!Occupied housing units!!3 or more vehicles available","HOUSE HEATING FUEL","HOUSE HEATING FUEL!!Occupied housing units","HOUSE HEATING FUEL!!Occupied housing units!!Utility gas","HOUSE HEATING FUEL!!Occupied housing units!!Bottled, tank, or LP gas","HOUSE HEATING FUEL!!Occupied housing units!!Electricity","HOUSE HEATING FUEL!!Occupied housing units!!Fuel oil, kerosene, etc.","HOUSE HEATING FUEL!!Occupied housing units!!Coal or coke","HOUSE HEATING FUEL!!Occupied housing units!!Wood","HOUSE HEATING FUEL!!Occupied housing units!!Solar energy","HOUSE HEATING FUEL!!Occupied housing units!!Other fuel","HOUSE HEATING FUEL!!Occupied housing units!!No fuel used","SELECTED CHARACTERISTICS","SELECTED CHARACTERISTICS!!Occupied housing units","SELECTED CHARACTERISTICS!!Occupied housing units!!Lacking complete plumbing facilities","SELECTED CHARACTERISTICS!!Occupied housing units!!Lacking complete kitchen facilities","SELECTED CHARACTERISTICS!!Occupied housing units!!No telephone service available","OCCUPANTS PER ROOM","OCCUPANTS PER ROOM!!Occupied housing units","OCCUPANTS PER ROOM!!Occupied housing units!!1.00 or less","OCCUPANTS PER ROOM!!Occupied housing units!!1.01 to 1.50","OCCUPANTS PER ROOM!!Occupied housing units!!1.51 or more","VALUE","VALUE!!Owner-occupied units","VALUE!!Owner-occupied units!!Less than $50,000","VALUE!!Owner-occupied units!!$50,000 to $99,999","VALUE!!Owner-occupied units!!$100,000 to $149,999","VALUE!!Owner-occupied units!!$150,000 to $199,999","VALUE!!Owner-occupied units!!$200,000 to $299,999","VALUE!!Owner-occupied units!!$300,000 to $499,999","VALUE!!Owner-occupied units!!$500,000 to $999,999","VALUE!!Owner-occupied units!!$1,000,000 or more","VALUE!!Owner-occupied units!!Median (dollars)","MORTGAGE STATUS","MORTGAGE STATUS!!Owner-occupied units","MORTGAGE STATUS!!Owner-occupied units!!Housing units with a mortgage","MORTGAGE STATUS!!Owner-occupied units!!Housing units without a mortgage","SELECTED MONTHLY OWNER COSTS (SMOC)","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!Less than $500","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!$500 to $999","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!$1,000 to $1,499","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!$1,500 to $1,999","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!$2,000 to $2,499","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!$2,500 to $2,999","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!$3,000 or more","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!Median (dollars)","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!Less than $250","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!$250 to $399","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!$400 to $599","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!$600 to $799","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!$800 to $999","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!$1,000 or more","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!Median (dollars)","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)!!Less than 20.0 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)!!20.0 to 24.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)!!25.0 to 29.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)!!30.0 to 34.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)!!35.0 percent or more","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)!!Not computed","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!Less than 10.0 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!10.0 to 14.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!15.0 to 19.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!20.0 to 24.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!25.0 to 29.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!30.0 to 34.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!35.0 percent or more","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!Not computed","GROSS RENT","GROSS RENT!!Occupied units paying rent","GROSS RENT!!Occupied units paying rent!!Less than $500","GROSS RENT!!Occupied units paying rent!!$500 to $999","GROSS RENT!!Occupied units paying rent!!$1,000 to $1,499","GROSS RENT!!Occupied units paying rent!!$1,500 to $1,999","GROSS RENT!!Occupied units paying rent!!$2,000 to $2,499","GROSS RENT!!Occupied units paying rent!!$2,500 to $2,999","GROSS RENT!!Occupied units paying rent!!$3,000 or more","GROSS RENT!!Occupied units paying rent!!Median (dollars)","GROSS RENT!!Occupied units paying rent!!No rent paid","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!Less than 15.0 percent","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!15.0 to 19.9 percent","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!20.0 to 24.9 percent","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!25.0 to 29.9 percent","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!30.0 to 34.9 percent","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!35.0 percent or more","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!Not computed"
"Bronx borough, Bronx County, New York","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","552,421","533,004","19,417","0.7","1.7","","552,421","37,404","26,965","46,926","44,430","27,962","32,164","335,639","636","295","","552,421","617","33,019","30,303","22,813","21,853","42,469","70,186","72,086","56,664","202,411","","552,421","41,219","26,963","146,200","157,613","105,460","38,827","14,312","9,560","12,267","3.9","","552,421","47,126","172,840","187,034","118,019","19,330","8,072","","533,004","104,431","428,573","2.74","2.54","","533,004","88,978","117,495","94,740","110,188","59,570","62,033","","533,004","316,076","164,878","38,994","13,056","","533,004","265,326","14,328","83,526","128,487","498","421","191","7,141","33,086","","533,004","3,353","3,295","8,830","","533,004","466,688","34,715","31,601","","104,431","13,096","4,559","3,087","5,314","10,041","19,188","45,604","3,542","465,000","","104,431","58,849","45,582","","58,849","1,037","3,301","6,185","8,152","9,390","12,056","18,728","2,556","45,582","9,400","3,464","4,241","5,209","5,225","18,043","842","","57,914","16,956","7,900","5,129","4,931","22,998","935","44,671","17,705","7,571","4,226","2,514","3,433","2,184","7,038","911","","421,250","58,283","67,271","143,938","109,090","32,262","7,223","3,183","1,313","7,323","","410,453","46,129","39,520","37,675","38,176","38,029","210,924","18,120"
"    Margin of Error","","±2,001","±2,823","±2,160","±0.4","±0.3","","±2,001","±3,015","±2,659","±4,503","±3,552","±3,414","±3,718","±7,541","±569","±348","","±2,001","±483","±3,397","±2,789","±2,833","±2,653","±4,367","±4,789","±4,770","±3,951","±6,849","","±2,001","±4,314","±3,395","±7,554","±7,344","±6,316","±3,330","±2,430","±1,991","±2,294","±0.1","","±2,001","±4,720","±8,141","±7,206","±6,814","±3,101","±1,614","","±2,823","±5,438","±5,721","±0.09","±0.02","","±2,823","±5,371","±5,918","±5,365","±5,755","±4,222","±3,778","","±2,823","±7,300","±7,518","±3,591","±2,449","","±2,823","±8,023","±2,154","±6,019","±6,985","±474","±484","±284","±1,801","±4,355","","±2,823","±1,163","±960","±2,130","","±2,823","±5,197","±3,823","±3,549","","±5,438","±2,178","±1,672","±944","±1,503","±1,826","±2,209","±3,459","±1,063","±28,221","","±5,438","±4,211","±3,479","","±4,211","±669","±1,015","±1,850","±1,695","±1,751","±2,118","±2,314","±93","±3,479","±1,896","±1,355","±1,258","±1,423","±1,289","±2,162","±65","","±4,089","±2,164","±1,628","±1,366","±1,339","±2,455","±828","±3,380","±2,389","±1,663","±1,090","±866","±1,260","±922","±1,457","±590","","±5,773","±5,620","±4,758","±7,177","±6,002","±3,974","±1,687","±1,038","±20","±1,748","","±5,811","±4,138","±4,610","±3,862","±3,618","±3,738","±8,014","±2,559"
"    Percent","","552,421","96.5%","3.5%","(X)","(X)","","552,421","6.8%","4.9%","8.5%","8.0%","5.1%","5.8%","60.8%","0.1%","0.1%","","552,421","0.1%","6.0%","5.5%","4.1%","4.0%","7.7%","12.7%","13.0%","10.3%","36.6%","","552,421","7.5%","4.9%","26.5%","28.5%","19.1%","7.0%","2.6%","1.7%","2.2%","(X)","","552,421","8.5%","31.3%","33.9%","21.4%","3.5%","1.5%","","533,004","19.6%","80.4%","(X)","(X)","","533,004","16.7%","22.0%","17.8%","20.7%","11.2%","11.6%","","533,004","59.3%","30.9%","7.3%","2.4%","","533,004","49.8%","2.7%","15.7%","24.1%","0.1%","0.1%","0.0%","1.3%","6.2%","","533,004","0.6%","0.6%","1.7%","","533,004","87.6%","6.5%","5.9%","","104,431","12.5%","4.4%","3.0%","5.1%","9.6%","18.4%","43.7%","3.4%","(X)","","104,431","56.4%","43.6%","","58,849","1.8%","5.6%","10.5%","13.9%","16.0%","20.5%","31.8%","(X)","45,582","20.6%","7.6%","9.3%","11.4%","11.5%","39.6%","(X)","","57,914","29.3%","13.6%","8.9%","8.5%","39.7%","(X)","44,671","39.6%","16.9%","9.5%","5.6%","7.7%","4.9%","15.8%","(X)","","421,250","13.8%","16.0%","34.2%","25.9%","7.7%","1.7%","0.8%","(X)","(X)","","410,453","11.2%","9.6%","9.2%","9.3%","9.3%","51.4%","(X)"
"    Percent Margin of Error","","(X)","±0.4","±0.4","(X)","(X)","","(X)","±0.5","±0.5","±0.8","±0.6","±0.6","±0.7","±1.4","±0.1","±0.1","","(X)","±0.1","±0.6","±0.5","±0.5","±0.5","±0.8","±0.9","±0.9","±0.7","±1.2","","(X)","±0.8","±0.6","±1.3","±1.3","±1.1","±0.6","±0.4","±0.4","±0.4","(X)","","(X)","±0.9","±1.5","±1.3","±1.2","±0.6","±0.3","","(X)","±1.0","±1.0","(X)","(X)","","(X)","±1.0","±1.1","±1.0","±1.1","±0.8","±0.7","","(X)","±1.4","±1.4","±0.7","±0.5","","(X)","±1.5","±0.4","±1.1","±1.3","±0.1","±0.1","±0.1","±0.3","±0.8","","(X)","±0.2","±0.2","±0.4","","(X)","±0.9","±0.7","±0.7","","(X)","±2.0","±1.5","±0.9","±1.4","±1.7","±1.9","±2.5","±1.0","(X)","","(X)","±2.6","±2.6","","(X)","±1.1","±1.7","±2.9","±2.7","±2.7","±3.1","±3.8","(X)","(X)","±3.8","±2.8","±2.7","±3.0","±2.7","±3.7","(X)","","(X)","±3.2","±2.5","±2.3","±2.2","±3.4","(X)","(X)","±4.0","±3.3","±2.4","±2.0","±2.8","±2.0","±3.1","(X)","","(X)","±1.3","±1.1","±1.6","±1.5","±0.9","±0.4","±0.2","(X)","(X)","","(X)","±0.9","±1.1","±1.0","±0.9","±0.9","±1.9","(X)"
"Brooklyn borough, Kings County, New York","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","1,085,993","1,001,868","84,125","1.4","3.1","","1,085,993","58,483","98,538","175,141","158,178","117,011","67,312","409,036","1,997","297","","1,085,993","2,209","79,730","57,703","31,842","36,955","56,281","102,916","110,056","93,408","514,893","","1,085,993","72,187","86,381","255,228","290,858","185,074","87,505","39,468","26,156","43,136","3.9","","1,085,993","81,239","297,958","372,328","242,687","64,302","27,479","","1,001,868","303,368","698,500","2.87","2.48","","1,001,868","237,938","200,536","150,803","179,032","112,232","121,327","","1,001,868","549,495","359,823","76,339","16,211","","1,001,868","719,493","32,096","130,764","75,530","194","412","1,108","13,580","28,691","","1,001,868","3,725","7,190","10,018","","1,001,868","897,263","57,711","46,894","","303,368","9,176","5,474","5,390","5,226","11,733","31,746","133,037","101,586","793,300","","303,368","173,820","129,548","","173,820","691","7,787","11,844","16,738","20,023","26,785","89,952","3,070","129,548","11,244","5,861","12,418","16,157","22,190","61,678","975","","172,369","55,645","19,887","15,322","10,999","70,516","1,451","127,790","47,488","18,073","12,989","10,143","5,230","5,543","28,324","1,758","","681,618","61,785","80,399","153,973","175,104","92,090","49,089","69,178","1,628","16,882","","666,787","84,770","77,704","81,677","72,729","61,184","288,723","31,713"
"    Margin of Error","","±1,525","±4,824","±4,673","±0.3","±0.4","","±1,525","±4,051","±4,765","±6,689","±5,700","±5,316","±4,471","±9,106","±883","±290","","±1,525","±856","±4,611","±3,855","±3,528","±3,073","±4,360","±5,458","±6,357","±4,888","±9,371","","±1,525","±4,845","±5,730","±9,420","±8,821","±7,969","±4,917","±3,139","±2,348","±3,997","±0.2","","±1,525","±5,410","±8,528","±9,343","±8,876","±4,166","±3,057","","±4,824","±7,388","±8,130","±0.05","±0.02","","±4,824","±7,201","±6,895","±6,935","±6,678","±6,096","±5,371","","±4,824","±8,455","±7,247","±4,644","±2,384","","±4,824","±8,492","±2,999","±5,310","±4,859","±195","±288","±539","±1,866","±3,105","","±4,824","±1,207","±1,674","±1,684","","±4,824","±6,987","±4,155","±3,660","","±7,388","±1,633","±1,471","±1,456","±1,074","±1,673","±3,187","±5,508","±5,133","±17,747","","±7,388","±6,321","±6,206","","±6,321","±392","±1,683","±1,919","±2,166","±2,177","±2,633","±5,563","±92","±6,206","±1,612","±1,097","±1,854","±2,391","±2,503","±4,462","±28","","±6,440","±3,700","±2,345","±2,275","±1,841","±4,895","±653","±6,103","±3,711","±2,040","±1,690","±1,550","±1,291","±1,077","±2,786","±594","","±8,479","±4,547","±5,245","±6,376","±8,117","±5,709","±3,425","±4,583","±18","±2,591","","±8,503","±5,084","±5,343","±5,302","±5,221","±4,644","±8,986","±3,686"
"    Percent","","1,085,993","92.3%","7.7%","(X)","(X)","","1,085,993","5.4%","9.1%","16.1%","14.6%","10.8%","6.2%","37.7%","0.2%","0.0%","","1,085,993","0.2%","7.3%","5.3%","2.9%","3.4%","5.2%","9.5%","10.1%","8.6%","47.4%","","1,085,993","6.6%","8.0%","23.5%","26.8%","17.0%","8.1%","3.6%","2.4%","4.0%","(X)","","1,085,993","7.5%","27.4%","34.3%","22.3%","5.9%","2.5%","","1,001,868","30.3%","69.7%","(X)","(X)","","1,001,868","23.7%","20.0%","15.1%","17.9%","11.2%","12.1%","","1,001,868","54.8%","35.9%","7.6%","1.6%","","1,001,868","71.8%","3.2%","13.1%","7.5%","0.0%","0.0%","0.1%","1.4%","2.9%","","1,001,868","0.4%","0.7%","1.0%","","1,001,868","89.6%","5.8%","4.7%","","303,368","3.0%","1.8%","1.8%","1.7%","3.9%","10.5%","43.9%","33.5%","(X)","","303,368","57.3%","42.7%","","173,820","0.4%","4.5%","6.8%","9.6%","11.5%","15.4%","51.8%","(X)","129,548","8.7%","4.5%","9.6%","12.5%","17.1%","47.6%","(X)","","172,369","32.3%","11.5%","8.9%","6.4%","40.9%","(X)","127,790","37.2%","14.1%","10.2%","7.9%","4.1%","4.3%","22.2%","(X)","","681,618","9.1%","11.8%","22.6%","25.7%","13.5%","7.2%","10.1%","(X)","(X)","","666,787","12.7%","11.7%","12.2%","10.9%","9.2%","43.3%","(X)"
"    Percent Margin of Error","","(X)","±0.4","±0.4","(X)","(X)","","(X)","±0.4","±0.4","±0.6","±0.5","±0.5","±0.4","±0.8","±0.1","±0.1","","(X)","±0.1","±0.4","±0.4","±0.3","±0.3","±0.4","±0.5","±0.6","±0.5","±0.9","","(X)","±0.4","±0.5","±0.9","±0.8","±0.7","±0.5","±0.3","±0.2","±0.4","(X)","","(X)","±0.5","±0.8","±0.9","±0.8","±0.4","±0.3","","(X)","±0.7","±0.7","(X)","(X)","","(X)","±0.7","±0.7","±0.7","±0.7","±0.6","±0.5","","(X)","±0.8","±0.7","±0.5","±0.2","","(X)","±0.8","±0.3","±0.5","±0.5","±0.1","±0.1","±0.1","±0.2","±0.3","","(X)","±0.1","±0.2","±0.2","","(X)","±0.5","±0.4","±0.4","","(X)","±0.5","±0.5","±0.5","±0.4","±0.5","±1.0","±1.6","±1.4","(X)","","(X)","±1.7","±1.7","","(X)","±0.2","±0.9","±1.0","±1.2","±1.3","±1.5","±2.4","(X)","(X)","±1.2","±0.8","±1.3","±1.7","±1.9","±2.5","(X)","","(X)","±1.9","±1.3","±1.3","±1.0","±2.2","(X)","(X)","±2.0","±1.5","±1.2","±1.2","±1.0","±0.9","±1.8","(X)","","(X)","±0.7","±0.8","±0.9","±1.1","±0.8","±0.5","±0.7","(X)","(X)","","(X)","±0.8","±0.8","±0.8","±0.8","±0.7","±1.3","(X)"
"Manhattan borough, New York County, New York","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
