,Address,Rent,Bed,Baths,Borough,Zip
0,93 Leonard St ,16000,4 ,3.0,Manhattan, 10013
1,97 Wooster St ,8250,1 ,2.0,Manhattan, 10012
2,614 W 148th St ,2200,Studio,1.0,Manhattan, 10031
3,116 W 14th St ,13000,3 ,2.0,Manhattan, 10011
4,226 E 68th St ,55000,5 ,8.0,Manhattan, 10065
5,66 9th Ave ,32000,4 ,4.0,Manhattan, 10011
6,354 Broadway ,24990,3 ,3.0,Manhattan, 10013
7,237 Lafayette St ,11000,2 ,2.0,Manhattan, 10012
8,161 Grand St ,16500,2 ,3.0,Manhattan, 10013
9,90 Prince St ,10000,2 ,2.0,Manhattan, 10012
10,19 Warren St ,11500,3 ,2.0,Manhattan, 10007
11,525 Broome St ,23000,4 ,4.0,Manhattan, 10013
12,324 W 47th St ,3785,2 ,1.0,Manhattan, 10036
13,4 Hamilton Terrace ,13500,4 ,4.0,Manhattan, 10031
14,43 Wooster St ,16250,2 ,2.0,Manhattan, 10013
15,95 Franklin St ,16500,3 ,3.0,Manhattan, 10013
16,23 Cornelia St ,45000,4 ,7.0,Manhattan, 10014
17,65 W 13th St ,27500,4 ,3.0,Manhattan, 10011
18,44 Laight St ,30000,3 ,3.0,Manhattan, 10013
20,38 E 21st St ,9500,4 ,2.0,Manhattan, 10010
21,245 7th Ave ,12500,2 ,2.5,Manhattan, 10001
22,106 Central Park S ,26000,3 ,3.5,Manhattan, 10019
23,336 E 5th St ,2799,1 ,1.0,Manhattan, 10003
24,135 West 4th Street ,12000,2 ,2.0,Manhattan, 10012
25,25 Adrian Ave ,1300,1 ,1.0,Manhattan, 10463
26,290 West End Ave ,9400,3 ,3.0,Manhattan, 10023
27,432 Park Ave ,30000,2 ,2.5,Manhattan, 10022
28,563 W 144th St ,3000,3 ,1.0,Manhattan, 10031
29,520 W 43rd St ,6780,2 ,2.0,Manhattan, 10036
30,134 Orchard St ,4295,2 ,1.0,Manhattan, 10002
31,140 E 46th St ,3500,1 ,1.0,Manhattan, 10017
32,1591 2nd Ave ,2700,Studio,1.0,Manhattan, 10028
33,432 E 13th St ,3495,1 ,1.0,Manhattan, 10009
34,380 E 10th St ,3495,1 ,1.0,Manhattan, 10009
35,521 E 5th St ,4895,2 ,1.0,Manhattan, 10009
36,321 E 91st St ,3200,1 ,1.0,Manhattan, 10128
37,329 E 116th St ,2400,3 ,1.0,Manhattan, 10029
38,308 E 81st St ,2700,Studio,1.0,Manhattan, 10028
40,77 E 3rd St ,3499,2 ,1.0,Manhattan, 10003
41,225 W 23rd St ,3300,1 ,1.0,Manhattan, 10011
42,301 E 21st St ,3900,1 ,1.0,Manhattan, 10010
43,190 E 7th St ,5800,3 ,1.0,Manhattan, 10009
45,319 E 8th St ,4150,2 ,1.0,Manhattan, 10009
46,150 E 34th St ,5445,1 ,1.0,Manhattan, 10016
47,5 Tudor City Pl ,2350,1 ,1.0,Manhattan, 10017
48,321 W 96th St ,6800,3 ,3.0,Manhattan, 10025
49,370 E 69th St ,1650,Studio,1.0,Manhattan, 10021
50,118 E 102nd St ,3100,Studio,1.0,Manhattan, 10029
51,1469 5th Ave ,3000,3 ,1.0,Manhattan, 10035
52,273 Mott St ,2850,1 ,1.0,Manhattan, 10012
53,30 River Rd ,4125,2 ,2.0,Manhattan, 10044
54,330 E 109th St ,4500,1 ,1.0,Manhattan, 10029
55,412 W 36th St. ,5300,2 ,1.0,Manhattan, 10018
57,152 Reade St ,50000,5 ,5.5,Manhattan, 10013
58,38 Prince St ,75000,7 ,8.5,Manhattan, 10012
59,354 E 74th St ,12750,3 ,3.0,Manhattan, 10021
60,27 Harrison St ,28500,4 ,4.5,Manhattan, 10013
61,148 E 63rd St ,19500,4 ,5.0,Manhattan, 10065
62,217 E 61st St ,19750,5 ,4.5,Manhattan, 10065
63,148 W 132nd St ,10950,5 ,5.0,Manhattan, 10027
64,223 E 49th St ,25000,4 ,4.5,Manhattan, 10017
65,150 E 65th St ,17500,4 ,4.0,Manhattan, 10065
66,332 E 69th St ,15575,5 ,3.5,Manhattan, 10021
67,442 E 58th St ,16000,4 ,3.0,Manhattan, 10022
68,455 W 24th St ,25950,4 ,3.0,Manhattan, 10011
69,137 Manhattan Ave ,11538,4 ,2.5,Manhattan, 10025
70,120 W 87th St ,19950,5 ,3.5,Manhattan, 10024
71,208 E 72nd St ,24800,5 ,4.5,Manhattan, 10021
72,163 E 82nd St ,75000,5 ,6.5,Manhattan, 10028
74,40 Leroy St ,40000,4 ,3.5,Manhattan, 10014
76,37-55-55 73rd St ,2100,2 ,1.0,Manhattan, 11372
77,346 E 18th St ,6995,3 ,2.0,Manhattan, 10003
78,365 W 20th St ,4750,1 ,1.0,Manhattan, 10011
79,2106 Arthur Ave  ,2299,2 ,1.0,The Bronx,10457
80,1965 Hobart Ave ,2100,2 ,1.0,The Bronx,10465
81,3132 Buhre Ave  ,1850,1 ,1.0,The Bronx,10461
82,920 Hollywood Ave  ,2300,3 ,2.0,The Bronx,10465
83,614 W 148th St,2200,Studio,1.0,The Bronx,10031
84,4 Hamilton Terrace,13500,4 ,4.0,The Bronx,10031
85,1436 Parker St  ,2700,3 ,1.0,The Bronx,10462
86,1965 Hobart Ave  ,2100,2 ,1.0,The Bronx,10461
87,620-622 Pelhamdale Ave Village of Pelham,1995,1 ,1.0,The Bronx,10803
88,2892 E 195th St  ,2900,3 ,1.0,The Bronx,10461
89,25 Adrian Ave,1300,1 ,1.0,The Bronx,10463
90,2854 E 194th St  ,2300,2 ,1.0,The Bronx,10461
91,237 Buttrick Ave  ,2900,3 ,2.0,The Bronx,10465
92,563 W 144th St,3000,3 ,1.0,The Bronx,10031
93,1927 Wallace Ave  ,2600,3 ,1.0,The Bronx,10462
94,1204 Crosby Ave  ,2800,3 ,2.0,The Bronx,10461
96,329 E 166th St,2400,3 ,1.0,The Bronx,10029
97,1981 Gildersleeve Ave  ,3200,3 ,1.0,The Bronx,10473
98,345 E 234th St  ,3100,3 ,2.0,The Bronx,10470
99,506 White Plains Rd  ,2500,4 ,2.0,The Bronx,10473
100,1469 5th Ave,3000,3 ,1.0,The Bronx,10035
101,1423 Noble Ave  ,1715,1 ,1.0,The Bronx,10472
102,1171 Fox St ,2912,3 ,1.0,The Bronx,10459
103,275 College Rd ,6850,5 ,3.0,The Bronx,10471
104,2710 Edgehill Ave ,4900,4 ,3.0,The Bronx,10463
105,1152 E 225th St ,1850,1 ,1.0,The Bronx,10466
106,3603 Bainbridge Ave ,2700,3 ,1.5,The Bronx,10467
107,405 W 263rd St ,3200,3 ,1.0,The Bronx,10471
108,1920 Yates Ave ,2300,3 ,2.5,The Bronx,10461
109,4722 Richardson Ave ,1300,1 ,1.0,The Bronx,10470
110,5932 Liebig Ave  ,4500,4 ,2.0,The Bronx,10471
111,3397 Sedgwick Ave  ,2550,2 ,1.0,The Bronx,10463
112,247 Quincy Ave  ,1700,1 ,1.0,The Bronx,10465
113,992 McLean Ave Yonkers,2600,3 ,1.0,The Bronx,10704
114,409 Howe Ave  ,3600,5 ,2.0,The Bronx,10473
115,796 E 165th St  ,2900,3 ,1.0,The Bronx,10456
116,148 W 132nd St,10950,5 ,5.0,The Bronx,10027
117,154-37 Riverside Dr,5000,4 ,3.0,The Bronx,11357
118,185 Lenox Ave NewYorkCity,3090,1 ,1.0,The Bronx,10026
119,551 E 137th St  ,3500,Studio,2.0,The Bronx,10454
120,3600 Tibbett Ave  ,4995,3 ,2.5,The Bronx,10463
121,6122 Delafield Ave  ,4400,3 ,2.5,The Bronx,10471
122,81 Rochelle St  ,4999,2 ,2.0,The Bronx,10464
123,258A Longstreet Ave  ,4000,3 ,2.0,The Bronx,10465
124,1510 Jarvis Ave  ,2400,3 ,2.0,The Bronx,10461
125,885 E 170th St  ,4200,3 ,2.0,The Bronx,10459
126,158-40 Powells Cove Blvd,2100,2 ,1.0,The Bronx,11357
127,4 Peace St BRONX,10998,5 ,4.0,The Bronx,10464
128,1358 University Ave  ,2300,2 ,1.0,The Bronx,10452
129,78 Oak Ln Pelham Manor,5600,3 ,2.0,The Bronx,10803
130,2217 Wallace Ave  ,1900,1 ,1.0,The Bronx,10467
131,50 N 10th Ave Mount Vernon,1700,1 ,1.0,The Bronx,10550
132,133 Sterling Ave Yonkers,3250,3 ,1.0,The Bronx,10704
156,77-20 78th St ,2300,2 ,1.0,Queens, 11385
157,852 Cypress Ave ,2875,Studio,1.0,Queens, 11385
