,,Latinx Population,White Population,Native American Population,Asian Population,Black Population,Number of Air BnB Listings
2011,6390,0.0,840.0,0.0,0.0,0.0,0.0
2011,10001,5970.0,39934.0,901.0,14758.0,7005.0,0.0
2011,10002,39908.0,70087.0,1665.0,150577.0,17948.0,0.0
2011,10003,8476.0,126799.0,641.0,32779.0,6425.0,0.0
2011,10004,382.0,5509.0,0.0,1754.0,589.0,0.0
2011,10005,344.0,11155.0,32.0,4179.0,262.0,0.0
2011,10006,530.0,5189.0,12.0,2524.0,308.0,0.0
2011,10007,1060.0,12760.0,48.0,3397.0,1268.0,0.0
2011,10009,30194.0,107026.0,1089.0,41494.0,17012.0,0.0
2011,10010,6904.0,65087.0,525.0,15459.0,4588.0,0.0
2011,10011,11174.0,121462.0,1514.0,20966.0,7021.0,0.0
2011,10012,2824.0,56015.0,116.0,15379.0,2108.0,0.0
2011,10013,2982.0,39927.0,214.0,42817.0,3309.0,0.0
2011,10014,3370.0,84466.0,176.0,8010.0,1965.0,0.0
2011,10016,10102.0,121556.0,581.0,30242.0,6269.0,0.0
2011,10017,2264.0,35619.0,126.0,11613.0,1059.0,0.0
2011,10018,2214.0,8864.0,178.0,5077.0,1206.0,0.0
2011,10019,14900.0,86467.0,534.0,21932.0,7018.0,0.0
2011,10020,0.0,0.0,0.0,0.0,0.0,0.0
2011,10021,3966.0,108310.0,311.0,13954.0,3197.0,0.0
2011,10022,3342.0,73279.0,74.0,11834.0,1842.0,0.0
2011,10023,10898.0,147365.0,671.0,23569.0,6452.0,0.0
2011,10024,12602.0,151412.0,1436.0,13749.0,9950.0,0.0
2011,10025,40102.0,182301.0,2199.0,36345.0,43446.0,0.0
2011,10026,13920.0,24988.0,1001.0,7335.0,62248.0,0.0
2011,10027,28190.0,51287.0,1297.0,20731.0,75199.0,0.0
2011,10028,4880.0,120948.0,351.0,12756.0,2378.0,0.0
2011,10029,78604.0,61026.0,1038.0,26071.0,72553.0,0.0
2011,10030,12788.0,13187.0,476.0,2309.0,64807.0,0.0
2011,10031,64104.0,50685.0,1591.0,5472.0,76200.0,0.0
2011,10032,85890.0,38947.0,1931.0,9467.0,42914.0,0.0
2011,10033,82216.0,63414.0,1355.0,5734.0,12187.0,0.0
2011,10034,59548.0,38851.0,1068.0,3252.0,12755.0,0.0
2011,10035,36646.0,18406.0,1078.0,4198.0,39788.0,0.0
2011,10036,7708.0,41871.0,763.0,16040.0,5898.0,0.0
2011,10037,5214.0,5299.0,616.0,2768.0,42209.0,0.0
2011,10038,5738.0,27699.0,799.0,26206.0,4574.0,0.0
2011,10039,14078.0,8345.0,661.0,1263.0,52651.0,0.0
2011,10040,62156.0,46890.0,546.0,3862.0,11511.0,0.0
2011,10044,3716.0,18878.0,230.0,8470.0,6413.0,0.0
2011,10065,2850.0,84808.0,232.0,10828.0,1602.0,0.0
2011,10069,640.0,11491.0,0.0,4256.0,487.0,0.0
2011,10075,4202.0,67623.0,399.0,7594.0,1384.0,0.0
2011,10103,0.0,0.0,0.0,0.0,0.0,0.0
2011,10110,2.0,7.0,1.0,0.0,1.0,0.0
2011,10111,0.0,0.0,0.0,0.0,0.0,0.0
2011,10112,0.0,0.0,0.0,0.0,0.0,0.0
2011,10115,0.0,0.0,0.0,0.0,0.0,0.0
2011,10119,0.0,0.0,0.0,0.0,0.0,0.0
2011,10128,11304.0,142679.0,441.0,24259.0,7115.0,0.0
2011,10152,0.0,0.0,0.0,0.0,0.0,0.0
2011,10153,0.0,0.0,0.0,0.0,0.0,0.0
