zipcode,state,city,borough,year,home_value
11368,NY,New York,QUEENS,2015,417755.0
11385,NY,New York,QUEENS,2015,537186.0
11236,NY,New York,BROOKLYN,2015,401310.0
11208,NY,New York,BROOKLYN,2015,396395.0
10467,NY,New York,BRONX,2015,278072.0
11226,NY,New York,BROOKLYN,2015,598063.0
11373,NY,New York,QUEENS,2015,429371.0
11234,NY,New York,BROOKLYN,2015,501973.0
11220,NY,New York,BROOKLYN,2015,565348.0
11207,NY,New York,BROOKLYN,2015,347528.0
11214,NY,New York,BROOKLYN,2015,515061.0
10025,NY,New York,MANHATTAN,2015,941089.0
10456,NY,New York,BRONX,2015,269152.0
10314,NY,New York,STATEN_ISLAND,2015,395503.0
11219,NY,New York,BROOKLYN,2015,622036.0
11221,NY,New York,BROOKLYN,2015,736552.0
10458,NY,New York,BRONX,2015,265690.0
11235,NY,New York,BROOKLYN,2015,465254.0
11223,NY,New York,BROOKLYN,2015,698183.0
11377,NY,New York,QUEENS,2015,597332.0
11206,NY,New York,BROOKLYN,2015,850864.0
10453,NY,New York,BRONX,2015,319561.0
11229,NY,New York,BROOKLYN,2015,525407.0
11355,NY,New York,QUEENS,2015,499281.0
11204,NY,New York,BROOKLYN,2015,697542.0
11230,NY,New York,BROOKLYN,2015,795044.0
11233,NY,New York,BROOKLYN,2015,561826.0
10468,NY,New York,BRONX,2015,173578.0
10457,NY,New York,BRONX,2015,314165.0
10452,NY,New York,BRONX,2015,327464.0
10462,NY,New York,BRONX,2015,118186.0
10029,NY,New York,MANHATTAN,2015,830215.0
11218,NY,New York,BROOKLYN,2015,675301.0
10469,NY,New York,BRONX,2015,387163.0
10466,NY,New York,BRONX,2015,355261.0
11203,NY,New York,BROOKLYN,2015,407178.0
11212,NY,New York,BROOKLYN,2015,333743.0
10002,NY,New York,MANHATTAN,2015,975820.0
11375,NY,New York,QUEENS,2015,644956.0
10463,NY,New York,BRONX,2015,315348.0
11215,NY,New York,BROOKLYN,2015,1335479.0
10472,NY,New York,BRONX,2015,345178.0
11691,NY,New York,QUEENS,2015,374737.0
11213,NY,New York,BROOKLYN,2015,732653.0
11210,NY,New York,BROOKLYN,2015,559991.0
11209,NY,New York,BROOKLYN,2015,692614.0
10027,NY,New York,MANHATTAN,2015,872643.0
11211,NY,New York,BROOKLYN,2015,949178.0
11372,NY,New York,QUEENS,2015,346721.0
10312,NY,New York,STATEN_ISLAND,2015,439407.0
11201,NY,New York,BROOKLYN,2015,1267892.0
10032,NY,New York,MANHATTAN,2015,421462.0
10023,NY,New York,MANHATTAN,2015,1275681.0
11434,NY,New York,QUEENS,2015,392064.0
11432,NY,New York,QUEENS,2015,637694.0
10128,NY,New York,MANHATTAN,2015,964712.0
11238,NY,New York,BROOKLYN,2015,1140901.0
10473,NY,New York,BRONX,2015,319839.0
11216,NY,New York,BROOKLYN,2015,872220.0
10009,NY,New York,MANHATTAN,2015,1075547.0
11435,NY,New York,QUEENS,2015,412836.0
10024,NY,New York,MANHATTAN,2015,1435143.0
11225,NY,New York,BROOKLYN,2015,919504.0
10033,NY,New York,MANHATTAN,2015,514910.0
10460,NY,New York,BRONX,2015,324450.0
10031,NY,New York,MANHATTAN,2015,653438.0
11354,NY,New York,QUEENS,2015,491267.0
