,zipcode,borough,year,count,home_value
108,10020,MANHATTAN,2015,460,
109,10020,MANHATTAN,2016,458,
110,10020,MANHATTAN,2017,219,
111,10020,MANHATTAN,2018,253,
112,10020,MANHATTAN,2019,533,
113,10020,MANHATTAN,2020,321,
114,10020,MANHATTAN,2021,469,
115,10020,MANHATTAN,2022,568,
227,10037,MANHATTAN,2015,273,
228,10037,MANHATTAN,2016,245,
229,10037,MANHATTAN,2017,558,
230,10037,MANHATTAN,2018,522,
283,10115,MANHATTAN,2015,177,
284,10115,MANHATTAN,2016,186,
285,10115,MANHATTAN,2017,354,
286,10115,MANHATTAN,2018,419,
287,10115,MANHATTAN,2019,646,
288,10115,MANHATTAN,2020,329,
289,10115,MANHATTAN,2021,200,
290,10115,MANHATTAN,2022,270,
307,10301,STATEN ISLAND,2017,84,
308,10301,STATEN ISLAND,2018,97,
309,10301,STATEN ISLAND,2020,102,
310,10302,STATEN ISLAND,2015,18,
311,10302,STATEN ISLAND,2016,18,
312,10302,STATEN ISLAND,2017,15,
313,10302,STATEN ISLAND,2018,15,
314,10302,STATEN ISLAND,2019,16,
315,10302,STATEN ISLAND,2020,10,
316,10302,STATEN ISLAND,2021,26,
317,10302,STATEN ISLAND,2022,26,
318,10303,STATEN ISLAND,2015,11,
319,10303,STATEN ISLAND,2016,7,
320,10303,STATEN ISLAND,2017,9,
321,10303,STATEN ISLAND,2018,14,
322,10303,STATEN ISLAND,2019,9,
323,10303,STATEN ISLAND,2020,11,
324,10303,STATEN ISLAND,2021,15,
325,10303,STATEN ISLAND,2022,22,
326,10304,STATEN ISLAND,2015,29,
327,10304,STATEN ISLAND,2016,32,
328,10304,STATEN ISLAND,2017,28,
329,10304,STATEN ISLAND,2018,21,
330,10304,STATEN ISLAND,2019,17,
331,10304,STATEN ISLAND,2020,20,
332,10304,STATEN ISLAND,2021,31,
333,10304,STATEN ISLAND,2022,35,
334,10305,STATEN ISLAND,2015,42,
335,10305,STATEN ISLAND,2016,48,
336,10305,STATEN ISLAND,2017,48,
337,10305,STATEN ISLAND,2018,42,
338,10305,STATEN ISLAND,2019,56,
339,10305,STATEN ISLAND,2020,38,
340,10305,STATEN ISLAND,2021,45,
341,10305,STATEN ISLAND,2022,53,
342,10306,STATEN ISLAND,2015,34,
343,10306,STATEN ISLAND,2016,29,
344,10306,STATEN ISLAND,2017,17,
345,10306,STATEN ISLAND,2018,17,
346,10306,STATEN ISLAND,2019,18,
347,10306,STATEN ISLAND,2020,16,
348,10306,STATEN ISLAND,2021,34,
349,10306,STATEN ISLAND,2022,35,
350,10307,STATEN ISLAND,2015,1,
351,10307,STATEN ISLAND,2016,1,
352,10307,STATEN ISLAND,2017,1,
353,10307,STATEN ISLAND,2018,3,
354,10307,STATEN ISLAND,2019,8,
355,10307,STATEN ISLAND,2020,4,
356,10307,STATEN ISLAND,2021,2,
357,10307,STATEN ISLAND,2022,4,
358,10308,STATEN ISLAND,2015,13,
359,10308,STATEN ISLAND,2016,13,
360,10308,STATEN ISLAND,2017,11,
361,10308,STATEN ISLAND,2018,10,
362,10308,STATEN ISLAND,2019,7,
363,10308,STATEN ISLAND,2020,10,
364,10308,STATEN ISLAND,2021,15,
365,10308,STATEN ISLAND,2022,18,
366,10309,STATEN ISLAND,2015,5,
367,10309,STATEN ISLAND,2016,4,
368,10309,STATEN ISLAND,2018,1,
369,10309,STATEN ISLAND,2019,2,
370,10309,STATEN ISLAND,2020,5,
371,10309,STATEN ISLAND,2021,6,
372,10309,STATEN ISLAND,2022,6,
373,10310,STATEN ISLAND,2015,34,
374,10310,STATEN ISLAND,2016,38,
375,10310,STATEN ISLAND,2017,8,
376,10310,STATEN ISLAND,2018,20,
377,10310,STATEN ISLAND,2019,45,
378,10310,STATEN ISLAND,2020,20,
379,10310,STATEN ISLAND,2021,33,
380,10310,STATEN ISLAND,2022,43,
381,10311,STATEN ISLAND,2020,1,
382,10312,STATEN ISLAND,2015,8,
383,10312,STATEN ISLAND,2016,10,
384,10312,STATEN ISLAND,2017,11,
385,10312,STATEN ISLAND,2018,6,
386,10312,STATEN ISLAND,2019,5,
387,10312,STATEN ISLAND,2020,6,
388,10312,STATEN ISLAND,2021,7,
389,10312,STATEN ISLAND,2022,11,
390,10314,STATEN ISLAND,2015,8,
391,10314,STATEN ISLAND,2016,6,
392,10314,STATEN ISLAND,2017,3,
393,10314,STATEN ISLAND,2018,4,
394,10314,STATEN ISLAND,2019,8,
395,10314,STATEN ISLAND,2020,3,
396,10314,STATEN ISLAND,2021,7,
397,10314,STATEN ISLAND,2022,9,
577,10474,BRONX,2015,26,
578,10474,BRONX,2016,27,
579,10474,BRONX,2017,2,
580,10474,BRONX,2018,13,
581,10474,BRONX,2019,7,
582,10474,BRONX,2020,10,
583,10474,BRONX,2021,30,
584,10474,BRONX,2022,35,
593,10550,BRONX,2015,23,
594,10550,BRONX,2016,14,
