,zipcode,borough,year,count,rent
1276,10020,MANHATTAN,2015,460,
1277,10020,MANHATTAN,2016,458,
1278,10020,MANHATTAN,2017,219,
1279,10020,MANHATTAN,2018,253,
1280,10020,MANHATTAN,2019,533,
1281,10020,MANHATTAN,2020,321,
1282,10020,MANHATTAN,2021,469,
1283,10020,MANHATTAN,2022,568,
2576,10037,MANHATTAN,2015,273,
2655,10039,MANHATTAN,2015,193,
2656,10039,MANHATTAN,2016,190,
2657,10039,MANHATTAN,2017,399,
2658,10039,MANHATTAN,2018,372,
2659,10039,MANHATTAN,2019,345,
2782,10044,MANHATTAN,2015,79,
2783,10044,MANHATTAN,2016,73,
2784,10044,MANHATTAN,2017,67,
2785,10044,MANHATTAN,2018,109,
2786,10044,MANHATTAN,2019,126,
2915,10069,MANHATTAN,2015,37,
2916,10069,MANHATTAN,2016,36,
3079,10115,MANHATTAN,2015,177,
3080,10115,MANHATTAN,2016,186,
3081,10115,MANHATTAN,2017,354,
3082,10115,MANHATTAN,2018,419,
3083,10115,MANHATTAN,2019,646,
3084,10115,MANHATTAN,2020,329,
3085,10115,MANHATTAN,2021,200,
3086,10115,MANHATTAN,2022,270,
3087,10280,MANHATTAN,2015,56,
3261,10301,STATEN ISLAND,2017,84,
3262,10301,STATEN ISLAND,2018,97,
3263,10301,STATEN ISLAND,2020,102,
3264,10302,STATEN ISLAND,2015,18,
3265,10302,STATEN ISLAND,2016,18,
3266,10302,STATEN ISLAND,2017,15,
3267,10302,STATEN ISLAND,2018,15,
3268,10302,STATEN ISLAND,2019,16,
3269,10302,STATEN ISLAND,2020,10,
3270,10302,STATEN ISLAND,2021,26,
3271,10302,STATEN ISLAND,2022,26,
3272,10303,STATEN ISLAND,2015,11,
3273,10303,STATEN ISLAND,2016,7,
3274,10303,STATEN ISLAND,2017,9,
3275,10303,STATEN ISLAND,2018,14,
3276,10303,STATEN ISLAND,2019,9,
3277,10303,STATEN ISLAND,2020,11,
3278,10303,STATEN ISLAND,2021,15,
3279,10303,STATEN ISLAND,2022,22,
3280,10304,STATEN ISLAND,2015,29,
3281,10304,STATEN ISLAND,2016,32,
3282,10304,STATEN ISLAND,2017,28,
3283,10304,STATEN ISLAND,2018,21,
3284,10304,STATEN ISLAND,2019,17,
3285,10304,STATEN ISLAND,2020,20,
3286,10304,STATEN ISLAND,2021,31,
3287,10304,STATEN ISLAND,2022,35,
3288,10305,STATEN ISLAND,2015,42,
3289,10305,STATEN ISLAND,2016,48,
3290,10305,STATEN ISLAND,2017,48,
3291,10305,STATEN ISLAND,2018,42,
3292,10305,STATEN ISLAND,2019,56,
3293,10305,STATEN ISLAND,2020,38,
