zipcode,year,borough,home_value,count
10451,2015,BRONX,252404.75,
10451,2016,BRONX,226425.66666666666,
10451,2017,BRONX,251161.41666666666,
10451,2018,BRONX,263863.8333333333,
10451,2019,BRONX,313653.4166666667,
10451,2020,BRONX,326349.0,
10451,2021,BRONX,321368.25,
10451,2022,BRONX,332155.8,
10452,2015,BRONX,334783.0833333333,
10452,2016,BRONX,396067.8333333333,
10452,2017,BRONX,398720.4166666667,
10452,2018,BRONX,427237.4166666667,
10452,2019,BRONX,396160.0,
10452,2020,BRONX,378324.25,
10452,2021,BRONX,396206.4166666667,
10452,2022,BRONX,417875.1,
10453,2015,BRONX,328704.4166666667,
10453,2016,BRONX,356958.0,
10453,2017,BRONX,393865.0,
10453,2018,BRONX,454683.5833333333,
10453,2019,BRONX,521471.6666666667,
10453,2020,BRONX,567463.6666666666,
10453,2021,BRONX,632180.5,
10453,2022,BRONX,677833.4,
10454,2015,BRONX,314658.0833333333,
10454,2016,BRONX,374801.5833333333,
10454,2017,BRONX,443126.1666666667,
10454,2018,BRONX,447892.25,
10454,2019,BRONX,554373.4166666666,
10454,2020,BRONX,591669.4166666666,
10454,2021,BRONX,623314.5,
10454,2022,BRONX,652391.5,
10455,2015,BRONX,272022.75,
10455,2016,BRONX,272749.3333333333,
10455,2017,BRONX,317917.0833333333,
10455,2018,BRONX,346726.25,
10455,2019,BRONX,380264.9166666667,
10455,2020,BRONX,418080.6666666667,
10455,2021,BRONX,433201.75,
10455,2022,BRONX,462821.0,
10456,2015,BRONX,279366.9166666667,
10456,2016,BRONX,289214.9166666667,
10456,2017,BRONX,324833.9166666667,
10456,2018,BRONX,357149.5,
10456,2019,BRONX,377873.25,
10456,2020,BRONX,405831.9166666667,
10456,2021,BRONX,424782.9166666667,
10457,2015,BRONX,324363.9166666667,
10457,2016,BRONX,352507.75,
10457,2017,BRONX,377363.5,
10457,2018,BRONX,404723.3333333333,
10457,2019,BRONX,458172.4166666667,
10457,2020,BRONX,496782.0833333333,
10457,2021,BRONX,522452.5,
10457,2022,BRONX,543640.7,
10458,2015,BRONX,284365.8333333333,
10458,2016,BRONX,307498.6666666667,
10458,2017,BRONX,332939.75,
10458,2018,BRONX,353069.4166666667,
10458,2019,BRONX,400902.4166666667,
10458,2020,BRONX,378771.9166666667,
10458,2021,BRONX,457956.75,
10458,2022,BRONX,487849.6,
10459,2015,BRONX,301525.9166666667,
10459,2016,BRONX,312305.75,
10459,2017,BRONX,338025.75,
10459,2018,BRONX,378404.1666666667,
10459,2019,BRONX,403955.75,
10459,2020,BRONX,443097.8333333333,
10459,2021,BRONX,451375.1666666667,
10459,2022,BRONX,474238.9,
10460,2015,BRONX,340917.0,
10460,2016,BRONX,357251.5833333333,
10460,2017,BRONX,393308.4166666667,
10460,2018,BRONX,422079.6666666667,
10460,2019,BRONX,449329.8333333333,
10460,2020,BRONX,510166.25,
10460,2021,BRONX,559227.3333333334,
10460,2022,BRONX,594086.1,
10461,2015,BRONX,409960.1666666667,
10461,2016,BRONX,419900.0,
10461,2017,BRONX,453681.8333333333,
10461,2018,BRONX,489976.8333333333,
10461,2019,BRONX,532643.8333333334,
10461,2020,BRONX,578386.0833333334,
10461,2021,BRONX,610815.9166666666,
10461,2022,BRONX,655278.1,
10462,2015,BRONX,124176.0,
10462,2016,BRONX,134210.25,
10462,2017,BRONX,143315.5,
10462,2018,BRONX,162510.5,
10462,2019,BRONX,184555.58333333334,
10462,2020,BRONX,202890.33333333334,
10462,2021,BRONX,199231.58333333334,
10462,2022,BRONX,200402.2,
10463,2015,BRONX,333158.6666666667,
10463,2016,BRONX,366111.25,
10463,2017,BRONX,373742.6666666667,
10463,2019,BRONX,403598.0833333333,
10463,2020,BRONX,434285.0833333333,
10463,2021,BRONX,430870.8333333333,
10463,2022,BRONX,434158.3,
10464,2015,BRONX,458551.5833333333,
10464,2016,BRONX,463880.9166666667,
10464,2017,BRONX,494535.8333333333,
10464,2018,BRONX,513421.1666666667,
10464,2019,BRONX,536347.3333333334,
10464,2020,BRONX,536205.75,
10464,2021,BRONX,565685.0,
10464,2022,BRONX,600630.2,
10465,2015,BRONX,399155.1666666667,
10465,2016,BRONX,404541.0833333333,
10465,2017,BRONX,434136.0833333333,
10465,2018,BRONX,471863.25,
10465,2019,BRONX,511188.1666666667,
10465,2020,BRONX,535341.5,
10465,2021,BRONX,574414.9166666666,
10465,2022,BRONX,613625.8,
10466,2015,BRONX,362762.25,
10466,2016,BRONX,376184.4166666667,
10466,2017,BRONX,403886.8333333333,
10466,2018,BRONX,437893.9166666667,
10466,2019,BRONX,464813.75,
10466,2020,BRONX,493010.9166666667,
10467,2015,BRONX,286850.5,
10467,2016,BRONX,295318.9166666667,
10467,2017,BRONX,324620.0,
10467,2018,BRONX,360789.5833333333,
