zipcode,year,borough,mean_rent,count
10452,2022,BRONX,1926.463087907606,
10453,2022,BRONX,1857.3402845044923,
10454,2022,BRONX,2595.520022041113,
10455,2022,BRONX,2090.263157168233,
10457,2015,BRONX,1301.1308018754166,
10457,2016,BRONX,1432.826664451621,
10457,2017,BRONX,1530.2282497114693,
10457,2018,BRONX,1655.5791906240513,
10457,2019,BRONX,1707.3496372033217,
10457,2020,BRONX,1824.7388834922756,
10457,2021,BRONX,1811.7912395072497,
10457,2022,BRONX,1950.8419484855608,
10458,2015,BRONX,1412.1866334097683,
10458,2016,BRONX,1531.7396506073837,
10458,2017,BRONX,1663.9189704277112,
10458,2018,BRONX,1741.6018886439824,
10458,2019,BRONX,1782.5863319014522,
10458,2020,BRONX,1867.7188019873847,
10458,2021,BRONX,1945.2712711837569,
10458,2022,BRONX,2025.4230166852558,
10460,2022,BRONX,2020.7641440918153,
10461,2015,BRONX,1320.4553766163044,
10461,2016,BRONX,1388.9727581052605,
10461,2017,BRONX,1496.524513365991,
10461,2018,BRONX,1579.2965775035445,
10461,2019,BRONX,1667.9305321395393,
10461,2020,BRONX,1767.5145545808302,
10461,2021,BRONX,1824.5403542492631,
10461,2022,BRONX,1934.0539383814685,
10462,2015,BRONX,1372.0118579657942,
10462,2016,BRONX,1475.3491759291264,
10462,2017,BRONX,1564.2915151546906,
10462,2018,BRONX,1642.2081487682142,
10462,2019,BRONX,1721.1326275273022,
10462,2020,BRONX,1766.3042955181688,
10462,2021,BRONX,1811.8604464279242,
10462,2022,BRONX,1954.7728243495937,
10463,2015,BRONX,2072.7777430560027,
10463,2016,BRONX,2171.271231509079,
10463,2017,BRONX,2250.527060637635,
10463,2019,BRONX,2340.6747472286015,
10463,2020,BRONX,2378.4907967937593,
10463,2021,BRONX,2379.1907224596557,
10463,2022,BRONX,2552.0664837155327,
10465,2016,BRONX,1705.880578613149,
10465,2017,BRONX,1845.1165431160555,
10465,2018,BRONX,1928.8591002991063,
10465,2019,BRONX,1979.9126822914811,
10465,2020,BRONX,2125.1393414053405,
10465,2021,BRONX,2136.731016787739,
10465,2022,BRONX,2330.0142692819154,
10467,2015,BRONX,1358.4601700780786,
10467,2016,BRONX,1433.7856707711796,
10467,2017,BRONX,1549.0161788589078,
10467,2018,BRONX,1643.7776519665504,
10467,2019,BRONX,1712.630285181608,
10467,2020,BRONX,1798.5334137510156,
10467,2021,BRONX,1850.1216884189578,
10467,2022,BRONX,1950.805176263013,
10468,2022,BRONX,1796.5099192801674,
10471,2022,BRONX,2323.054531196126,
10472,2022,BRONX,2164.6196012640394,
10473,2022,BRONX,2450.0666372830733,
