zipcode,year,borough,home_value,count
11201,2015,BROOKLYN,1324822.3333333333,
11201,2016,BROOKLYN,1374818.75,
11201,2017,BROOKLYN,1278540.6666666667,
11201,2018,BROOKLYN,1267815.75,
11201,2019,BROOKLYN,1339921.0,
11201,2020,BROOKLYN,1361641.5833333333,
11201,2021,BROOKLYN,1277278.6666666667,
11201,2022,BROOKLYN,1319598.7,
11203,2015,BROOKLYN,415498.0,
11203,2016,BROOKLYN,459447.8333333333,
11203,2017,BROOKLYN,492986.6666666667,
11203,2018,BROOKLYN,536511.1666666666,
11203,2019,BROOKLYN,567279.25,
11203,2020,BROOKLYN,605219.0,
11203,2021,BROOKLYN,638399.0833333334,
11203,2022,BROOKLYN,678205.0,
11204,2015,BROOKLYN,726457.9166666666,
11204,2016,BROOKLYN,794288.9166666666,
11204,2017,BROOKLYN,858915.25,
11204,2018,BROOKLYN,905057.6666666666,
11204,2019,BROOKLYN,921638.9166666666,
11204,2020,BROOKLYN,905666.75,
11204,2021,BROOKLYN,944600.1666666666,
11204,2022,BROOKLYN,1001488.2,
11205,2015,BROOKLYN,734294.4166666666,
11205,2016,BROOKLYN,788330.5,
11205,2017,BROOKLYN,818825.5833333334,
11205,2018,BROOKLYN,869438.8333333334,
11205,2019,BROOKLYN,931183.5,
11205,2020,BROOKLYN,937073.6666666666,
11205,2021,BROOKLYN,934208.5,
11205,2022,BROOKLYN,998726.3,
11206,2015,BROOKLYN,859455.8333333334,
11206,2016,BROOKLYN,871869.6666666666,
11206,2017,BROOKLYN,916044.3333333334,
11206,2018,BROOKLYN,946407.8333333334,
11206,2019,BROOKLYN,917810.8333333334,
11206,2020,BROOKLYN,906703.5,
11206,2021,BROOKLYN,907284.3333333334,
11206,2022,BROOKLYN,920709.6,
11207,2015,BROOKLYN,357808.6666666667,
11207,2016,BROOKLYN,380632.6666666667,
11207,2017,BROOKLYN,414609.5833333333,
11207,2018,BROOKLYN,438582.1666666667,
11207,2019,BROOKLYN,463651.25,
11207,2020,BROOKLYN,494206.1666666667,
11207,2021,BROOKLYN,530486.0833333334,
11207,2022,BROOKLYN,564686.7,
11208,2015,BROOKLYN,409912.25,
11208,2016,BROOKLYN,450840.1666666667,
11208,2017,BROOKLYN,498081.5833333333,
11208,2018,BROOKLYN,521170.4166666667,
11208,2019,BROOKLYN,551927.0833333334,
11208,2020,BROOKLYN,586907.8333333334,
11208,2021,BROOKLYN,630066.5833333334,
11208,2022,BROOKLYN,661930.2,
11209,2015,BROOKLYN,721519.6666666666,
11209,2016,BROOKLYN,792867.0,
11209,2017,BROOKLYN,852887.9166666666,
11209,2018,BROOKLYN,889156.25,
11209,2019,BROOKLYN,910180.25,
11209,2020,BROOKLYN,876552.0,
11209,2021,BROOKLYN,928390.0,
11209,2022,BROOKLYN,988649.4,
11210,2015,BROOKLYN,588411.8333333334,
11210,2016,BROOKLYN,637839.5833333334,
11210,2017,BROOKLYN,699155.0833333334,
11210,2018,BROOKLYN,754672.5,
11210,2019,BROOKLYN,772585.5833333334,
11210,2020,BROOKLYN,787817.5,
11210,2021,BROOKLYN,814119.5,
11210,2022,BROOKLYN,858834.4,
