zipcode,year,borough,mean_rent,count
11201,2015,BROOKLYN,3227.8641468940973,
11201,2016,BROOKLYN,3271.2313381508648,
11201,2017,BROOKLYN,3292.957076244486,
11201,2018,BROOKLYN,3352.501241935786,
11201,2019,BROOKLYN,3488.1631169165626,
11201,2020,BROOKLYN,3419.179867130175,
11201,2021,BROOKLYN,3508.4464876718907,
11201,2022,BROOKLYN,4059.0335027497144,
11203,2021,BROOKLYN,2042.2652549493728,
11203,2022,BROOKLYN,2282.7581934007185,
11205,2015,BROOKLYN,2496.5073849743735,
11205,2016,BROOKLYN,2543.91656724039,
11205,2017,BROOKLYN,2582.6804241597956,
11205,2018,BROOKLYN,2664.2061821539933,
11205,2019,BROOKLYN,2799.563923466904,
11205,2020,BROOKLYN,2780.8856782709645,
11205,2021,BROOKLYN,2778.1127291624275,
11205,2022,BROOKLYN,3300.310574033865,
11206,2015,BROOKLYN,2915.664567591635,
11206,2016,BROOKLYN,2932.162375813145,
11206,2017,BROOKLYN,2910.0320909775587,
11206,2018,BROOKLYN,2900.838561013394,
11206,2019,BROOKLYN,2962.661851136819,
11206,2020,BROOKLYN,2905.716859086024,
11206,2021,BROOKLYN,2846.894980014056,
11206,2022,BROOKLYN,3437.962792948373,
11207,2015,BROOKLYN,2117.900225710535,
11207,2016,BROOKLYN,2265.6482851216083,
11207,2017,BROOKLYN,2326.77183916455,
11207,2018,BROOKLYN,2379.1373824741954,
11207,2019,BROOKLYN,2483.3621781962693,
11207,2020,BROOKLYN,2517.0901703385002,
11207,2021,BROOKLYN,2474.4756443402753,
11207,2022,BROOKLYN,2914.4784736946394,
11208,2020,BROOKLYN,2027.5448831758922,
11208,2021,BROOKLYN,2143.7010307359933,
11208,2022,BROOKLYN,2427.6661489660783,
11209,2015,BROOKLYN,1740.9511095705718,
11209,2016,BROOKLYN,1794.4245009570877,
11209,2017,BROOKLYN,1833.273305973272,
11209,2018,BROOKLYN,1879.9274969711657,
11209,2019,BROOKLYN,1939.1564763629274,
11209,2020,BROOKLYN,1939.0886292072653,
11209,2021,BROOKLYN,1945.8718701693642,
11209,2022,BROOKLYN,2035.2958212050169,
11210,2017,BROOKLYN,2190.458163872729,
11210,2018,BROOKLYN,2240.077211723535,
11210,2019,BROOKLYN,2291.987718714405,
11210,2020,BROOKLYN,2225.550457816114,
11210,2021,BROOKLYN,2132.6127416004138,
11210,2022,BROOKLYN,2354.48432403083,
11211,2015,BROOKLYN,3234.8525611016366,
11211,2016,BROOKLYN,3239.173234073198,
11211,2021,BROOKLYN,3375.170964151282,
11212,2022,BROOKLYN,2338.9688475998146,
11213,2015,BROOKLYN,2036.3777325385915,
11213,2016,BROOKLYN,2157.2804306298167,
11213,2017,BROOKLYN,2233.1718279895035,
11213,2018,BROOKLYN,2303.4980777732203,
