zipcode,year,borough,home_value,count
10001,2015,MANHATTAN,2280604.0,
10001,2016,MANHATTAN,2369453.25,
10001,2017,MANHATTAN,2271803.5,
10001,2018,MANHATTAN,2351996.8333333335,
10001,2019,MANHATTAN,2380720.4166666665,
10001,2020,MANHATTAN,2026572.9166666667,
10001,2021,MANHATTAN,2007206.25,
10001,2022,MANHATTAN,2202837.5,
10002,2015,MANHATTAN,1006425.0,
10002,2016,MANHATTAN,974477.6666666666,
10002,2017,MANHATTAN,905242.0,
10002,2018,MANHATTAN,853343.0,
10002,2019,MANHATTAN,943931.5833333334,
10002,2020,MANHATTAN,957236.0833333334,
10002,2021,MANHATTAN,863112.9166666666,
10002,2022,MANHATTAN,940974.8,
10003,2015,MANHATTAN,1449640.4166666667,
10003,2016,MANHATTAN,1437530.25,
10003,2018,MANHATTAN,1471335.5833333333,
10003,2019,MANHATTAN,1490853.25,
10003,2020,MANHATTAN,1308532.25,
10003,2021,MANHATTAN,1418296.8333333333,
10003,2022,MANHATTAN,1587834.7,
10004,2015,MANHATTAN,1253553.5833333333,
10004,2016,MANHATTAN,1240155.8333333333,
10004,2017,MANHATTAN,1230497.0833333333,
10004,2018,MANHATTAN,1246794.25,
10004,2019,MANHATTAN,1141954.0833333333,
10004,2020,MANHATTAN,1073472.8333333333,
10004,2021,MANHATTAN,1025497.0833333334,
10004,2022,MANHATTAN,1078898.6,
10005,2015,MANHATTAN,1124187.9166666667,
10005,2016,MANHATTAN,1198957.3333333333,
10005,2017,MANHATTAN,1198042.8333333333,
10005,2018,MANHATTAN,1176414.25,
10005,2019,MANHATTAN,1110440.6666666667,
10005,2020,MANHATTAN,1051902.6666666667,
10005,2021,MANHATTAN,1026900.6666666666,
10005,2022,MANHATTAN,1083694.6,
10006,2015,MANHATTAN,983788.6666666666,
10006,2016,MANHATTAN,989034.4166666666,
10006,2017,MANHATTAN,989676.75,
10006,2018,MANHATTAN,985276.5,
10006,2019,MANHATTAN,925627.6666666666,
10006,2020,MANHATTAN,877466.6666666666,
10006,2021,MANHATTAN,856471.8333333334,
10006,2022,MANHATTAN,896297.8,
10007,2015,MANHATTAN,3098907.6666666665,
10007,2016,MANHATTAN,3111148.5,
10007,2017,MANHATTAN,3020037.3333333335,
10007,2018,MANHATTAN,2965586.1666666665,
10007,2019,MANHATTAN,2872719.0833333335,
10007,2020,MANHATTAN,2776481.8333333335,
10007,2021,MANHATTAN,2725251.9166666665,
10007,2022,MANHATTAN,2924024.1,
10009,2015,MANHATTAN,1125703.5833333333,
10009,2016,MANHATTAN,1094491.4,
10009,2018,MANHATTAN,1150376.6666666667,
10009,2019,MANHATTAN,1107907.3333333333,
10009,2020,MANHATTAN,1072772.8333333333,
10009,2021,MANHATTAN,1074037.4166666667,
10009,2022,MANHATTAN,1170548.9,
10010,2015,MANHATTAN,1808973.8333333333,
10010,2016,MANHATTAN,1825040.0833333333,
10010,2017,MANHATTAN,1768572.25,
10010,2018,MANHATTAN,1694063.3333333333,
10010,2019,MANHATTAN,1722271.1666666667,
10010,2020,MANHATTAN,1592704.5833333333,
10010,2021,MANHATTAN,1508217.1666666667,
10010,2022,MANHATTAN,1591799.7,
10011,2015,MANHATTAN,2082922.8333333333,
10011,2016,MANHATTAN,2136995.75,
10011,2017,MANHATTAN,2074661.0,
10011,2018,MANHATTAN,2038438.3333333333,
10011,2019,MANHATTAN,1966323.0833333333,
10011,2020,MANHATTAN,1778982.5833333333,
10011,2021,MANHATTAN,1686585.75,
10011,2022,MANHATTAN,1838263.9,
10012,2015,MANHATTAN,2477989.8333333335,
10012,2016,MANHATTAN,2501080.5833333335,
10012,2017,MANHATTAN,2312505.0833333335,
10012,2018,MANHATTAN,2397648.25,
10012,2019,MANHATTAN,2606977.5,
10012,2020,MANHATTAN,2532089.0833333335,
10012,2021,MANHATTAN,2544311.5,
10012,2022,MANHATTAN,2857817.5,
10013,2015,MANHATTAN,3401886.4166666665,
10013,2016,MANHATTAN,3509708.75,
10013,2017,MANHATTAN,3468381.75,
10013,2018,MANHATTAN,3371905.3333333335,
10013,2020,MANHATTAN,3236128.0,
10013,2021,MANHATTAN,3157718.6666666665,
10013,2022,MANHATTAN,3421585.1,
10014,2015,MANHATTAN,2047521.3333333333,
10014,2016,MANHATTAN,2091179.25,
10014,2017,MANHATTAN,2288907.0833333335,
10014,2018,MANHATTAN,2461694.4166666665,
10014,2019,MANHATTAN,2295021.6666666665,
10014,2020,MANHATTAN,2124108.6666666665,
10014,2021,MANHATTAN,1977412.5,
10014,2022,MANHATTAN,2181070.2,
10016,2015,MANHATTAN,1060130.0,
10016,2016,MANHATTAN,1098404.3333333333,
10016,2017,MANHATTAN,1102129.4166666667,
10016,2018,MANHATTAN,1091157.1666666667,
10016,2019,MANHATTAN,1059822.5,
10016,2020,MANHATTAN,1006588.1666666666,
10016,2021,MANHATTAN,977836.4166666666,
10016,2022,MANHATTAN,1023268.1,
10017,2015,MANHATTAN,1001648.4166666666,
10017,2016,MANHATTAN,1025001.5,
10017,2017,MANHATTAN,984854.6363636364,
