zipcode,year,borough,home_value,count
11004,2015,QUEENS,552181.6666666666,
11004,2016,QUEENS,565800.1666666666,
11004,2017,QUEENS,605983.0833333334,
11004,2018,QUEENS,628986.1666666666,
11004,2019,QUEENS,656144.4166666666,
11004,2020,QUEENS,654318.8333333334,
11004,2021,QUEENS,713502.5,
11004,2022,QUEENS,759113.1,
11101,2015,QUEENS,699931.8333333334,
11101,2016,QUEENS,759180.4166666666,
11101,2017,QUEENS,794348.4166666666,
11101,2018,QUEENS,797617.25,
11101,2019,QUEENS,805450.0,
11101,2020,QUEENS,799248.6666666666,
11101,2021,QUEENS,784913.9166666666,
11101,2022,QUEENS,804049.0,
11102,2015,QUEENS,526981.5833333334,
11102,2016,QUEENS,573298.5833333334,
11102,2017,QUEENS,627005.8333333334,
11102,2018,QUEENS,660766.9166666666,
11102,2019,QUEENS,670163.9166666666,
11102,2020,QUEENS,666734.5,
11102,2021,QUEENS,676636.5,
11102,2022,QUEENS,685213.9,
11103,2015,QUEENS,668012.6666666666,
11103,2016,QUEENS,758007.1666666666,
11103,2019,QUEENS,905686.6666666666,
11103,2020,QUEENS,926216.0833333334,
11103,2021,QUEENS,942974.8333333334,
11103,2022,QUEENS,992686.1,
11104,2015,QUEENS,407957.5833333333,
11104,2016,QUEENS,456126.1666666667,
11104,2017,QUEENS,497478.1666666667,
11104,2018,QUEENS,501040.0833333333,
11104,2020,QUEENS,624902.25,
11104,2021,QUEENS,631047.1666666666,
11104,2022,QUEENS,660311.0,
11105,2015,QUEENS,759277.5,
11105,2016,QUEENS,852561.75,
11105,2017,QUEENS,944436.25,
11105,2018,QUEENS,985832.5,
11105,2019,QUEENS,1004564.5,
11105,2020,QUEENS,1038004.1666666666,
11105,2021,QUEENS,1043340.9166666666,
11105,2022,QUEENS,1096246.6,
11106,2015,QUEENS,491355.75,
11106,2016,QUEENS,525246.5,
11106,2019,QUEENS,646284.3333333334,
11106,2020,QUEENS,642368.75,
11106,2021,QUEENS,647598.5833333334,
11106,2022,QUEENS,667475.3,
11354,2015,QUEENS,506578.0833333333,
11354,2016,QUEENS,552135.0833333334,
11354,2017,QUEENS,603901.5,
11354,2018,QUEENS,658181.3333333334,
11354,2019,QUEENS,678780.75,
11354,2020,QUEENS,686298.4166666666,
11354,2021,QUEENS,679932.4166666666,
11354,2022,QUEENS,699018.4,
11355,2015,QUEENS,516473.8333333333,
11355,2016,QUEENS,569382.5833333334,
11355,2017,QUEENS,619183.0,
11355,2018,QUEENS,676159.0,
11355,2019,QUEENS,688670.9166666666,
11355,2020,QUEENS,678723.75,
11355,2021,QUEENS,675732.1666666666,
11355,2022,QUEENS,700258.2,
11356,2015,QUEENS,581415.5833333334,
11356,2016,QUEENS,632145.8333333334,
11356,2017,QUEENS,683000.0833333334,
11356,2018,QUEENS,734028.6666666666,
11356,2019,QUEENS,738159.3333333334,
11356,2020,QUEENS,713410.9166666666,
11356,2021,QUEENS,740146.5,
11356,2022,QUEENS,783582.9,
11357,2015,QUEENS,738912.6666666666,
11357,2016,QUEENS,783348.5833333334,
11357,2017,QUEENS,839732.1666666666,
11357,2018,QUEENS,905467.25,
11357,2019,QUEENS,922434.6666666666,
11357,2020,QUEENS,904688.0,
11357,2021,QUEENS,936440.25,
11357,2022,QUEENS,994086.3,
11358,2015,QUEENS,737488.1666666666,
11358,2016,QUEENS,799500.3333333334,
11358,2017,QUEENS,862951.8333333334,
11358,2018,QUEENS,918663.5,
11358,2019,QUEENS,927929.1666666666,
11358,2020,QUEENS,911733.0,
11358,2021,QUEENS,936072.9166666666,
11358,2022,QUEENS,993699.0,
11360,2015,QUEENS,566666.75,
11360,2016,QUEENS,595699.4166666666,
11360,2017,QUEENS,634423.5,
11360,2018,QUEENS,672492.1666666666,
11360,2019,QUEENS,686799.25,
11360,2020,QUEENS,683148.6666666666,
11360,2021,QUEENS,702569.6666666666,
11360,2022,QUEENS,732222.0,
11361,2015,QUEENS,709830.75,
11361,2016,QUEENS,757224.4166666666,
11361,2017,QUEENS,816932.5833333334,
11361,2018,QUEENS,868862.5833333334,
11361,2019,QUEENS,881914.4166666666,
11361,2020,QUEENS,858136.1666666666,
11361,2021,QUEENS,890003.5,
11361,2022,QUEENS,955138.3,
11362,2015,QUEENS,754671.0,
11362,2016,QUEENS,787406.8333333334,
11362,2017,QUEENS,832198.25,
11362,2018,QUEENS,883636.75,
11362,2019,QUEENS,891351.5833333334,
11362,2020,QUEENS,886657.1666666666,
11362,2021,QUEENS,922259.1666666666,
11362,2022,QUEENS,985342.2,
11363,2015,QUEENS,921549.8333333334,
11363,2016,QUEENS,963444.6666666666,
11363,2017,QUEENS,1013251.1666666666,
11363,2018,QUEENS,1044735.4166666666,
11363,2019,QUEENS,1041612.25,
11363,2020,QUEENS,1022477.9166666666,
11363,2021,QUEENS,1041278.3333333334,
11363,2022,QUEENS,1103964.4,
11364,2015,QUEENS,682675.5,
11364,2016,QUEENS,729165.8333333334,
11364,2017,QUEENS,781655.75,
11364,2018,QUEENS,840989.5833333334,
11364,2019,QUEENS,860836.9166666666,
11364,2020,QUEENS,864607.75,
11364,2021,QUEENS,890422.75,
11364,2022,QUEENS,952809.5,
11365,2015,QUEENS,664690.0,
11365,2016,QUEENS,717120.75,
11365,2017,QUEENS,775286.0,
11365,2018,QUEENS,834487.25,
11365,2019,QUEENS,852155.8333333334,
11365,2020,QUEENS,843571.3333333334,
11365,2021,QUEENS,872168.5833333334,
11365,2022,QUEENS,938809.1,
11366,2015,QUEENS,722290.25,
11366,2016,QUEENS,781553.0833333334,
11366,2017,QUEENS,843078.1666666666,
11366,2018,QUEENS,906010.75,
11366,2019,QUEENS,917672.3333333334,
11366,2020,QUEENS,898789.3333333334,
11366,2021,QUEENS,914183.0,
11366,2022,QUEENS,987105.2,
11367,2015,QUEENS,561090.0833333334,
11367,2016,QUEENS,614028.0,
11367,2017,QUEENS,669854.0,
11367,2018,QUEENS,741730.3333333334,
11367,2019,QUEENS,765722.1666666666,
11367,2020,QUEENS,770914.8333333334,
11367,2021,QUEENS,790143.4166666666,
11367,2022,QUEENS,838199.5,
11368,2015,QUEENS,435625.6666666667,
11368,2016,QUEENS,477874.0,
11368,2017,QUEENS,526969.0,
11368,2018,QUEENS,553055.5833333334,
11368,2019,QUEENS,566223.75,
11368,2020,QUEENS,579952.5,
11368,2021,QUEENS,572368.8333333334,
11368,2022,QUEENS,571892.3,
11369,2015,QUEENS,536944.0,
11369,2016,QUEENS,581961.1666666666,
11369,2017,QUEENS,637312.6666666666,
11369,2018,QUEENS,698593.25,
11369,2019,QUEENS,724069.6666666666,
11369,2020,QUEENS,746394.1666666666,
11369,2021,QUEENS,789169.5833333334,
11369,2022,QUEENS,827846.5,
11370,2015,QUEENS,512350.3333333333,
11370,2016,QUEENS,562351.0833333334,
11370,2017,QUEENS,614250.0,
11370,2018,QUEENS,668543.5833333334,
11370,2019,QUEENS,689471.3333333334,
11370,2020,QUEENS,695550.5833333334,
11370,2021,QUEENS,722699.6666666666,
11370,2022,QUEENS,760890.3,
11372,2015,QUEENS,360698.0,
11372,2016,QUEENS,371240.4166666667,
11372,2017,QUEENS,407305.0,
11372,2018,QUEENS,453186.8333333333,
11372,2019,QUEENS,490242.5,
11372,2020,QUEENS,479311.8333333333,
11372,2021,QUEENS,483587.8333333333,
11372,2022,QUEENS,501556.6,
11373,2015,QUEENS,442075.25,
11373,2016,QUEENS,484055.6666666667,
11373,2017,QUEENS,524198.5,
11373,2018,QUEENS,568017.75,
11373,2019,QUEENS,573793.8333333334,
11373,2020,QUEENS,562534.3333333334,
11373,2021,QUEENS,578745.3333333334,
11373,2022,QUEENS,590277.5,
11374,2015,QUEENS,455798.9166666667,
11374,2016,QUEENS,491289.4166666667,
11374,2017,QUEENS,539852.1666666666,
11374,2018,QUEENS,584818.4166666666,
11374,2019,QUEENS,611956.9166666666,
11374,2020,QUEENS,597965.6666666666,
11374,2021,QUEENS,621448.8333333334,
11374,2022,QUEENS,630222.4,
11375,2015,QUEENS,669283.75,
11375,2016,QUEENS,713962.75,
11375,2017,QUEENS,760781.6666666666,
11375,2018,QUEENS,818675.4166666666,
11375,2019,QUEENS,850694.9166666666,
11375,2020,QUEENS,843562.0833333334,
11375,2021,QUEENS,830616.4166666666,
11375,2022,QUEENS,870997.0,
11377,2015,QUEENS,611122.3333333334,
11377,2016,QUEENS,673097.5833333334,
11377,2017,QUEENS,741168.3333333334,
11377,2018,QUEENS,777698.25,
11377,2019,QUEENS,783396.1666666666,
11377,2020,QUEENS,793972.6666666666,
11377,2021,QUEENS,794613.1666666666,
11377,2022,QUEENS,829358.8,
11378,2015,QUEENS,584827.9166666666,
11378,2016,QUEENS,632039.9166666666,
11378,2017,QUEENS,685346.0,
11378,2018,QUEENS,728646.5,
11378,2019,QUEENS,747060.3333333334,
11378,2020,QUEENS,755369.0833333334,
11378,2021,QUEENS,779279.25,
11378,2022,QUEENS,823000.6,
11379,2015,QUEENS,616779.5833333334,
11379,2016,QUEENS,665549.0,
11379,2017,QUEENS,720365.3333333334,
11379,2018,QUEENS,751362.0833333334,
11379,2019,QUEENS,764651.0833333334,
11379,2020,QUEENS,763177.1666666666,
11379,2021,QUEENS,782484.75,
11379,2022,QUEENS,826936.7,
11385,2015,QUEENS,550787.5,
11385,2016,QUEENS,607714.4166666666,
11385,2017,QUEENS,662187.6666666666,
11385,2018,QUEENS,696424.75,
11385,2019,QUEENS,703710.8333333334,
11385,2020,QUEENS,706130.1666666666,
11385,2021,QUEENS,732049.3333333334,
11385,2022,QUEENS,767211.8,
11411,2015,QUEENS,416568.0833333333,
11411,2016,QUEENS,442735.4166666667,
11411,2017,QUEENS,471185.1666666667,
11411,2018,QUEENS,498120.6666666667,
11411,2019,QUEENS,520465.9166666667,
11411,2020,QUEENS,542961.0833333334,
11411,2021,QUEENS,586554.4166666666,
11411,2022,QUEENS,643960.1,
11412,2015,QUEENS,413782.4166666667,
11412,2016,QUEENS,448425.8333333333,
11412,2017,QUEENS,479257.8333333333,
11412,2018,QUEENS,508451.0833333333,
11412,2019,QUEENS,538223.0833333334,
11412,2020,QUEENS,550187.4166666666,
11412,2021,QUEENS,594732.5833333334,
11412,2022,QUEENS,650777.5,
11413,2015,QUEENS,425696.3333333333,
11413,2016,QUEENS,453018.0833333333,
11413,2017,QUEENS,475271.1666666667,
11413,2018,QUEENS,503895.1666666667,
11413,2019,QUEENS,531882.0,
11413,2020,QUEENS,547684.75,
11413,2021,QUEENS,595840.25,
11413,2022,QUEENS,646525.2,
11414,2015,QUEENS,498971.25,
11414,2016,QUEENS,528350.0,
11414,2017,QUEENS,578655.75,
11414,2018,QUEENS,621791.1666666666,
11414,2019,QUEENS,667491.3333333334,
11414,2020,QUEENS,697214.75,
11414,2021,QUEENS,735790.75,
11414,2022,QUEENS,776587.8,
11415,2015,QUEENS,430658.8333333333,
11415,2016,QUEENS,426021.25,
11415,2017,QUEENS,432592.4166666667,
11415,2018,QUEENS,482604.75,
11415,2019,QUEENS,498638.5833333333,
11415,2020,QUEENS,522792.0833333333,
11415,2021,QUEENS,520030.9166666667,
11415,2022,QUEENS,544864.3,
11416,2015,QUEENS,464602.0833333333,
11416,2016,QUEENS,492862.75,
11416,2017,QUEENS,537219.5,
11416,2018,QUEENS,586110.3333333334,
11416,2019,QUEENS,601792.3333333334,
11416,2020,QUEENS,608762.4166666666,
11416,2021,QUEENS,632177.5,
11416,2022,QUEENS,665662.2,
11417,2015,QUEENS,448746.0833333333,
11417,2016,QUEENS,479001.5,
11417,2017,QUEENS,512823.1666666667,
11417,2018,QUEENS,559252.5,
11417,2019,QUEENS,589934.75,
11417,2020,QUEENS,597243.3333333334,
11417,2021,QUEENS,627095.5,
11417,2022,QUEENS,663566.2,
11418,2015,QUEENS,469644.6666666667,
11418,2016,QUEENS,510595.0833333333,
11418,2017,QUEENS,552374.8333333334,
11418,2018,QUEENS,600218.1666666666,
11418,2019,QUEENS,627234.4166666666,
11418,2020,QUEENS,626543.6666666666,
11418,2021,QUEENS,657163.6666666666,
11418,2022,QUEENS,697998.1,
11419,2015,QUEENS,437914.9166666667,
11419,2016,QUEENS,473933.25,
11419,2017,QUEENS,511075.3333333333,
11419,2018,QUEENS,551605.75,
11419,2019,QUEENS,583241.0,
11419,2020,QUEENS,596055.8333333334,
11419,2021,QUEENS,628400.5833333334,
11419,2022,QUEENS,666058.0,
11420,2015,QUEENS,426713.6666666667,
11420,2016,QUEENS,458440.4166666667,
11420,2017,QUEENS,496744.25,
11420,2018,QUEENS,535789.9166666666,
11420,2019,QUEENS,560797.5833333334,
11420,2020,QUEENS,580893.8333333334,
11420,2021,QUEENS,616690.0,
11420,2022,QUEENS,666152.7,
11421,2015,QUEENS,453594.5,
11421,2016,QUEENS,484091.25,
11421,2017,QUEENS,530464.0833333334,
11421,2018,QUEENS,590851.25,
11421,2019,QUEENS,611219.4166666666,
11421,2020,QUEENS,616473.25,
11421,2021,QUEENS,640518.9166666666,
11421,2022,QUEENS,671280.4,
11422,2015,QUEENS,420992.9166666667,
11422,2016,QUEENS,452440.5833333333,
11422,2017,QUEENS,477737.1666666667,
11422,2018,QUEENS,509462.3333333333,
11422,2019,QUEENS,539506.75,
11422,2020,QUEENS,552334.0,
11422,2021,QUEENS,593827.8333333334,
11422,2022,QUEENS,634242.8,
11423,2015,QUEENS,485823.5833333333,
11423,2016,QUEENS,515237.0833333333,
11423,2017,QUEENS,553111.0,
11423,2018,QUEENS,592600.0,
11423,2019,QUEENS,633280.5,
11423,2020,QUEENS,643574.25,
11423,2021,QUEENS,691449.8333333334,
11423,2022,QUEENS,742090.6,
11426,2015,QUEENS,502260.5,
11426,2016,QUEENS,525977.75,
11426,2017,QUEENS,569770.0,
11426,2018,QUEENS,608764.5,
11426,2019,QUEENS,630797.0,
11426,2020,QUEENS,640318.5,
11426,2021,QUEENS,681172.5,
11426,2022,QUEENS,713849.1,
11427,2015,QUEENS,513592.9166666667,
11427,2016,QUEENS,548347.5833333334,
11427,2017,QUEENS,587131.9166666666,
11427,2018,QUEENS,624922.25,
11427,2019,QUEENS,657588.1666666666,
11427,2020,QUEENS,670217.9166666666,
11427,2021,QUEENS,718004.0,
11427,2022,QUEENS,767260.3,
11428,2015,QUEENS,461052.0833333333,
11428,2016,QUEENS,489832.25,
11428,2017,QUEENS,524393.1666666666,
11428,2018,QUEENS,568815.25,
11428,2019,QUEENS,595012.5833333334,
11428,2020,QUEENS,598137.5,
11428,2021,QUEENS,639557.5833333334,
11428,2022,QUEENS,685692.0,
11429,2015,QUEENS,441194.9166666667,
11429,2016,QUEENS,468720.0,
11429,2017,QUEENS,495118.75,
11429,2018,QUEENS,517927.6666666667,
11429,2019,QUEENS,546333.0833333334,
11429,2020,QUEENS,561030.25,
11429,2021,QUEENS,603859.9166666666,
11429,2022,QUEENS,652049.0,
11432,2015,QUEENS,660452.4166666666,
11432,2016,QUEENS,707759.5,
11432,2017,QUEENS,760144.9166666666,
11432,2018,QUEENS,812108.4166666666,
11432,2019,QUEENS,844736.75,
11432,2020,QUEENS,844773.0833333334,
11432,2021,QUEENS,873906.0,
11432,2022,QUEENS,934240.9,
11433,2015,QUEENS,382412.8333333333,
11433,2016,QUEENS,425203.9166666667,
11433,2017,QUEENS,461718.3333333333,
11433,2018,QUEENS,501336.25,
11433,2019,QUEENS,516753.6666666667,
11433,2020,QUEENS,530119.25,
11433,2021,QUEENS,576286.6666666666,
11433,2022,QUEENS,626184.8,
11434,2015,QUEENS,407424.75,
11434,2016,QUEENS,446274.0,
11434,2017,QUEENS,476437.9166666667,
11434,2018,QUEENS,512183.3333333333,
11434,2019,QUEENS,545728.5,
11434,2020,QUEENS,556193.8333333334,
11434,2021,QUEENS,583946.5,
11434,2022,QUEENS,631653.1,
11435,2015,QUEENS,427239.1666666667,
11435,2016,QUEENS,460095.5833333333,
11435,2017,QUEENS,483791.6666666667,
11435,2018,QUEENS,517040.75,
11435,2019,QUEENS,544441.5,
11435,2020,QUEENS,561451.8333333334,
11435,2021,QUEENS,613944.6666666666,
11435,2022,QUEENS,655826.8,
11436,2015,QUEENS,387287.3333333333,
11436,2016,QUEENS,424135.3333333333,
11436,2017,QUEENS,449527.5,
11436,2018,QUEENS,491847.75,
11436,2019,QUEENS,524359.5833333334,
11436,2020,QUEENS,525975.5833333334,
11436,2021,QUEENS,558438.0,
11436,2022,QUEENS,610620.5,
11691,2015,QUEENS,386992.3333333333,
11691,2016,QUEENS,425009.25,
11691,2017,QUEENS,459487.4166666667,
11691,2018,QUEENS,501552.1666666667,
11691,2019,QUEENS,541367.4166666666,
11691,2020,QUEENS,562335.5833333334,
11691,2021,QUEENS,603183.9166666666,
11691,2022,QUEENS,643481.2,
11692,2015,QUEENS,305332.25,
11692,2016,QUEENS,328444.8333333333,
11692,2017,QUEENS,358232.5,
11692,2018,QUEENS,373951.3333333333,
11692,2019,QUEENS,395770.0833333333,
11692,2020,QUEENS,396530.4166666667,
11692,2021,QUEENS,507709.0,
11692,2022,QUEENS,562100.5,
11693,2015,QUEENS,384385.0833333333,
11693,2016,QUEENS,396470.0833333333,
11693,2017,QUEENS,440018.9166666667,
11693,2018,QUEENS,410621.75,
11693,2019,QUEENS,423460.3333333333,
11693,2020,QUEENS,448624.75,
11693,2021,QUEENS,515921.4166666667,
11693,2022,QUEENS,556755.0,
11694,2015,QUEENS,599057.0,
11694,2016,QUEENS,661932.9166666666,
11694,2017,QUEENS,728462.0,
11694,2018,QUEENS,769236.1666666666,
11694,2019,QUEENS,819271.3333333334,
11694,2020,QUEENS,829625.5833333334,
11694,2021,QUEENS,897179.1666666666,
11694,2022,QUEENS,955955.1,
