zipcode,year,borough,mean_rent,count
11101,2015,QUEENS,2753.773788610099,
11101,2016,QUEENS,2826.2115495683192,
11101,2017,QUEENS,2879.5027889576145,
11101,2018,QUEENS,2873.9380927893726,
11101,2019,QUEENS,3050.315509243905,
11101,2020,QUEENS,3059.069519815401,
11101,2021,QUEENS,3133.464895038,
11101,2022,QUEENS,3595.1171574343607,
11102,2015,QUEENS,2330.089183317342,
11102,2016,QUEENS,2351.822194606971,
11102,2017,QUEENS,2401.745990868707,
11102,2018,QUEENS,2388.073953305868,
11102,2019,QUEENS,2450.8447924492502,
11102,2020,QUEENS,2441.8814936584668,
11102,2021,QUEENS,2382.59516992167,
11102,2022,QUEENS,2641.2801056787152,
11103,2015,QUEENS,1934.0271980830555,
11103,2016,QUEENS,2044.137055568582,
11103,2019,QUEENS,2120.849222028001,
11103,2020,QUEENS,2087.5051978363304,
11103,2021,QUEENS,2070.0300012436505,
11103,2022,QUEENS,2321.487231267735,
11104,2020,QUEENS,2009.742673628926,
11104,2021,QUEENS,1970.2366734412483,
11104,2022,QUEENS,2186.997597813532,
11105,2015,QUEENS,2292.192827119252,
11105,2016,QUEENS,2334.4816559392552,
11105,2017,QUEENS,2341.047815638893,
11105,2018,QUEENS,2318.6832060658003,
11105,2019,QUEENS,2369.7127948518178,
11105,2020,QUEENS,2341.7053490358066,
11105,2021,QUEENS,2261.5412226443755,
11105,2022,QUEENS,2520.4996989491583,
11106,2015,QUEENS,2098.0877285990487,
11106,2016,QUEENS,2160.3940821690944,
11106,2019,QUEENS,2237.477803664909,
11106,2020,QUEENS,2248.680865648434,
11106,2021,QUEENS,2183.751104903325,
11106,2022,QUEENS,2445.895039933574,
11109,2015,QUEENS,2912.3708559361353,
11109,2016,QUEENS,2965.1907822698886,
11109,2017,QUEENS,3009.9223279129524,
11109,2018,QUEENS,3001.1701105939887,
11109,2019,QUEENS,3198.2430876920557,
11109,2020,QUEENS,3215.440107741518,
11109,2021,QUEENS,3353.5677237723357,
11109,2022,QUEENS,3953.0135212947935,
11354,2015,QUEENS,2047.2852893029908,
11354,2016,QUEENS,2154.6362274345274,
11354,2017,QUEENS,2204.0536901411056,
11354,2018,QUEENS,2244.195161930477,
11354,2019,QUEENS,2255.5301942938577,
11354,2020,QUEENS,2224.638809416198,
11354,2021,QUEENS,2182.379873389277,
11354,2022,QUEENS,2372.374933150756,
11355,2015,QUEENS,1603.0346122998503,
11355,2016,QUEENS,1723.6520771947917,
11355,2017,QUEENS,1750.3868453656057,
11355,2018,QUEENS,1852.805767798501,
11355,2019,QUEENS,1852.9160109525658,
11355,2020,QUEENS,1859.873378188399,
11355,2021,QUEENS,1815.2326235376806,
11355,2022,QUEENS,1943.5223397632865,
11356,2022,QUEENS,2164.936691145932,
11357,2022,QUEENS,2389.145270144403,
11358,2021,QUEENS,2047.9258949254966,
11358,2022,QUEENS,2322.998089019355,
11360,2021,QUEENS,2079.9949916827295,
11360,2022,QUEENS,2217.3895099334086,
11361,2020,QUEENS,2191.6895516819336,
11361,2021,QUEENS,2155.4893069868717,
11361,2022,QUEENS,2356.217793939467,
11364,2022,QUEENS,2476.258874683842,
11365,2022,QUEENS,2483.200301801115,
11367,2022,QUEENS,2478.8838119988945,
11368,2022,QUEENS,2039.5,
11372,2021,QUEENS,1887.6046100294625,
11372,2022,QUEENS,2062.4376657133375,
11373,2021,QUEENS,1871.7778949179353,
11373,2022,QUEENS,2027.7358463719418,
11374,2015,QUEENS,1955.801873148479,
11374,2016,QUEENS,1996.9786145062108,
11374,2017,QUEENS,2065.779159433186,
11374,2018,QUEENS,2103.50870876002,
11374,2019,QUEENS,2197.333348062258,
11374,2020,QUEENS,2222.758436314212,
11374,2021,QUEENS,2199.205285102063,
11374,2022,QUEENS,2393.713990297184,
11375,2015,QUEENS,1965.2121259327316,
11375,2016,QUEENS,2034.141471195819,
11375,2017,QUEENS,2082.280536597045,
11375,2018,QUEENS,2108.1476726975525,
11375,2019,QUEENS,2186.505795895462,
11375,2020,QUEENS,2175.90303849814,
11375,2021,QUEENS,2154.362724072715,
11375,2022,QUEENS,2346.3026381557806,
11377,2020,QUEENS,1909.3998777806264,
11377,2021,QUEENS,1902.627624375935,
11377,2022,QUEENS,2081.9893835050266,
11378,2022,QUEENS,2178.924892234688,
11379,2021,QUEENS,2137.542973628183,
11379,2022,QUEENS,2158.323997831439,
11385,2015,QUEENS,2327.26549775187,
11385,2016,QUEENS,2438.7240923244526,
11385,2017,QUEENS,2460.6297920650427,
11385,2018,QUEENS,2489.745213052254,
11385,2019,QUEENS,2570.2607790949737,
11385,2020,QUEENS,2546.981613706856,
11385,2021,QUEENS,2507.6451560182713,
11385,2022,QUEENS,2904.4639917341037,
11415,2020,QUEENS,1826.8237411591422,
11415,2021,QUEENS,1910.6163412804406,
11415,2022,QUEENS,2001.7291706746971,
11418,2022,QUEENS,2296.8748976387283,
11426,2022,QUEENS,2375.0,
11432,2022,QUEENS,2423.5688439504675,
11434,2022,QUEENS,2423.2831481319536,
11435,2015,QUEENS,1496.0560656665036,
11435,2016,QUEENS,1566.046705203672,
11435,2017,QUEENS,1625.83915255531,
11435,2018,QUEENS,1676.6662796429027,
11435,2019,QUEENS,1708.7224152748788,
11435,2020,QUEENS,1747.1180400701824,
11435,2021,QUEENS,1778.2525891645412,
11435,2022,QUEENS,1904.273477869366,
11691,2022,QUEENS,2749.672557560169,
