zipcode,year,borough,mean_rent,count
10301,2022,STATEN_ISLAND,2290.9666625864684,
10304,2020,STATEN_ISLAND,2397.821591284906,
10304,2021,STATEN_ISLAND,2116.675782174475,
10304,2022,STATEN_ISLAND,2100.8117148290503,
10305,2021,STATEN_ISLAND,1893.650907872428,
10305,2022,STATEN_ISLAND,2038.2899962958577,
10306,2021,STATEN_ISLAND,1660.2650572827652,
10306,2022,STATEN_ISLAND,1897.448355128988,
10308,2022,STATEN_ISLAND,2432.9232223043855,
10309,2022,STATEN_ISLAND,1925.6687443741816,
10312,2021,STATEN_ISLAND,1898.633391849955,
10312,2022,STATEN_ISLAND,1924.6827634169374,
10314,2016,STATEN_ISLAND,1414.9902906332625,
10314,2017,STATEN_ISLAND,1507.8793811834082,
10314,2018,STATEN_ISLAND,1568.36665533184,
10314,2019,STATEN_ISLAND,1625.3905841008507,
10314,2020,STATEN_ISLAND,1799.5403621348114,
10314,2021,STATEN_ISLAND,1921.9221397105093,
10314,2022,STATEN_ISLAND,2019.2977520940483,
