zipcode,borough,year,count
10001,MANHATTAN,2015,350
10001,MANHATTAN,2016,666
10001,MANHATTAN,2017,418
10001,MANHATTAN,2018,491
10001,MANHATTAN,2019,275
10001,MANHATTAN,2020,391
10001,MANHATTAN,2021,364
10001,MANHATTAN,2022,470
10002,MANHATTAN,2015,337
10002,MANHATTAN,2016,547
10002,MANHATTAN,2017,684
10002,MANHATTAN,2018,724
10002,MANHATTAN,2019,960
10002,MANHATTAN,2020,539
10002,MANHATTAN,2021,397
10002,MANHATTAN,2022,522
10003,MANHATTAN,2015,607
10003,MANHATTAN,2016,635
10003,MANHATTAN,2018,1244
10003,MANHATTAN,2019,1123
10003,MANHATTAN,2020,884
10003,MANHATTAN,2021,702
10003,MANHATTAN,2022,952
10005,MANHATTAN,2015,456
10005,MANHATTAN,2016,444
10005,MANHATTAN,2017,725
10005,MANHATTAN,2018,466
10005,MANHATTAN,2019,352
10005,MANHATTAN,2020,473
10005,MANHATTAN,2021,457
10005,MANHATTAN,2022,528
10009,MANHATTAN,2015,592
10009,MANHATTAN,2016,683
10009,MANHATTAN,2018,1425
10009,MANHATTAN,2019,1073
10009,MANHATTAN,2020,1043
10009,MANHATTAN,2021,711
10009,MANHATTAN,2022,959
10010,MANHATTAN,2015,535
10010,MANHATTAN,2016,549
10010,MANHATTAN,2017,942
10010,MANHATTAN,2018,1124
10010,MANHATTAN,2019,623
10010,MANHATTAN,2020,613
10010,MANHATTAN,2021,569
10010,MANHATTAN,2022,827
10011,MANHATTAN,2015,514
10011,MANHATTAN,2016,1100
10011,MANHATTAN,2017,1008
10011,MANHATTAN,2018,957
10011,MANHATTAN,2019,934
10011,MANHATTAN,2020,739
10011,MANHATTAN,2021,570
10011,MANHATTAN,2022,739
10012,MANHATTAN,2015,403
10012,MANHATTAN,2016,370
10012,MANHATTAN,2017,1131
10012,MANHATTAN,2018,821
10012,MANHATTAN,2019,1154
10012,MANHATTAN,2020,646
10012,MANHATTAN,2021,436
10012,MANHATTAN,2022,594
10013,MANHATTAN,2015,983
10013,MANHATTAN,2016,1090
10013,MANHATTAN,2017,1050
10013,MANHATTAN,2018,1249
10013,MANHATTAN,2020,904
10013,MANHATTAN,2021,1047
10013,MANHATTAN,2022,1266
10014,MANHATTAN,2015,137
10014,MANHATTAN,2016,127
10014,MANHATTAN,2017,256
10014,MANHATTAN,2018,269
10014,MANHATTAN,2019,444
10014,MANHATTAN,2020,175
10014,MANHATTAN,2021,161
10014,MANHATTAN,2022,218
10016,MANHATTAN,2015,436
10016,MANHATTAN,2016,431
10016,MANHATTAN,2017,271
10016,MANHATTAN,2018,511
10016,MANHATTAN,2019,396
10016,MANHATTAN,2020,312
10016,MANHATTAN,2021,467
10016,MANHATTAN,2022,561
10017,MANHATTAN,2015,415
10017,MANHATTAN,2016,357
10017,MANHATTAN,2017,222
10017,MANHATTAN,2018,389
10017,MANHATTAN,2019,681
10017,MANHATTAN,2020,474
10017,MANHATTAN,2021,374
10017,MANHATTAN,2022,462
10018,MANHATTAN,2015,1312
10018,MANHATTAN,2016,1262
10018,MANHATTAN,2017,1064
10018,MANHATTAN,2019,1094
10018,MANHATTAN,2020,1151
10018,MANHATTAN,2021,1147
10018,MANHATTAN,2022,1388
10019,MANHATTAN,2015,363
10019,MANHATTAN,2016,364
10019,MANHATTAN,2017,462
10019,MANHATTAN,2018,928
10019,MANHATTAN,2019,564
10019,MANHATTAN,2020,490
10019,MANHATTAN,2021,385
10019,MANHATTAN,2022,457
10020,MANHATTAN,2015,460
10020,MANHATTAN,2016,458
10020,MANHATTAN,2017,219
10020,MANHATTAN,2018,253
10020,MANHATTAN,2019,533
10020,MANHATTAN,2020,321
10020,MANHATTAN,2021,469
10020,MANHATTAN,2022,568
10021,MANHATTAN,2015,309
10021,MANHATTAN,2016,266
10021,MANHATTAN,2017,344
10021,MANHATTAN,2018,337
10021,MANHATTAN,2019,704
10021,MANHATTAN,2020,327
10021,MANHATTAN,2021,341
10021,MANHATTAN,2022,449
10022,MANHATTAN,2015,240
10022,MANHATTAN,2016,248
10022,MANHATTAN,2017,235
10022,MANHATTAN,2018,238
10022,MANHATTAN,2019,501
10022,MANHATTAN,2020,270
10022,MANHATTAN,2021,257
10022,MANHATTAN,2022,340
10023,MANHATTAN,2015,461
10023,MANHATTAN,2016,416
10023,MANHATTAN,2017,778
10023,MANHATTAN,2018,794
10023,MANHATTAN,2019,1477
10023,MANHATTAN,2020,645
10023,MANHATTAN,2021,515
10023,MANHATTAN,2022,722
10024,MANHATTAN,2015,710
10024,MANHATTAN,2016,703
10024,MANHATTAN,2017,786
10024,MANHATTAN,2018,879
10024,MANHATTAN,2020,799
10024,MANHATTAN,2021,773
10024,MANHATTAN,2022,1014
10026,MANHATTAN,2015,414
10026,MANHATTAN,2016,404
10026,MANHATTAN,2017,990
10026,MANHATTAN,2018,826
10026,MANHATTAN,2019,501
10026,MANHATTAN,2020,540
10026,MANHATTAN,2021,466
10026,MANHATTAN,2022,626
10027,MANHATTAN,2015,334
10027,MANHATTAN,2016,343
10027,MANHATTAN,2017,738
10027,MANHATTAN,2018,704
10027,MANHATTAN,2019,417
10027,MANHATTAN,2020,410
10027,MANHATTAN,2021,379
10027,MANHATTAN,2022,515
10028,MANHATTAN,2015,472
10028,MANHATTAN,2016,477
10028,MANHATTAN,2017,745
10028,MANHATTAN,2018,719
10028,MANHATTAN,2019,1265
10028,MANHATTAN,2020,590
10028,MANHATTAN,2021,516
10028,MANHATTAN,2022,674
10029,MANHATTAN,2015,290
10029,MANHATTAN,2016,281
10029,MANHATTAN,2017,825
10029,MANHATTAN,2018,523
10029,MANHATTAN,2019,332
10029,MANHATTAN,2020,354
10029,MANHATTAN,2021,312
10029,MANHATTAN,2022,410
10030,MANHATTAN,2015,370
10030,MANHATTAN,2016,375
10030,MANHATTAN,2017,765
10030,MANHATTAN,2018,708
10030,MANHATTAN,2019,401
10030,MANHATTAN,2020,412
10030,MANHATTAN,2021,413
10030,MANHATTAN,2022,495
10031,MANHATTAN,2015,350
10031,MANHATTAN,2016,357
10031,MANHATTAN,2017,804
10031,MANHATTAN,2018,798
10031,MANHATTAN,2019,466
10031,MANHATTAN,2020,458
10031,MANHATTAN,2021,376
10031,MANHATTAN,2022,481
10032,MANHATTAN,2015,212
10032,MANHATTAN,2016,222
10032,MANHATTAN,2017,266
10032,MANHATTAN,2018,332
10032,MANHATTAN,2019,658
10032,MANHATTAN,2020,286
10032,MANHATTAN,2021,242
10032,MANHATTAN,2022,310
10033,MANHATTAN,2015,161
10033,MANHATTAN,2016,171
10033,MANHATTAN,2017,250
10033,MANHATTAN,2018,249
10033,MANHATTAN,2019,484
10033,MANHATTAN,2020,218
10033,MANHATTAN,2021,180
10033,MANHATTAN,2022,227
10034,MANHATTAN,2015,131
10034,MANHATTAN,2016,114
10034,MANHATTAN,2017,93
10034,MANHATTAN,2018,294
10034,MANHATTAN,2019,99
10034,MANHATTAN,2020,110
10034,MANHATTAN,2021,139
10034,MANHATTAN,2022,138
10035,MANHATTAN,2015,111
10035,MANHATTAN,2016,93
10035,MANHATTAN,2017,330
10035,MANHATTAN,2018,189
10035,MANHATTAN,2019,117
10035,MANHATTAN,2020,152
10035,MANHATTAN,2021,123
10035,MANHATTAN,2022,172
10037,MANHATTAN,2015,273
10037,MANHATTAN,2016,245
10037,MANHATTAN,2017,558
10037,MANHATTAN,2018,522
10037,MANHATTAN,2019,290
10037,MANHATTAN,2020,317
10037,MANHATTAN,2021,291
10037,MANHATTAN,2022,391
10039,MANHATTAN,2015,193
10039,MANHATTAN,2016,190
10039,MANHATTAN,2017,399
10039,MANHATTAN,2018,372
10039,MANHATTAN,2019,345
10039,MANHATTAN,2020,269
10039,MANHATTAN,2021,229
10039,MANHATTAN,2022,304
10040,MANHATTAN,2015,112
10040,MANHATTAN,2016,116
10040,MANHATTAN,2017,177
10040,MANHATTAN,2018,320
10040,MANHATTAN,2019,228
10040,MANHATTAN,2020,146
10040,MANHATTAN,2021,120
10040,MANHATTAN,2022,152
10044,MANHATTAN,2015,79
10044,MANHATTAN,2016,73
10044,MANHATTAN,2017,67
10044,MANHATTAN,2018,109
10044,MANHATTAN,2019,126
10044,MANHATTAN,2020,77
10044,MANHATTAN,2021,77
10044,MANHATTAN,2022,85
10065,MANHATTAN,2015,220
10065,MANHATTAN,2016,263
10065,MANHATTAN,2017,219
10065,MANHATTAN,2018,204
10065,MANHATTAN,2019,506
10065,MANHATTAN,2020,298
10065,MANHATTAN,2021,206
10065,MANHATTAN,2022,301
10069,MANHATTAN,2015,37
10069,MANHATTAN,2016,36
10069,MANHATTAN,2017,66
10069,MANHATTAN,2018,49
10069,MANHATTAN,2019,109
10069,MANHATTAN,2020,42
10069,MANHATTAN,2021,51
10069,MANHATTAN,2022,67
10075,MANHATTAN,2015,236
10075,MANHATTAN,2016,239
10075,MANHATTAN,2017,342
10075,MANHATTAN,2018,357
10075,MANHATTAN,2019,729
10075,MANHATTAN,2020,336
10075,MANHATTAN,2021,267
10075,MANHATTAN,2022,370
10115,MANHATTAN,2015,177
10115,MANHATTAN,2016,186
10115,MANHATTAN,2017,354
10115,MANHATTAN,2018,419
10115,MANHATTAN,2019,646
10115,MANHATTAN,2020,329
10115,MANHATTAN,2021,200
10115,MANHATTAN,2022,270
10280,MANHATTAN,2015,56
10280,MANHATTAN,2016,64
10280,MANHATTAN,2017,212
10280,MANHATTAN,2018,64
10280,MANHATTAN,2019,50
10280,MANHATTAN,2020,66
10280,MANHATTAN,2021,68
10280,MANHATTAN,2022,101
10282,MANHATTAN,2015,17
10282,MANHATTAN,2016,19
10282,MANHATTAN,2017,41
10282,MANHATTAN,2018,38
10282,MANHATTAN,2019,49
10282,MANHATTAN,2020,23
10282,MANHATTAN,2021,19
10282,MANHATTAN,2022,31
10301,STATEN ISLAND,2017,84
10301,STATEN ISLAND,2018,97
10301,STATEN ISLAND,2020,102
10302,STATEN ISLAND,2015,18
10302,STATEN ISLAND,2016,18
10302,STATEN ISLAND,2017,15
10302,STATEN ISLAND,2018,15
10302,STATEN ISLAND,2019,16
10302,STATEN ISLAND,2020,10
10302,STATEN ISLAND,2021,26
10302,STATEN ISLAND,2022,26
10303,STATEN ISLAND,2015,11
10303,STATEN ISLAND,2016,7
10303,STATEN ISLAND,2017,9
10303,STATEN ISLAND,2018,14
10303,STATEN ISLAND,2019,9
10303,STATEN ISLAND,2020,11
10303,STATEN ISLAND,2021,15
10303,STATEN ISLAND,2022,22
10304,STATEN ISLAND,2015,29
10304,STATEN ISLAND,2016,32
10304,STATEN ISLAND,2017,28
10304,STATEN ISLAND,2018,21
10304,STATEN ISLAND,2019,17
10304,STATEN ISLAND,2020,20
10304,STATEN ISLAND,2021,31
10304,STATEN ISLAND,2022,35
10305,STATEN ISLAND,2015,42
10305,STATEN ISLAND,2016,48
10305,STATEN ISLAND,2017,48
10305,STATEN ISLAND,2018,42
10305,STATEN ISLAND,2019,56
10305,STATEN ISLAND,2020,38
10305,STATEN ISLAND,2021,45
10305,STATEN ISLAND,2022,53
10306,STATEN ISLAND,2015,34
10306,STATEN ISLAND,2016,29
10306,STATEN ISLAND,2017,17
10306,STATEN ISLAND,2018,17
10306,STATEN ISLAND,2019,18
10306,STATEN ISLAND,2020,16
10306,STATEN ISLAND,2021,34
10306,STATEN ISLAND,2022,35
10307,STATEN ISLAND,2015,1
10307,STATEN ISLAND,2016,1
10307,STATEN ISLAND,2017,1
10307,STATEN ISLAND,2018,3
10307,STATEN ISLAND,2019,8
10307,STATEN ISLAND,2020,4
10307,STATEN ISLAND,2021,2
10307,STATEN ISLAND,2022,4
10308,STATEN ISLAND,2015,13
10308,STATEN ISLAND,2016,13
10308,STATEN ISLAND,2017,11
10308,STATEN ISLAND,2018,10
10308,STATEN ISLAND,2019,7
10308,STATEN ISLAND,2020,10
10308,STATEN ISLAND,2021,15
10308,STATEN ISLAND,2022,18
10309,STATEN ISLAND,2015,5
10309,STATEN ISLAND,2016,4
10309,STATEN ISLAND,2018,1
10309,STATEN ISLAND,2019,2
10309,STATEN ISLAND,2020,5
10309,STATEN ISLAND,2021,6
10309,STATEN ISLAND,2022,6
10310,STATEN ISLAND,2015,34
10310,STATEN ISLAND,2016,38
10310,STATEN ISLAND,2017,8
10310,STATEN ISLAND,2018,20
10310,STATEN ISLAND,2019,45
10310,STATEN ISLAND,2020,20
10310,STATEN ISLAND,2021,33
10310,STATEN ISLAND,2022,43
10311,STATEN ISLAND,2020,1
10312,STATEN ISLAND,2015,8
10312,STATEN ISLAND,2016,10
10312,STATEN ISLAND,2017,11
10312,STATEN ISLAND,2018,6
10312,STATEN ISLAND,2019,5
10312,STATEN ISLAND,2020,6
10312,STATEN ISLAND,2021,7
10312,STATEN ISLAND,2022,11
10314,STATEN ISLAND,2015,8
10314,STATEN ISLAND,2016,6
10314,STATEN ISLAND,2017,3
10314,STATEN ISLAND,2018,4
10314,STATEN ISLAND,2019,8
10314,STATEN ISLAND,2020,3
10314,STATEN ISLAND,2021,7
10314,STATEN ISLAND,2022,9
10451,BRONX,2015,29
10451,BRONX,2016,39
10451,BRONX,2017,56
10451,BRONX,2018,46
10451,BRONX,2019,38
10451,BRONX,2020,30
10451,BRONX,2021,38
10451,BRONX,2022,55
10452,BRONX,2015,42
10452,BRONX,2016,40
10452,BRONX,2017,22
10452,BRONX,2018,53
10452,BRONX,2019,26
10452,BRONX,2020,32
10452,BRONX,2021,43
10452,BRONX,2022,56
10453,BRONX,2015,61
10453,BRONX,2016,53
10453,BRONX,2017,26
10453,BRONX,2018,38
10453,BRONX,2019,62
10453,BRONX,2020,24
10453,BRONX,2021,62
10453,BRONX,2022,69
10454,BRONX,2015,69
10454,BRONX,2016,74
10454,BRONX,2017,40
10454,BRONX,2018,56
10454,BRONX,2019,31
10454,BRONX,2020,47
10454,BRONX,2021,69
10454,BRONX,2022,90
10455,BRONX,2015,38
10455,BRONX,2016,39
10455,BRONX,2017,25
10455,BRONX,2018,24
10455,BRONX,2019,41
10455,BRONX,2020,32
10455,BRONX,2021,43
10455,BRONX,2022,72
10456,BRONX,2015,64
10456,BRONX,2016,63
10456,BRONX,2017,65
10456,BRONX,2018,61
10456,BRONX,2019,51
10456,BRONX,2020,53
10456,BRONX,2021,70
10457,BRONX,2015,51
10457,BRONX,2016,44
10457,BRONX,2017,18
10457,BRONX,2018,21
10457,BRONX,2019,24
10457,BRONX,2020,16
10457,BRONX,2021,56
10457,BRONX,2022,69
10458,BRONX,2015,41
10458,BRONX,2016,47
10458,BRONX,2017,27
10458,BRONX,2018,23
10458,BRONX,2019,15
10458,BRONX,2020,26
10458,BRONX,2021,51
