zipcode,borough,year,count
10469,BRONX,2022,122
10466,BRONX,2022,119
10463,BRONX,2018,105
10466,BRONX,2021,99
10456,BRONX,2022,98
11211,BROOKLYN,2019,6231
11211,BROOKLYN,2018,3227
11211,BROOKLYN,2022,2730
11211,BROOKLYN,2020,2719
11211,BROOKLYN,2017,2645
10009,MANHATTAN,2017,2593
10018,MANHATTAN,2018,2485
10003,MANHATTAN,2017,2184
10013,MANHATTAN,2019,1779
10024,MANHATTAN,2019,1721
11106,QUEENS,2018,648
11103,QUEENS,2017,584
11106,QUEENS,2017,531
11104,QUEENS,2019,465
11103,QUEENS,2018,443
10301,STATEN_ISLAND,2019,212
10301,STATEN_ISLAND,2022,143
10301,STATEN_ISLAND,2021,126
10301,STATEN_ISLAND,2015,124
10301,STATEN_ISLAND,2016,118
