zipcode,borough,year,count
10466,BRONX,2021,99
10469,BRONX,2021,89
10467,BRONX,2021,77
10456,BRONX,2021,70
10454,BRONX,2021,69
11211,BROOKLYN,2021,2101
11237,BROOKLYN,2021,1036
11233,BROOKLYN,2021,1013
11216,BROOKLYN,2021,984
11221,BROOKLYN,2021,934
10018,MANHATTAN,2021,1147
10013,MANHATTAN,2021,1047
10024,MANHATTAN,2021,773
10009,MANHATTAN,2021,711
10003,MANHATTAN,2021,702
11377,QUEENS,2021,413
11106,QUEENS,2021,335
11103,QUEENS,2021,326
11102,QUEENS,2021,290
11355,QUEENS,2021,284
10301,STATEN_ISLAND,2021,126
10305,STATEN_ISLAND,2021,45
10306,STATEN_ISLAND,2021,34
10310,STATEN_ISLAND,2021,33
10304,STATEN_ISLAND,2021,31
